financial_year,sending_location,age_group,stay_type,nclient,nclient_scotland,rate_per_1000,scotland_rate,,
2018/19,Inverclyde,18-64 years,All Stays,130,5620,2.7,1.7,,
2018/19,Inverclyde,18-64 years,Short Stay / Respite,55,1410,1.2,0.4,,
2018/19,Inverclyde,18-64 years,Long Stay,75,4210,1.6,1.2,,
2018/19,Inverclyde,65+ years,All Stays,915,45980,55.9,44.8,,
2018/19,Inverclyde,65+ years,Short Stay / Respite,160,4345,9.8,4.2,,
2018/19,Inverclyde,65+ years,Long Stay,755,41635,46.1,40.6,,
2018/19,Midlothian,18+ years,All Stays,765,51605,10.6,11.7,,
2018/19,Midlothian,18+ years,Short Stay / Respite,135,5760,1.9,1.3,,
2018/19,Midlothian,18+ years,Long Stay,630,45845,8.8,10.4,,
2018/19,Midlothian,18-64 years,All Stays,55,5620,1,1.7,,
2018/19,Midlothian,18-64 years,Short Stay / Respite,5,1410,0.1,0.4,,
2018/19,Midlothian,18-64 years,Long Stay,50,4210,0.9,1.2,,
2018/19,Midlothian,65+ years,All Stays,710,45980,41.7,44.8,,
2018/19,Midlothian,65+ years,Short Stay / Respite,130,4345,7.6,4.2,,
2018/19,Midlothian,65+ years,Long Stay,580,41635,34.1,40.6,,
2018/19,Moray,18+ years,All Stays,875,51605,11.3,11.7,,
2018/19,Moray,18+ years,Short Stay / Respite,110,5760,1.4,1.3,,
2018/19,Moray,18+ years,Long Stay,765,45845,9.9,10.4,,
2018/19,Moray,18-64 years,All Stays,105,5620,1.8,1.7,,
2018/19,Moray,18-64 years,Short Stay / Respite,10,1410,0.2,0.4,,
2018/19,Moray,18-64 years,Long Stay,95,4210,1.7,1.2,,
2018/19,Moray,65+ years,All Stays,770,45980,37.7,44.8,,
2018/19,Moray,65+ years,Short Stay / Respite,100,4345,4.9,4.2,,
2018/19,Moray,65+ years,Long Stay,670,41635,32.8,40.6,,
2018/19,North Ayrshire,18+ years,All Stays,1100,51605,10,11.7,,
2018/19,North Ayrshire,18+ years,Short Stay / Respite,20,5760,0.2,1.3,,
2018/19,North Ayrshire,18+ years,Long Stay,1080,45845,9.9,10.4,,
2018/19,North Ayrshire,18-64 years,All Stays,105,5620,1.3,1.7,,
2018/19,North Ayrshire,18-64 years,Short Stay / Respite,0,1410,0,0.4,,
2018/19,North Ayrshire,18-64 years,Long Stay,105,4210,1.3,1.2,,
2018/19,North Ayrshire,65+ years,All Stays,995,45980,33.1,44.8,,
2018/19,North Ayrshire,65+ years,Short Stay / Respite,20,4345,0.7,4.2,,
2018/19,North Ayrshire,65+ years,Long Stay,975,41635,32.4,40.6,,
2018/19,North Lanarkshire,18+ years,All Stays,2435,51605,9,11.7,,
2018/19,North Lanarkshire,18+ years,Short Stay / Respite,455,5760,1.7,1.3,,
2018/19,North Lanarkshire,18+ years,Long Stay,1980,45845,7.3,10.4,,
2018/19,North Lanarkshire,18-64 years,All Stays,225,5620,1.1,1.7,,
2018/19,North Lanarkshire,18-64 years,Short Stay / Respite,130,1410,0.6,0.4,,
2018/19,North Lanarkshire,18-64 years,Long Stay,95,4210,0.4,1.2,,
2018/19,North Lanarkshire,65+ years,All Stays,2210,45980,38.1,44.8,,
2018/19,North Lanarkshire,65+ years,Short Stay / Respite,325,4345,5.6,4.2,,
2018/19,North Lanarkshire,65+ years,Long Stay,1885,41635,32.5,40.6,,
2018/19,Perth and Kinross,18+ years,All Stays,1855,51605,15,11.7,,
2018/19,Perth and Kinross,18+ years,Short Stay / Respite,245,5760,2,1.3,,
2018/19,Perth and Kinross,18+ years,Long Stay,1610,45845,13,10.4,,
2018/19,Perth and Kinross,18-64 years,All Stays,170,5620,1.9,1.7,,
2018/19,Perth and Kinross,18-64 years,Short Stay / Respite,25,1410,0.3,0.4,,
2018/19,Perth and Kinross,18-64 years,Long Stay,145,4210,1.6,1.2,,
2018/19,Perth and Kinross,65+ years,All Stays,1690,45980,48,44.8,,
2018/19,Perth and Kinross,65+ years,Short Stay / Respite,220,4345,6.3,4.2,,
2018/19,Perth and Kinross,65+ years,Long Stay,1465,41635,41.6,40.6,,
2018/19,Renfrewshire,18+ years,All Stays,1615,51605,11.2,11.7,,
2018/19,Renfrewshire,18+ years,Short Stay / Respite,60,5760,0.4,1.3,,
2018/19,Renfrewshire,18+ years,Long Stay,1555,45845,10.8,10.4,,
