time_period,financial_quarter,sending_location,age_group,level_of_service,hours_order,nclient,percentage
Financial Quarter,2018/19 Q2,Moray,All Ages,10+ hours,4,470,40.2
Financial Quarter,2018/19 Q2,Moray,All Ages,Unknown,5,0,0
Financial Quarter,2018/19 Q2,Moray,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2018/19 Q2,Moray,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2018/19 Q2,Moray,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2018/19 Q2,Moray,0-17 years,10+ hours,4,0,NA
Financial Quarter,2018/19 Q2,Moray,0-17 years,Unknown,5,0,NA
Financial Quarter,2018/19 Q2,Moray,18-64 years,0 - <2 hours,1,20,9.1
Financial Quarter,2018/19 Q2,Moray,18-64 years,2 - <4 hours,2,15,6.8
Financial Quarter,2018/19 Q2,Moray,18-64 years,4 - <10 hours,3,40,18.2
Financial Quarter,2018/19 Q2,Moray,18-64 years,10+ hours,4,145,65.9
Financial Quarter,2018/19 Q2,Moray,18-64 years,Unknown,5,0,0
Financial Quarter,2018/19 Q2,Moray,65-74 years,0 - <2 hours,1,20,12.5
Financial Quarter,2018/19 Q2,Moray,65-74 years,2 - <4 hours,2,25,15.6
Financial Quarter,2018/19 Q2,Moray,65-74 years,4 - <10 hours,3,50,31.2
Financial Quarter,2018/19 Q2,Moray,65-74 years,10+ hours,4,65,40.6
Financial Quarter,2018/19 Q2,Moray,65-74 years,Unknown,5,0,0
Financial Quarter,2018/19 Q2,Moray,75-84 years,0 - <2 hours,1,50,14.7
Financial Quarter,2018/19 Q2,Moray,75-84 years,2 - <4 hours,2,65,19.1
Financial Quarter,2018/19 Q2,Moray,75-84 years,4 - <10 hours,3,120,35.3
Financial Quarter,2018/19 Q2,Moray,75-84 years,10+ hours,4,105,30.9
Financial Quarter,2018/19 Q2,Moray,75-84 years,Unknown,5,0,0
Financial Quarter,2018/19 Q2,Moray,85+ years,0 - <2 hours,1,55,12.1
Financial Quarter,2018/19 Q2,Moray,85+ years,2 - <4 hours,2,85,18.7
Financial Quarter,2018/19 Q2,Moray,85+ years,4 - <10 hours,3,155,34.1
Financial Quarter,2018/19 Q2,Moray,85+ years,10+ hours,4,160,35.2
Financial Quarter,2018/19 Q2,Moray,85+ years,Unknown,5,0,0
Financial Quarter,2018/19 Q2,Moray,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2018/19 Q2,Moray,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2018/19 Q2,Moray,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2018/19 Q2,Moray,Unknown,10+ hours,4,0,NA
Financial Quarter,2018/19 Q2,Moray,Unknown,Unknown,5,0,NA
Financial Quarter,2018/19 Q3,Moray,All Ages,0 - <2 hours,1,135,11.1
Financial Quarter,2018/19 Q3,Moray,All Ages,2 - <4 hours,2,205,16.9
Financial Quarter,2018/19 Q3,Moray,All Ages,4 - <10 hours,3,390,32.1
Financial Quarter,2018/19 Q3,Moray,All Ages,10+ hours,4,485,39.9
Financial Quarter,2018/19 Q3,Moray,All Ages,Unknown,5,0,0
Financial Quarter,2018/19 Q3,Moray,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2018/19 Q3,Moray,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2018/19 Q3,Moray,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2018/19 Q3,Moray,0-17 years,10+ hours,4,0,NA
Financial Quarter,2018/19 Q3,Moray,0-17 years,Unknown,5,0,NA
Financial Quarter,2018/19 Q3,Moray,18-64 years,0 - <2 hours,1,25,9.4
Financial Quarter,2018/19 Q3,Moray,18-64 years,2 - <4 hours,2,20,7.5
Financial Quarter,2018/19 Q3,Moray,18-64 years,4 - <10 hours,3,60,22.6
Financial Quarter,2018/19 Q3,Moray,18-64 years,10+ hours,4,160,60.4
Financial Quarter,2018/19 Q3,Moray,18-64 years,Unknown,5,0,0
Financial Quarter,2018/19 Q3,Moray,65-74 years,0 - <2 hours,1,20,12.5
Financial Quarter,2018/19 Q3,Moray,65-74 years,2 - <4 hours,2,30,18.8
Financial Quarter,2018/19 Q3,Moray,65-74 years,4 - <10 hours,3,45,28.1
Financial Quarter,2018/19 Q3,Moray,65-74 years,10+ hours,4,65,40.6
Financial Quarter,2018/19 Q3,Moray,65-74 years,Unknown,5,0,0
Financial Quarter,2018/19 Q3,Moray,75-84 years,0 - <2 hours,1,50,14.1
Financial Quarter,2018/19 Q3,Moray,75-84 years,2 - <4 hours,2,75,21.1
Financial Quarter,2018/19 Q3,Moray,75-84 years,4 - <10 hours,3,125,35.2
Financial Quarter,2018/19 Q3,Moray,75-84 years,10+ hours,4,105,29.6
Financial Quarter,2018/19 Q3,Moray,75-84 years,Unknown,5,0,0
Financial Quarter,2018/19 Q3,Moray,85+ years,0 - <2 hours,1,45,10.2
Financial Quarter,2018/19 Q3,Moray,85+ years,2 - <4 hours,2,80,18.2
Financial Quarter,2018/19 Q3,Moray,85+ years,4 - <10 hours,3,160,36.4
Financial Quarter,2018/19 Q3,Moray,85+ years,10+ hours,4,155,35.2
Financial Quarter,2018/19 Q3,Moray,85+ years,Unknown,5,0,0
Financial Quarter,2018/19 Q3,Moray,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2018/19 Q3,Moray,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2018/19 Q3,Moray,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2018/19 Q3,Moray,Unknown,10+ hours,4,0,NA
Financial Quarter,2018/19 Q3,Moray,Unknown,Unknown,5,0,NA
Financial Quarter,2018/19 Q4,Moray,All Ages,0 - <2 hours,1,145,12.6
Financial Quarter,2018/19 Q4,Moray,All Ages,2 - <4 hours,2,195,17
Financial Quarter,2018/19 Q4,Moray,All Ages,4 - <10 hours,3,385,33.5
Financial Quarter,2018/19 Q4,Moray,All Ages,10+ hours,4,425,37
Financial Quarter,2018/19 Q4,Moray,All Ages,Unknown,5,0,0
Financial Quarter,2018/19 Q4,Moray,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2018/19 Q4,Moray,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2018/19 Q4,Moray,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2018/19 Q4,Moray,0-17 years,10+ hours,4,0,NA
Financial Quarter,2018/19 Q4,Moray,0-17 years,Unknown,5,0,NA
Financial Quarter,2018/19 Q4,Moray,18-64 years,0 - <2 hours,1,20,10
Financial Quarter,2018/19 Q4,Moray,18-64 years,2 - <4 hours,2,20,10
Financial Quarter,2018/19 Q4,Moray,18-64 years,4 - <10 hours,3,65,32.5
Financial Quarter,2018/19 Q4,Moray,18-64 years,10+ hours,4,95,47.5
Financial Quarter,2018/19 Q4,Moray,18-64 years,Unknown,5,0,0
Financial Quarter,2018/19 Q4,Moray,65-74 years,0 - <2 hours,1,20,12.9
Financial Quarter,2018/19 Q4,Moray,65-74 years,2 - <4 hours,2,30,19.4
Financial Quarter,2018/19 Q4,Moray,65-74 years,4 - <10 hours,3,45,29
Financial Quarter,2018/19 Q4,Moray,65-74 years,10+ hours,4,60,38.7
Financial Quarter,2018/19 Q4,Moray,65-74 years,Unknown,5,0,0
Financial Quarter,2018/19 Q4,Moray,75-84 years,0 - <2 hours,1,55,15.5
Financial Quarter,2018/19 Q4,Moray,75-84 years,2 - <4 hours,2,70,19.7
Financial Quarter,2018/19 Q4,Moray,75-84 years,4 - <10 hours,3,120,33.8
Financial Quarter,2018/19 Q4,Moray,75-84 years,10+ hours,4,110,31
Financial Quarter,2018/19 Q4,Moray,75-84 years,Unknown,5,0,0
Financial Quarter,2018/19 Q4,Moray,85+ years,0 - <2 hours,1,45,10.3
Financial Quarter,2018/19 Q4,Moray,85+ years,2 - <4 hours,2,75,17.2
Financial Quarter,2018/19 Q4,Moray,85+ years,4 - <10 hours,3,155,35.6
Financial Quarter,2018/19 Q4,Moray,85+ years,10+ hours,4,160,36.8
Financial Quarter,2018/19 Q4,Moray,85+ years,Unknown,5,0,0
Financial Quarter,2018/19 Q4,Moray,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2018/19 Q4,Moray,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2018/19 Q4,Moray,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2018/19 Q4,Moray,Unknown,10+ hours,4,0,NA
Financial Quarter,2018/19 Q4,Moray,Unknown,Unknown,5,0,NA
Financial Quarter,2019/20 Q1,Moray,All Ages,0 - <2 hours,1,160,14.1
Financial Quarter,2019/20 Q1,Moray,All Ages,2 - <4 hours,2,190,16.7
Financial Quarter,2019/20 Q1,Moray,All Ages,4 - <10 hours,3,370,32.6
Financial Quarter,2019/20 Q1,Moray,All Ages,10+ hours,4,415,36.6
Financial Quarter,2019/20 Q1,Moray,All Ages,Unknown,5,0,0
Financial Quarter,2019/20 Q1,Moray,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q1,Moray,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q1,Moray,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q1,Moray,0-17 years,10+ hours,4,0,NA
Financial Quarter,2019/20 Q1,Moray,0-17 years,Unknown,5,0,NA
Financial Quarter,2019/20 Q1,Moray,18-64 years,0 - <2 hours,1,20,11.1
Financial Quarter,2019/20 Q1,Moray,18-64 years,2 - <4 hours,2,20,11.1
Financial Quarter,2019/20 Q1,Moray,18-64 years,4 - <10 hours,3,55,30.6
Financial Quarter,2019/20 Q1,Moray,18-64 years,10+ hours,4,85,47.2
Financial Quarter,2019/20 Q1,Moray,18-64 years,Unknown,5,0,0
Financial Quarter,2019/20 Q1,Moray,65-74 years,0 - <2 hours,1,20,12.9
Financial Quarter,2019/20 Q1,Moray,65-74 years,2 - <4 hours,2,35,22.6
Financial Quarter,2019/20 Q1,Moray,65-74 years,4 - <10 hours,3,40,25.8
Financial Quarter,2019/20 Q1,Moray,65-74 years,10+ hours,4,60,38.7
Financial Quarter,2019/20 Q1,Moray,65-74 years,Unknown,5,0,0
Financial Quarter,2019/20 Q1,Moray,75-84 years,0 - <2 hours,1,50,15.2
Financial Quarter,2019/20 Q1,Moray,75-84 years,2 - <4 hours,2,75,22.7
Financial Quarter,2019/20 Q1,Moray,75-84 years,4 - <10 hours,3,105,31.8
Financial Quarter,2019/20 Q1,Moray,75-84 years,10+ hours,4,100,30.3
Financial Quarter,2019/20 Q1,Moray,75-84 years,Unknown,5,0,0
Financial Quarter,2019/20 Q1,Moray,85+ years,0 - <2 hours,1,65,14.1
Financial Quarter,2019/20 Q1,Moray,85+ years,2 - <4 hours,2,65,14.1
Financial Quarter,2019/20 Q1,Moray,85+ years,4 - <10 hours,3,165,35.9
Financial Quarter,2019/20 Q1,Moray,85+ years,10+ hours,4,165,35.9
Financial Quarter,2019/20 Q1,Moray,85+ years,Unknown,5,0,0
Financial Quarter,2019/20 Q1,Moray,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q1,Moray,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q1,Moray,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q1,Moray,Unknown,10+ hours,4,0,NA
Financial Quarter,2019/20 Q1,Moray,Unknown,Unknown,5,0,NA
Financial Quarter,2019/20 Q2,Moray,All Ages,0 - <2 hours,1,155,13.5
Financial Quarter,2019/20 Q2,Moray,All Ages,2 - <4 hours,2,200,17.4
Financial Quarter,2019/20 Q2,Moray,All Ages,4 - <10 hours,3,390,33.9
Financial Quarter,2019/20 Q2,Moray,All Ages,10+ hours,4,405,35.2
Financial Quarter,2019/20 Q2,Moray,All Ages,Unknown,5,0,0
Financial Quarter,2019/20 Q2,Moray,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q2,Moray,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q2,Moray,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q2,Moray,0-17 years,10+ hours,4,0,NA
Financial Quarter,2019/20 Q2,Moray,0-17 years,Unknown,5,0,NA
Financial Quarter,2019/20 Q2,Moray,18-64 years,0 - <2 hours,1,25,12.5
Financial Quarter,2019/20 Q2,Moray,18-64 years,2 - <4 hours,2,25,12.5
Financial Quarter,2019/20 Q2,Moray,18-64 years,4 - <10 hours,3,65,32.5
Financial Quarter,2019/20 Q2,Moray,18-64 years,10+ hours,4,85,42.5
Financial Quarter,2019/20 Q2,Moray,18-64 years,Unknown,5,0,0
Financial Quarter,2019/20 Q2,Moray,65-74 years,0 - <2 hours,1,20,12.5
Financial Quarter,2019/20 Q2,Moray,65-74 years,2 - <4 hours,2,30,18.8
Financial Quarter,2019/20 Q2,Moray,65-74 years,4 - <10 hours,3,45,28.1
Financial Quarter,2019/20 Q2,Moray,65-74 years,10+ hours,4,65,40.6
Financial Quarter,2019/20 Q2,Moray,65-74 years,Unknown,5,0,0
Financial Quarter,2019/20 Q2,Moray,75-84 years,0 - <2 hours,1,50,15.2
Financial Quarter,2019/20 Q2,Moray,75-84 years,2 - <4 hours,2,70,21.2
Financial Quarter,2019/20 Q2,Moray,75-84 years,4 - <10 hours,3,115,34.8
Financial Quarter,2019/20 Q2,Moray,75-84 years,10+ hours,4,95,28.8
Financial Quarter,2019/20 Q2,Moray,75-84 years,Unknown,5,0,0
Financial Quarter,2019/20 Q2,Moray,85+ years,0 - <2 hours,1,65,14.1
Financial Quarter,2019/20 Q2,Moray,85+ years,2 - <4 hours,2,70,15.2
Financial Quarter,2019/20 Q2,Moray,85+ years,4 - <10 hours,3,165,35.9
Financial Quarter,2019/20 Q2,Moray,85+ years,10+ hours,4,160,34.8
Financial Quarter,2019/20 Q2,Moray,85+ years,Unknown,5,0,0
Financial Quarter,2019/20 Q2,Moray,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q2,Moray,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q2,Moray,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q2,Moray,Unknown,10+ hours,4,0,NA
Financial Quarter,2019/20 Q2,Moray,Unknown,Unknown,5,0,NA
Financial Quarter,2019/20 Q3,Moray,All Ages,0 - <2 hours,1,150,13.4
Financial Quarter,2019/20 Q3,Moray,All Ages,2 - <4 hours,2,200,17.9
Financial Quarter,2019/20 Q3,Moray,All Ages,4 - <10 hours,3,375,33.5
Financial Quarter,2019/20 Q3,Moray,All Ages,10+ hours,4,395,35.3
Financial Quarter,2019/20 Q3,Moray,All Ages,Unknown,5,0,0
Financial Quarter,2019/20 Q3,Moray,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q3,Moray,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q3,Moray,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q3,Moray,0-17 years,10+ hours,4,0,NA
Financial Quarter,2019/20 Q3,Moray,0-17 years,Unknown,5,0,NA
Financial Quarter,2019/20 Q3,Moray,18-64 years,0 - <2 hours,1,25,12.2
Financial Quarter,2019/20 Q3,Moray,18-64 years,2 - <4 hours,2,25,12.2
Financial Quarter,2019/20 Q3,Moray,18-64 years,4 - <10 hours,3,60,29.3
Financial Quarter,2019/20 Q3,Moray,18-64 years,10+ hours,4,95,46.3
Financial Quarter,2019/20 Q3,Moray,18-64 years,Unknown,5,0,0
Financial Quarter,2019/20 Q3,Moray,65-74 years,0 - <2 hours,1,20,12.9
Financial Quarter,2019/20 Q3,Moray,65-74 years,2 - <4 hours,2,35,22.6
Financial Quarter,2019/20 Q3,Moray,65-74 years,4 - <10 hours,3,45,29
Financial Quarter,2019/20 Q3,Moray,65-74 years,10+ hours,4,55,35.5
Financial Quarter,2019/20 Q3,Moray,65-74 years,Unknown,5,0,0
Financial Quarter,2019/20 Q3,Moray,75-84 years,0 - <2 hours,1,40,12.5
Financial Quarter,2019/20 Q3,Moray,75-84 years,2 - <4 hours,2,70,21.9
Financial Quarter,2019/20 Q3,Moray,75-84 years,4 - <10 hours,3,115,35.9
Financial Quarter,2019/20 Q3,Moray,75-84 years,10+ hours,4,95,29.7
Financial Quarter,2019/20 Q3,Moray,75-84 years,Unknown,5,0,0
Financial Quarter,2019/20 Q3,Moray,85+ years,0 - <2 hours,1,65,14.8
Financial Quarter,2019/20 Q3,Moray,85+ years,2 - <4 hours,2,75,17
Financial Quarter,2019/20 Q3,Moray,85+ years,4 - <10 hours,3,150,34.1
Financial Quarter,2019/20 Q3,Moray,85+ years,10+ hours,4,150,34.1
Financial Quarter,2019/20 Q3,Moray,85+ years,Unknown,5,0,0
Financial Quarter,2019/20 Q3,Moray,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q3,Moray,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q3,Moray,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q3,Moray,Unknown,10+ hours,4,0,NA
Financial Quarter,2019/20 Q3,Moray,Unknown,Unknown,5,0,NA
Financial Quarter,2019/20 Q4,Moray,All Ages,0 - <2 hours,1,145,13.1
Financial Quarter,2019/20 Q4,Moray,All Ages,2 - <4 hours,2,170,15.4
Financial Quarter,2019/20 Q4,Moray,All Ages,4 - <10 hours,3,375,33.9
Financial Quarter,2019/20 Q4,Moray,All Ages,10+ hours,4,415,37.6
Financial Quarter,2019/20 Q4,Moray,All Ages,Unknown,5,0,0
Financial Quarter,2019/20 Q4,Moray,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q4,Moray,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q4,Moray,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q4,Moray,0-17 years,10+ hours,4,0,NA
Financial Quarter,2019/20 Q4,Moray,0-17 years,Unknown,5,0,NA
Financial Quarter,2019/20 Q4,Moray,18-64 years,0 - <2 hours,1,30,13.3
Financial Quarter,2019/20 Q4,Moray,18-64 years,2 - <4 hours,2,25,11.1
Financial Quarter,2019/20 Q4,Moray,18-64 years,4 - <10 hours,3,70,31.1
Financial Quarter,2019/20 Q4,Moray,18-64 years,10+ hours,4,100,44.4
Financial Quarter,2019/20 Q4,Moray,18-64 years,Unknown,5,0,0
Financial Quarter,2019/20 Q4,Moray,65-74 years,0 - <2 hours,1,20,12.9
Financial Quarter,2019/20 Q4,Moray,65-74 years,2 - <4 hours,2,30,19.4
Financial Quarter,2019/20 Q4,Moray,65-74 years,4 - <10 hours,3,50,32.3
Financial Quarter,2019/20 Q4,Moray,65-74 years,10+ hours,4,55,35.5
Financial Quarter,2019/20 Q4,Moray,65-74 years,Unknown,5,0,0
Financial Quarter,2019/20 Q4,Moray,75-84 years,0 - <2 hours,1,40,12.5
Financial Quarter,2019/20 Q4,Moray,75-84 years,2 - <4 hours,2,55,17.2
Financial Quarter,2019/20 Q4,Moray,75-84 years,4 - <10 hours,3,115,35.9
Financial Quarter,2019/20 Q4,Moray,75-84 years,10+ hours,4,110,34.4
Financial Quarter,2019/20 Q4,Moray,75-84 years,Unknown,5,0,0
Financial Quarter,2019/20 Q4,Moray,85+ years,0 - <2 hours,1,55,13.3
Financial Quarter,2019/20 Q4,Moray,85+ years,2 - <4 hours,2,60,14.5
Financial Quarter,2019/20 Q4,Moray,85+ years,4 - <10 hours,3,145,34.9
Financial Quarter,2019/20 Q4,Moray,85+ years,10+ hours,4,155,37.3
Financial Quarter,2019/20 Q4,Moray,85+ years,Unknown,5,0,0
Financial Quarter,2019/20 Q4,Moray,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q4,Moray,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q4,Moray,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q4,Moray,Unknown,10+ hours,4,0,NA
Financial Quarter,2019/20 Q4,Moray,Unknown,Unknown,5,0,NA
Financial Quarter,2020/21 Q1,Moray,All Ages,0 - <2 hours,1,105,10.6
Financial Quarter,2020/21 Q1,Moray,All Ages,2 - <4 hours,2,145,14.6
Financial Quarter,2020/21 Q1,Moray,All Ages,4 - <10 hours,3,345,34.7
Financial Quarter,2020/21 Q1,Moray,All Ages,10+ hours,4,400,40.2
Financial Quarter,2020/21 Q1,Moray,All Ages,Unknown,5,0,0
Financial Quarter,2020/21 Q1,Moray,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2020/21 Q1,Moray,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2020/21 Q1,Moray,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2020/21 Q1,Moray,0-17 years,10+ hours,4,0,NA
Financial Quarter,2020/21 Q1,Moray,0-17 years,Unknown,5,0,NA
Financial Quarter,2020/21 Q1,Moray,18-64 years,0 - <2 hours,1,25,11.4
Financial Quarter,2020/21 Q1,Moray,18-64 years,2 - <4 hours,2,20,9.1
Financial Quarter,2020/21 Q1,Moray,18-64 years,4 - <10 hours,3,45,20.5
Financial Quarter,2020/21 Q1,Moray,18-64 years,10+ hours,4,130,59.1
Financial Quarter,2020/21 Q1,Moray,18-64 years,Unknown,5,0,0
Financial Quarter,2020/21 Q1,Moray,65-74 years,0 - <2 hours,1,15,11.1
Financial Quarter,2020/21 Q1,Moray,65-74 years,2 - <4 hours,2,20,14.8
Financial Quarter,2020/21 Q1,Moray,65-74 years,4 - <10 hours,3,50,37
Financial Quarter,2020/21 Q1,Moray,65-74 years,10+ hours,4,50,37
Financial Quarter,2020/21 Q1,Moray,65-74 years,Unknown,5,0,0
Financial Quarter,2020/21 Q1,Moray,75-84 years,0 - <2 hours,1,25,10
Financial Quarter,2020/21 Q1,Moray,75-84 years,2 - <4 hours,2,50,20
Financial Quarter,2020/21 Q1,Moray,75-84 years,4 - <10 hours,3,90,36
Financial Quarter,2020/21 Q1,Moray,75-84 years,10+ hours,4,85,34
Financial Quarter,2020/21 Q1,Moray,75-84 years,Unknown,5,0,0
Financial Quarter,2020/21 Q1,Moray,85+ years,0 - <2 hours,1,40,10.1
Financial Quarter,2020/21 Q1,Moray,85+ years,2 - <4 hours,2,60,15.2
Financial Quarter,2020/21 Q1,Moray,85+ years,4 - <10 hours,3,160,40.5
Financial Quarter,2020/21 Q1,Moray,85+ years,10+ hours,4,135,34.2
Financial Quarter,2020/21 Q1,Moray,85+ years,Unknown,5,0,0
Financial Quarter,2020/21 Q1,Moray,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2020/21 Q1,Moray,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2020/21 Q1,Moray,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2020/21 Q1,Moray,Unknown,10+ hours,4,0,NA
Financial Quarter,2020/21 Q1,Moray,Unknown,Unknown,5,0,NA
Financial Quarter,2020/21 Q2,Moray,All Ages,0 - <2 hours,1,105,10.1
Financial Quarter,2020/21 Q2,Moray,All Ages,2 - <4 hours,2,145,13.9
Financial Quarter,2020/21 Q2,Moray,All Ages,4 - <10 hours,3,345,33.2
Financial Quarter,2020/21 Q2,Moray,All Ages,10+ hours,4,445,42.8
Financial Quarter,2020/21 Q2,Moray,All Ages,Unknown,5,0,0
Financial Quarter,2020/21 Q2,Moray,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2020/21 Q2,Moray,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2020/21 Q2,Moray,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2020/21 Q2,Moray,0-17 years,10+ hours,4,0,NA
Financial Quarter,2020/21 Q2,Moray,0-17 years,Unknown,5,0,NA
Financial Quarter,2020/21 Q2,Moray,18-64 years,0 - <2 hours,1,30,12.5
Financial Quarter,2020/21 Q2,Moray,18-64 years,2 - <4 hours,2,25,10.4
Financial Quarter,2020/21 Q2,Moray,18-64 years,4 - <10 hours,3,45,18.8
Financial Quarter,2020/21 Q2,Moray,18-64 years,10+ hours,4,140,58.3
Financial Quarter,2020/21 Q2,Moray,18-64 years,Unknown,5,0,0
Financial Quarter,2020/21 Q2,Moray,65-74 years,0 - <2 hours,1,15,11.5
Financial Quarter,2020/21 Q2,Moray,65-74 years,2 - <4 hours,2,20,15.4
Financial Quarter,2020/21 Q2,Moray,65-74 years,4 - <10 hours,3,40,30.8
Financial Quarter,2020/21 Q2,Moray,65-74 years,10+ hours,4,55,42.3
Financial Quarter,2020/21 Q2,Moray,65-74 years,Unknown,5,0,0
Financial Quarter,2020/21 Q2,Moray,75-84 years,0 - <2 hours,1,25,9.4
Financial Quarter,2020/21 Q2,Moray,75-84 years,2 - <4 hours,2,50,18.9
Financial Quarter,2020/21 Q2,Moray,75-84 years,4 - <10 hours,3,95,35.8
Financial Quarter,2020/21 Q2,Moray,75-84 years,10+ hours,4,95,35.8
Financial Quarter,2020/21 Q2,Moray,75-84 years,Unknown,5,0,0
Financial Quarter,2020/21 Q2,Moray,85+ years,0 - <2 hours,1,35,8.8
Financial Quarter,2020/21 Q2,Moray,85+ years,2 - <4 hours,2,50,12.5
Financial Quarter,2020/21 Q2,Moray,85+ years,4 - <10 hours,3,160,40
Financial Quarter,2020/21 Q2,Moray,85+ years,10+ hours,4,155,38.8
Financial Quarter,2020/21 Q2,Moray,85+ years,Unknown,5,0,0
Financial Quarter,2020/21 Q2,Moray,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2020/21 Q2,Moray,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2020/21 Q2,Moray,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2020/21 Q2,Moray,Unknown,10+ hours,4,0,NA
Financial Quarter,2020/21 Q2,Moray,Unknown,Unknown,5,0,NA
Financial Quarter,2020/21 Q3,Moray,All Ages,0 - <2 hours,1,100,9.5
Financial Quarter,2020/21 Q3,Moray,All Ages,2 - <4 hours,2,150,14.2
Financial Quarter,2020/21 Q3,Moray,All Ages,4 - <10 hours,3,340,32.2
Financial Quarter,2020/21 Q3,Moray,All Ages,10+ hours,4,465,44.1
Financial Quarter,2020/21 Q3,Moray,All Ages,Unknown,5,0,0
Financial Quarter,2020/21 Q3,Moray,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2020/21 Q3,Moray,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2020/21 Q3,Moray,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2020/21 Q3,Moray,0-17 years,10+ hours,4,0,NA
Financial Quarter,2020/21 Q3,Moray,0-17 years,Unknown,5,0,NA
Financial Quarter,2020/21 Q3,Moray,18-64 years,0 - <2 hours,1,25,10.2
Financial Quarter,2020/21 Q3,Moray,18-64 years,2 - <4 hours,2,25,10.2
Financial Quarter,2020/21 Q3,Moray,18-64 years,4 - <10 hours,3,50,20.4
Financial Quarter,2020/21 Q3,Moray,18-64 years,10+ hours,4,145,59.2
Financial Quarter,2020/21 Q3,Moray,18-64 years,Unknown,5,0,0
Financial Quarter,2020/21 Q3,Moray,65-74 years,0 - <2 hours,1,15,10.3
Financial Quarter,2020/21 Q3,Moray,65-74 years,2 - <4 hours,2,20,13.8
Financial Quarter,2020/21 Q3,Moray,65-74 years,4 - <10 hours,3,45,31
Financial Quarter,2020/21 Q3,Moray,65-74 years,10+ hours,4,65,44.8
Financial Quarter,2020/21 Q3,Moray,65-74 years,Unknown,5,0,0
Financial Quarter,2020/21 Q3,Moray,75-84 years,0 - <2 hours,1,25,8.6
Financial Quarter,2020/21 Q3,Moray,75-84 years,2 - <4 hours,2,50,17.2
Financial Quarter,2020/21 Q3,Moray,75-84 years,4 - <10 hours,3,110,37.9
Financial Quarter,2020/21 Q3,Moray,75-84 years,10+ hours,4,105,36.2
