time_period,financial_quarter,sending_location,age_group,level_of_service,hours_order,nclient,percentage
Financial Quarter,2017/18 Q4,Aberdeenshire,85+ years,0 - <2 hours,1,125,12.8
Financial Quarter,2017/18 Q4,Aberdeenshire,85+ years,2 - <4 hours,2,175,17.9
Financial Quarter,2017/18 Q4,Aberdeenshire,85+ years,4 - <10 hours,3,320,32.8
Financial Quarter,2017/18 Q4,Aberdeenshire,85+ years,10+ hours,4,355,36.4
Financial Quarter,2017/18 Q4,Aberdeenshire,85+ years,Unknown,5,0,0
Financial Quarter,2017/18 Q4,Aberdeenshire,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2017/18 Q4,Aberdeenshire,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2017/18 Q4,Aberdeenshire,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2017/18 Q4,Aberdeenshire,Unknown,10+ hours,4,0,NA
Financial Quarter,2017/18 Q4,Aberdeenshire,Unknown,Unknown,5,0,NA
Financial Quarter,2018/19 Q1,Aberdeenshire,All Ages,0 - <2 hours,1,285,12.9
Financial Quarter,2018/19 Q1,Aberdeenshire,All Ages,2 - <4 hours,2,420,19
Financial Quarter,2018/19 Q1,Aberdeenshire,All Ages,4 - <10 hours,3,805,36.4
Financial Quarter,2018/19 Q1,Aberdeenshire,All Ages,10+ hours,4,700,31.7
Financial Quarter,2018/19 Q1,Aberdeenshire,All Ages,Unknown,5,0,0
Financial Quarter,2018/19 Q1,Aberdeenshire,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2018/19 Q1,Aberdeenshire,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2018/19 Q1,Aberdeenshire,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2018/19 Q1,Aberdeenshire,0-17 years,10+ hours,4,0,NA
Financial Quarter,2018/19 Q1,Aberdeenshire,0-17 years,Unknown,5,0,NA
Financial Quarter,2018/19 Q1,Aberdeenshire,18-64 years,0 - <2 hours,1,25,9.4
Financial Quarter,2018/19 Q1,Aberdeenshire,18-64 years,2 - <4 hours,2,45,17
Financial Quarter,2018/19 Q1,Aberdeenshire,18-64 years,4 - <10 hours,3,100,37.7
Financial Quarter,2018/19 Q1,Aberdeenshire,18-64 years,10+ hours,4,95,35.8
Financial Quarter,2018/19 Q1,Aberdeenshire,18-64 years,Unknown,5,0,0
Financial Quarter,2018/19 Q1,Aberdeenshire,65-74 years,0 - <2 hours,1,35,11.5
Financial Quarter,2018/19 Q1,Aberdeenshire,65-74 years,2 - <4 hours,2,65,21.3
Financial Quarter,2018/19 Q1,Aberdeenshire,65-74 years,4 - <10 hours,3,110,36.1
Financial Quarter,2018/19 Q1,Aberdeenshire,65-74 years,10+ hours,4,95,31.1
Financial Quarter,2018/19 Q1,Aberdeenshire,65-74 years,Unknown,5,0,0
Financial Quarter,2018/19 Q1,Aberdeenshire,75-84 years,0 - <2 hours,1,95,13.3
Financial Quarter,2018/19 Q1,Aberdeenshire,75-84 years,2 - <4 hours,2,150,21
Financial Quarter,2018/19 Q1,Aberdeenshire,75-84 years,4 - <10 hours,3,265,37.1
Financial Quarter,2018/19 Q1,Aberdeenshire,75-84 years,10+ hours,4,205,28.7
Financial Quarter,2018/19 Q1,Aberdeenshire,75-84 years,Unknown,5,0,0
Financial Quarter,2018/19 Q1,Aberdeenshire,85+ years,0 - <2 hours,1,130,14
Financial Quarter,2018/19 Q1,Aberdeenshire,85+ years,2 - <4 hours,2,160,17.2
Financial Quarter,2018/19 Q1,Aberdeenshire,85+ years,4 - <10 hours,3,330,35.5
Financial Quarter,2018/19 Q1,Aberdeenshire,85+ years,10+ hours,4,310,33.3
Financial Quarter,2018/19 Q1,Aberdeenshire,85+ years,Unknown,5,0,0
Financial Quarter,2018/19 Q1,Aberdeenshire,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2018/19 Q1,Aberdeenshire,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2018/19 Q1,Aberdeenshire,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2018/19 Q1,Aberdeenshire,Unknown,10+ hours,4,0,NA
Financial Quarter,2018/19 Q1,Aberdeenshire,Unknown,Unknown,5,0,NA
Financial Quarter,2018/19 Q2,Aberdeenshire,All Ages,0 - <2 hours,1,305,13.5
Financial Quarter,2018/19 Q2,Aberdeenshire,All Ages,2 - <4 hours,2,460,20.4
Financial Quarter,2018/19 Q2,Aberdeenshire,All Ages,4 - <10 hours,3,775,34.3
Financial Quarter,2018/19 Q2,Aberdeenshire,All Ages,10+ hours,4,720,31.9
Financial Quarter,2018/19 Q2,Aberdeenshire,All Ages,Unknown,5,0,0
Financial Quarter,2018/19 Q2,Aberdeenshire,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2018/19 Q2,Aberdeenshire,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2018/19 Q2,Aberdeenshire,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2018/19 Q2,Aberdeenshire,0-17 years,10+ hours,4,0,NA
Financial Quarter,2018/19 Q2,Aberdeenshire,0-17 years,Unknown,5,0,NA
Financial Quarter,2018/19 Q2,Aberdeenshire,18-64 years,0 - <2 hours,1,25,9.4
Financial Quarter,2018/19 Q2,Aberdeenshire,18-64 years,2 - <4 hours,2,65,24.5
Financial Quarter,2018/19 Q2,Aberdeenshire,18-64 years,4 - <10 hours,3,80,30.2
Financial Quarter,2018/19 Q2,Aberdeenshire,18-64 years,10+ hours,4,95,35.8
Financial Quarter,2018/19 Q2,Aberdeenshire,18-64 years,Unknown,5,0,0
Financial Quarter,2018/19 Q2,Aberdeenshire,65-74 years,0 - <2 hours,1,30,9.4
Financial Quarter,2018/19 Q2,Aberdeenshire,65-74 years,2 - <4 hours,2,75,23.4
Financial Quarter,2018/19 Q2,Aberdeenshire,65-74 years,4 - <10 hours,3,115,35.9
Financial Quarter,2018/19 Q2,Aberdeenshire,65-74 years,10+ hours,4,100,31.2
Financial Quarter,2018/19 Q2,Aberdeenshire,65-74 years,Unknown,5,0,0
Financial Quarter,2018/19 Q2,Aberdeenshire,75-84 years,0 - <2 hours,1,100,13.2
Financial Quarter,2018/19 Q2,Aberdeenshire,75-84 years,2 - <4 hours,2,160,21.2
Financial Quarter,2018/19 Q2,Aberdeenshire,75-84 years,4 - <10 hours,3,280,37.1
Financial Quarter,2018/19 Q2,Aberdeenshire,75-84 years,10+ hours,4,215,28.5
Financial Quarter,2018/19 Q2,Aberdeenshire,75-84 years,Unknown,5,0,0
Financial Quarter,2018/19 Q2,Aberdeenshire,85+ years,0 - <2 hours,1,145,15.8
Financial Quarter,2018/19 Q2,Aberdeenshire,85+ years,2 - <4 hours,2,160,17.5
Financial Quarter,2018/19 Q2,Aberdeenshire,85+ years,4 - <10 hours,3,300,32.8
Financial Quarter,2018/19 Q2,Aberdeenshire,85+ years,10+ hours,4,310,33.9
Financial Quarter,2018/19 Q2,Aberdeenshire,85+ years,Unknown,5,0,0
Financial Quarter,2018/19 Q2,Aberdeenshire,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2018/19 Q2,Aberdeenshire,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2018/19 Q2,Aberdeenshire,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2018/19 Q2,Aberdeenshire,Unknown,10+ hours,4,0,NA
Financial Quarter,2018/19 Q2,Aberdeenshire,Unknown,Unknown,5,0,NA
Financial Quarter,2018/19 Q3,Aberdeenshire,All Ages,0 - <2 hours,1,295,13.1
Financial Quarter,2018/19 Q3,Aberdeenshire,All Ages,2 - <4 hours,2,480,21.2
Financial Quarter,2018/19 Q3,Aberdeenshire,All Ages,4 - <10 hours,3,750,33.2
Financial Quarter,2018/19 Q3,Aberdeenshire,All Ages,10+ hours,4,735,32.5
Financial Quarter,2018/19 Q3,Aberdeenshire,All Ages,Unknown,5,0,0
Financial Quarter,2018/19 Q3,Aberdeenshire,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2018/19 Q3,Aberdeenshire,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2018/19 Q3,Aberdeenshire,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2018/19 Q3,Aberdeenshire,0-17 years,10+ hours,4,0,NA
Financial Quarter,2018/19 Q3,Aberdeenshire,0-17 years,Unknown,5,0,NA
Financial Quarter,2018/19 Q3,Aberdeenshire,18-64 years,0 - <2 hours,1,25,9.1
Financial Quarter,2018/19 Q3,Aberdeenshire,18-64 years,2 - <4 hours,2,65,23.6
Financial Quarter,2018/19 Q3,Aberdeenshire,18-64 years,4 - <10 hours,3,80,29.1
Financial Quarter,2018/19 Q3,Aberdeenshire,18-64 years,10+ hours,4,105,38.2
Financial Quarter,2018/19 Q3,Aberdeenshire,18-64 years,Unknown,5,0,0
Financial Quarter,2018/19 Q3,Aberdeenshire,65-74 years,0 - <2 hours,1,25,7.8
Financial Quarter,2018/19 Q3,Aberdeenshire,65-74 years,2 - <4 hours,2,80,25
Financial Quarter,2018/19 Q3,Aberdeenshire,65-74 years,4 - <10 hours,3,110,34.4
Financial Quarter,2018/19 Q3,Aberdeenshire,65-74 years,10+ hours,4,105,32.8
Financial Quarter,2018/19 Q3,Aberdeenshire,65-74 years,Unknown,5,0,0
Financial Quarter,2018/19 Q3,Aberdeenshire,75-84 years,0 - <2 hours,1,110,14.5
Financial Quarter,2018/19 Q3,Aberdeenshire,75-84 years,2 - <4 hours,2,170,22.4
Financial Quarter,2018/19 Q3,Aberdeenshire,75-84 years,4 - <10 hours,3,255,33.6
Financial Quarter,2018/19 Q3,Aberdeenshire,75-84 years,10+ hours,4,225,29.6
Financial Quarter,2018/19 Q3,Aberdeenshire,75-84 years,Unknown,5,0,0
Financial Quarter,2018/19 Q3,Aberdeenshire,85+ years,0 - <2 hours,1,135,15.1
Financial Quarter,2018/19 Q3,Aberdeenshire,85+ years,2 - <4 hours,2,160,17.9
Financial Quarter,2018/19 Q3,Aberdeenshire,85+ years,4 - <10 hours,3,300,33.5
Financial Quarter,2018/19 Q3,Aberdeenshire,85+ years,10+ hours,4,300,33.5
Financial Quarter,2018/19 Q3,Aberdeenshire,85+ years,Unknown,5,0,0
Financial Quarter,2018/19 Q3,Aberdeenshire,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2018/19 Q3,Aberdeenshire,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2018/19 Q3,Aberdeenshire,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2018/19 Q3,Aberdeenshire,Unknown,10+ hours,4,0,NA
Financial Quarter,2018/19 Q3,Aberdeenshire,Unknown,Unknown,5,0,NA
Financial Quarter,2018/19 Q4,Aberdeenshire,All Ages,0 - <2 hours,1,330,15.1
Financial Quarter,2018/19 Q4,Aberdeenshire,All Ages,2 - <4 hours,2,380,17.4
