time_period,financial_quarter,sending_location,age_group,measure,value
Financial Quarter,2018/19 Q1,Perth and Kinross,All Ages,Number of Hours,235475
Financial Quarter,2018/19 Q1,Renfrewshire,All Ages,"Rate per 1,000 Population",13.9
Financial Quarter,2018/19 Q1,Renfrewshire,All Ages,Number of People,2475
Financial Quarter,2018/19 Q1,Renfrewshire,All Ages,Number of Hours,420585
Financial Quarter,2018/19 Q1,Scottish Borders,All Ages,"Rate per 1,000 Population",12.1
Financial Quarter,2018/19 Q1,Scottish Borders,All Ages,Number of People,1395
Financial Quarter,2018/19 Q1,Scottish Borders,All Ages,Number of Hours,122200
Financial Quarter,2018/19 Q1,Shetland,All Ages,"Rate per 1,000 Population",16.3
Financial Quarter,2018/19 Q1,Shetland,All Ages,Number of People,375
Financial Quarter,2018/19 Q1,Shetland,All Ages,Number of Hours,36040
Financial Quarter,2018/19 Q1,South Ayrshire,All Ages,"Rate per 1,000 Population",17
Financial Quarter,2018/19 Q1,South Ayrshire,All Ages,Number of People,1915
Financial Quarter,2018/19 Q1,South Ayrshire,All Ages,Number of Hours,205635
Financial Quarter,2018/19 Q1,South Lanarkshire,All Ages,"Rate per 1,000 Population",13
Financial Quarter,2018/19 Q1,South Lanarkshire,All Ages,Number of People,4135
Financial Quarter,2018/19 Q1,South Lanarkshire,All Ages,Number of Hours,560555
Financial Quarter,2018/19 Q1,Stirling,All Ages,"Rate per 1,000 Population",14.9
Financial Quarter,2018/19 Q1,Stirling,All Ages,Number of People,1410
Financial Quarter,2018/19 Q1,Stirling,All Ages,Number of Hours,253720
Financial Quarter,2018/19 Q1,West Dunbartonshire,All Ages,"Rate per 1,000 Population",18.7
Financial Quarter,2018/19 Q1,West Dunbartonshire,All Ages,Number of People,1670
Financial Quarter,2018/19 Q1,West Dunbartonshire,All Ages,Number of Hours,138645
Financial Quarter,2018/19 Q1,West Lothian,All Ages,"Rate per 1,000 Population",12
Financial Quarter,2018/19 Q1,West Lothian,All Ages,Number of People,2180
Financial Quarter,2018/19 Q1,West Lothian,All Ages,Number of Hours,282795
Financial Quarter,2018/19 Q2,Scotland (Estimated),All Ages,"Rate per 1,000 Population",12.2
Financial Quarter,2018/19 Q2,Scotland (Estimated),All Ages,Number of People,66425
Financial Quarter,2018/19 Q2,Scotland (Estimated),All Ages,Number of Hours,8890525
Financial Quarter,2018/19 Q2,Aberdeen City,All Ages,"Rate per 1,000 Population",9.3
Financial Quarter,2018/19 Q2,Aberdeen City,All Ages,Number of People,2115
Financial Quarter,2018/19 Q2,Aberdeen City,All Ages,Number of Hours,353495
Financial Quarter,2018/19 Q2,Aberdeenshire,All Ages,"Rate per 1,000 Population",8.6
Financial Quarter,2018/19 Q2,Aberdeenshire,All Ages,Number of People,2260
Financial Quarter,2018/19 Q2,Aberdeenshire,All Ages,Number of Hours,219970
Financial Quarter,2018/19 Q2,Angus,All Ages,"Rate per 1,000 Population",11.1
