time_period,financial_quarter,sending_location,age_group,measure,value
Financial Quarter,2020/21 Q3,Shetland,All Ages,Number of People,390
Financial Quarter,2020/21 Q3,Shetland,All Ages,Number of Hours,43990
Financial Quarter,2020/21 Q3,South Ayrshire,All Ages,"Rate per 1,000 Population",17.8
Financial Quarter,2020/21 Q3,South Ayrshire,All Ages,Number of People,1995
Financial Quarter,2020/21 Q3,South Ayrshire,All Ages,Number of Hours,430355
Financial Quarter,2020/21 Q3,South Lanarkshire,All Ages,"Rate per 1,000 Population",13.4
Financial Quarter,2020/21 Q3,South Lanarkshire,All Ages,Number of People,4305
Financial Quarter,2020/21 Q3,South Lanarkshire,All Ages,Number of Hours,608930
Financial Quarter,2020/21 Q3,Stirling,All Ages,"Rate per 1,000 Population",14.1
Financial Quarter,2020/21 Q3,Stirling,All Ages,Number of People,1330
Financial Quarter,2020/21 Q3,Stirling,All Ages,Number of Hours,254560
Financial Quarter,2020/21 Q3,West Dunbartonshire,All Ages,"Rate per 1,000 Population",18.2
Financial Quarter,2020/21 Q3,West Dunbartonshire,All Ages,Number of People,1605
Financial Quarter,2020/21 Q3,West Dunbartonshire,All Ages,Number of Hours,110600
Financial Quarter,2020/21 Q3,West Lothian,All Ages,"Rate per 1,000 Population",11.4
Financial Quarter,2020/21 Q3,West Lothian,All Ages,Number of People,2090
Financial Quarter,2020/21 Q3,West Lothian,All Ages,Number of Hours,328900
Financial Quarter,2020/21 Q4,Scotland (Estimated),All Ages,"Rate per 1,000 Population",12.4
Financial Quarter,2020/21 Q4,Scotland (Estimated),All Ages,Number of People,67835
Financial Quarter,2020/21 Q4,Scotland (Estimated),All Ages,Number of Hours,9273040
Financial Quarter,2020/21 Q4,Aberdeen City,All Ages,"Rate per 1,000 Population",9.3
Financial Quarter,2020/21 Q4,Aberdeen City,All Ages,Number of People,2120
Financial Quarter,2020/21 Q4,Aberdeen City,All Ages,Number of Hours,316015
Financial Quarter,2020/21 Q4,Aberdeenshire,All Ages,"Rate per 1,000 Population",10.1
Financial Quarter,2020/21 Q4,Aberdeenshire,All Ages,Number of People,2625
Financial Quarter,2020/21 Q4,Aberdeenshire,All Ages,Number of Hours,257280
Financial Quarter,2020/21 Q4,Angus,All Ages,"Rate per 1,000 Population",13.3
Financial Quarter,2020/21 Q4,Angus,All Ages,Number of People,1540
Financial Quarter,2020/21 Q4,Angus,All Ages,Number of Hours,160750
Financial Quarter,2020/21 Q4,Argyll and Bute,All Ages,"Rate per 1,000 Population",19.3
Financial Quarter,2020/21 Q4,Argyll and Bute,All Ages,Number of People,1645
Financial Quarter,2020/21 Q4,Argyll and Bute,All Ages,Number of Hours,284715
Financial Quarter,2020/21 Q4,City of Edinburgh,All Ages,"Rate per 1,000 Population",11.1
Financial Quarter,2020/21 Q4,City of Edinburgh,All Ages,Number of People,5855
Financial Quarter,2020/21 Q4,City of Edinburgh,All Ages,Number of Hours,1426465
Financial Quarter,2020/21 Q4,Clackmannanshire,All Ages,"Rate per 1,000 Population",17.6
Financial Quarter,2020/21 Q4,Clackmannanshire,All Ages,Number of People,905
Financial Quarter,2020/21 Q4,Clackmannanshire,All Ages,Number of Hours,149730
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,All Ages,"Rate per 1,000 Population",13
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,All Ages,Number of People,345
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,All Ages,Number of Hours,22250
Financial Quarter,2020/21 Q4,Dumfries and Galloway,All Ages,"Rate per 1,000 Population",16.7
Financial Quarter,2020/21 Q4,Dumfries and Galloway,All Ages,Number of People,2470
Financial Quarter,2020/21 Q4,Dumfries and Galloway,All Ages,Number of Hours,702520
Financial Quarter,2020/21 Q4,Dundee City,All Ages,"Rate per 1,000 Population",13.6
Financial Quarter,2020/21 Q4,Dundee City,All Ages,Number of People,2025
Financial Quarter,2020/21 Q4,Dundee City,All Ages,Number of Hours,247760
Financial Quarter,2020/21 Q4,East Ayrshire,All Ages,"Rate per 1,000 Population",16.5
Financial Quarter,2020/21 Q4,East Ayrshire,All Ages,Number of People,2010
Financial Quarter,2020/21 Q4,East Ayrshire,All Ages,Number of Hours,213620
Financial Quarter,2020/21 Q4,East Dunbartonshire,All Ages,"Rate per 1,000 Population",13.6
Financial Quarter,2020/21 Q4,East Dunbartonshire,All Ages,Number of People,1475
Financial Quarter,2020/21 Q4,East Dunbartonshire,All Ages,Number of Hours,140440
Financial Quarter,2020/21 Q4,East Lothian,All Ages,"Rate per 1,000 Population",13.2
Financial Quarter,2020/21 Q4,East Lothian,All Ages,Number of People,1420
Financial Quarter,2020/21 Q4,East Lothian,All Ages,Number of Hours,279125
Financial Quarter,2020/21 Q4,East Renfrewshire,All Ages,"Rate per 1,000 Population",14.1
Financial Quarter,2020/21 Q4,East Renfrewshire,All Ages,Number of People,1355
Financial Quarter,2020/21 Q4,East Renfrewshire,All Ages,Number of Hours,129110
Financial Quarter,2020/21 Q4,Falkirk,All Ages,"Rate per 1,000 Population",12.6
Financial Quarter,2020/21 Q4,Falkirk,All Ages,Number of People,2030
Financial Quarter,2020/21 Q4,Falkirk,All Ages,Number of Hours,159750
Financial Quarter,2020/21 Q4,Fife,All Ages,"Rate per 1,000 Population",9.7
Financial Quarter,2020/21 Q4,Fife,All Ages,Number of People,3620
Financial Quarter,2020/21 Q4,Fife,All Ages,Number of Hours,442530
Financial Quarter,2020/21 Q4,Glasgow City,All Ages,"Rate per 1,000 Population",10
Financial Quarter,2020/21 Q4,Glasgow City,All Ages,Number of People,6355
Financial Quarter,2020/21 Q4,Glasgow City,All Ages,Number of Hours,599355
Financial Quarter,2020/21 Q4,Highland,All Ages,"Rate per 1,000 Population",9.8
Financial Quarter,2020/21 Q4,Highland,All Ages,Number of People,2305
Financial Quarter,2020/21 Q4,Highland,All Ages,Number of Hours,208350
Financial Quarter,2020/21 Q4,Inverclyde,All Ages,"Rate per 1,000 Population",16.9
Financial Quarter,2020/21 Q4,Inverclyde,All Ages,Number of People,1300
Financial Quarter,2020/21 Q4,Inverclyde,All Ages,Number of Hours,81155
Financial Quarter,2020/21 Q4,Midlothian,All Ages,"Rate per 1,000 Population",11.3
Financial Quarter,2020/21 Q4,Midlothian,All Ages,Number of People,1050
Financial Quarter,2020/21 Q4,Midlothian,All Ages,Number of Hours,190435
Financial Quarter,2020/21 Q4,Moray,All Ages,"Rate per 1,000 Population",11.8
Financial Quarter,2020/21 Q4,Moray,All Ages,Number of People,1125
Financial Quarter,2020/21 Q4,Moray,All Ages,Number of Hours,200125
Financial Quarter,2020/21 Q4,North Ayrshire,All Ages,"Rate per 1,000 Population",22.6
Financial Quarter,2020/21 Q4,North Ayrshire,All Ages,Number of People,3035
Financial Quarter,2020/21 Q4,North Ayrshire,All Ages,Number of Hours,360955
Financial Quarter,2020/21 Q4,North Lanarkshire,All Ages,"Rate per 1,000 Population",11.2
Financial Quarter,2020/21 Q4,North Lanarkshire,All Ages,Number of People,3830
Financial Quarter,2020/21 Q4,North Lanarkshire,All Ages,Number of Hours,369775
Financial Quarter,2020/21 Q4,Orkney Islands,All Ages,"Rate per 1,000 Population",8.3
Financial Quarter,2020/21 Q4,Orkney Islands,All Ages,Number of People,185
Financial Quarter,2020/21 Q4,Orkney Islands,All Ages,Number of Hours,17680
Financial Quarter,2020/21 Q4,Perth and Kinross,All Ages,"Rate per 1,000 Population",13.3
Financial Quarter,2020/21 Q4,Perth and Kinross,All Ages,Number of People,2015
Financial Quarter,2020/21 Q4,Perth and Kinross,All Ages,Number of Hours,272415
Financial Quarter,2020/21 Q4,Renfrewshire,All Ages,"Rate per 1,000 Population",11.5
Financial Quarter,2020/21 Q4,Renfrewshire,All Ages,Number of People,2055
Financial Quarter,2020/21 Q4,Renfrewshire,All Ages,Number of Hours,218655
Financial Quarter,2020/21 Q4,Scottish Borders,All Ages,"Rate per 1,000 Population",12.8
Financial Quarter,2020/21 Q4,Scottish Borders,All Ages,Number of People,1475
Financial Quarter,2020/21 Q4,Scottish Borders,All Ages,Number of Hours,132870
Financial Quarter,2020/21 Q4,Shetland,All Ages,"Rate per 1,000 Population",17.9
Financial Quarter,2020/21 Q4,Shetland,All Ages,Number of People,410
Financial Quarter,2020/21 Q4,Shetland,All Ages,Number of Hours,46310
Financial Quarter,2020/21 Q4,South Ayrshire,All Ages,"Rate per 1,000 Population",17.3
Financial Quarter,2020/21 Q4,South Ayrshire,All Ages,Number of People,1935
Financial Quarter,2020/21 Q4,South Ayrshire,All Ages,Number of Hours,421580
Financial Quarter,2020/21 Q4,South Lanarkshire,All Ages,"Rate per 1,000 Population",13.4
Financial Quarter,2020/21 Q4,South Lanarkshire,All Ages,Number of People,4310
Financial Quarter,2020/21 Q4,South Lanarkshire,All Ages,Number of Hours,595460
Financial Quarter,2020/21 Q4,Stirling,All Ages,"Rate per 1,000 Population",14.5
Financial Quarter,2020/21 Q4,Stirling,All Ages,Number of People,1365
Financial Quarter,2020/21 Q4,Stirling,All Ages,Number of Hours,208145
Financial Quarter,2020/21 Q4,West Dunbartonshire,All Ages,"Rate per 1,000 Population",18.1
Financial Quarter,2020/21 Q4,West Dunbartonshire,All Ages,Number of People,1595
Financial Quarter,2020/21 Q4,West Dunbartonshire,All Ages,Number of Hours,107495
Financial Quarter,2020/21 Q4,West Lothian,All Ages,"Rate per 1,000 Population",11.2
Financial Quarter,2020/21 Q4,West Lothian,All Ages,Number of People,2050
Financial Quarter,2020/21 Q4,West Lothian,All Ages,Number of Hours,310220
Census Week,2009/10,Scotland (Estimated),All Ages,"Rate per 1,000 Population",12.7
Census Week,2009/10,Scotland (Estimated),All Ages,Number of People,66225
Census Week,2009/10,Scotland (Estimated),All Ages,Number of Hours,632160
Census Week,2009/10,Aberdeen City,All Ages,"Rate per 1,000 Population",8.8
Census Week,2009/10,Aberdeen City,All Ages,Number of People,1900
Census Week,2009/10,Aberdeen City,All Ages,Number of Hours,15260
Census Week,2009/10,Aberdeenshire,All Ages,"Rate per 1,000 Population",9.6
Census Week,2009/10,Aberdeenshire,All Ages,Number of People,2395
Census Week,2009/10,Aberdeenshire,All Ages,Number of Hours,16505
Census Week,2009/10,Angus,All Ages,"Rate per 1,000 Population",15.5
Census Week,2009/10,Angus,All Ages,Number of People,1780
Census Week,2009/10,Angus,All Ages,Number of Hours,6555
Census Week,2009/10,Argyll and Bute,All Ages,"Rate per 1,000 Population",9.1
Census Week,2009/10,Argyll and Bute,All Ages,Number of People,815
Census Week,2009/10,Argyll and Bute,All Ages,Number of Hours,8225
Census Week,2009/10,City of Edinburgh,All Ages,"Rate per 1,000 Population",9.9
Census Week,2009/10,City of Edinburgh,All Ages,Number of People,4595
Census Week,2009/10,City of Edinburgh,All Ages,Number of Hours,40875
Census Week,2009/10,Clackmannanshire,All Ages,"Rate per 1,000 Population",14.5
Census Week,2009/10,Clackmannanshire,All Ages,Number of People,745
Census Week,2009/10,Clackmannanshire,All Ages,Number of Hours,6020
Census Week,2009/10,Comhairle nan Eilean Siar,All Ages,"Rate per 1,000 Population",20.8
Census Week,2009/10,Comhairle nan Eilean Siar,All Ages,Number of People,570
Census Week,2009/10,Comhairle nan Eilean Siar,All Ages,Number of Hours,5795
Census Week,2009/10,Dumfries and Galloway,All Ages,"Rate per 1,000 Population",15.9
Census Week,2009/10,Dumfries and Galloway,All Ages,Number of People,2410
Census Week,2009/10,Dumfries and Galloway,All Ages,Number of Hours,34830
Census Week,2009/10,Dundee City,All Ages,"Rate per 1,000 Population",15.2
Census Week,2009/10,Dundee City,All Ages,Number of People,2205
Census Week,2009/10,Dundee City,All Ages,Number of Hours,15235
Census Week,2009/10,East Ayrshire,All Ages,"Rate per 1,000 Population",15.7
Census Week,2009/10,East Ayrshire,All Ages,Number of People,1920
Census Week,2009/10,East Ayrshire,All Ages,Number of Hours,20985
Census Week,2009/10,East Dunbartonshire,All Ages,"Rate per 1,000 Population",14.2
Census Week,2009/10,East Dunbartonshire,All Ages,Number of People,1490
Census Week,2009/10,East Dunbartonshire,All Ages,Number of Hours,16565
Census Week,2009/10,East Lothian,All Ages,"Rate per 1,000 Population",15.9
Census Week,2009/10,East Lothian,All Ages,Number of People,1560
Census Week,2009/10,East Lothian,All Ages,Number of Hours,19285
Census Week,2009/10,East Renfrewshire,All Ages,"Rate per 1,000 Population",10.6
Census Week,2009/10,East Renfrewshire,All Ages,Number of People,955
Census Week,2009/10,East Renfrewshire,All Ages,Number of Hours,8075
Census Week,2009/10,Falkirk,All Ages,"Rate per 1,000 Population",16.8
Census Week,2009/10,Falkirk,All Ages,Number of People,2595
Census Week,2009/10,Falkirk,All Ages,Number of Hours,23620
Census Week,2009/10,Fife,All Ages,"Rate per 1,000 Population",13.4
Census Week,2009/10,Fife,All Ages,Number of People,4835
Census Week,2009/10,Fife,All Ages,Number of Hours,60065
Census Week,2009/10,Glasgow City,All Ages,"Rate per 1,000 Population",13.6
Census Week,2009/10,Glasgow City,All Ages,Number of People,7900
Census Week,2009/10,Glasgow City,All Ages,Number of Hours,77805
Census Week,2009/10,Highland,All Ages,"Rate per 1,000 Population",8.9
Census Week,2009/10,Highland,All Ages,Number of People,2040
Census Week,2009/10,Highland,All Ages,Number of Hours,12705
Census Week,2009/10,Inverclyde,All Ages,"Rate per 1,000 Population",17.1
Census Week,2009/10,Inverclyde,All Ages,Number of People,1395
Census Week,2009/10,Inverclyde,All Ages,Number of Hours,14915
Census Week,2009/10,Midlothian,All Ages,"Rate per 1,000 Population",12
Census Week,2009/10,Midlothian,All Ages,Number of People,980
Census Week,2009/10,Midlothian,All Ages,Number of Hours,10720
Census Week,2009/10,Moray,All Ages,"Rate per 1,000 Population",12.7
Census Week,2009/10,Moray,All Ages,Number of People,1180
Census Week,2009/10,Moray,All Ages,Number of Hours,10560
Census Week,2009/10,North Ayrshire,All Ages,"Rate per 1,000 Population",10.3
Census Week,2009/10,North Ayrshire,All Ages,Number of People,1420
Census Week,2009/10,North Ayrshire,All Ages,Number of Hours,11025
Census Week,2009/10,North Lanarkshire,All Ages,"Rate per 1,000 Population",11
Census Week,2009/10,North Lanarkshire,All Ages,Number of People,3690
Census Week,2009/10,North Lanarkshire,All Ages,Number of Hours,34745
Census Week,2009/10,Orkney Islands,All Ages,"Rate per 1,000 Population",13.6
Census Week,2009/10,Orkney Islands,All Ages,Number of People,285
Census Week,2009/10,Orkney Islands,All Ages,Number of Hours,1820
Census Week,2009/10,Perth and Kinross,All Ages,"Rate per 1,000 Population",10.6
Census Week,2009/10,Perth and Kinross,All Ages,Number of People,1525
Census Week,2009/10,Perth and Kinross,All Ages,Number of Hours,11605
Census Week,2009/10,Renfrewshire,All Ages,"Rate per 1,000 Population",12.8
Census Week,2009/10,Renfrewshire,All Ages,Number of People,2220
Census Week,2009/10,Renfrewshire,All Ages,Number of Hours,12675
Census Week,2009/10,Scottish Borders,All Ages,"Rate per 1,000 Population",12.2
Census Week,2009/10,Scottish Borders,All Ages,Number of People,1390
Census Week,2009/10,Scottish Borders,All Ages,Number of Hours,10875
Census Week,2009/10,Shetland,All Ages,"Rate per 1,000 Population",20.6
Census Week,2009/10,Shetland,All Ages,Number of People,470
Census Week,2009/10,Shetland,All Ages,Number of Hours,3275
Census Week,2009/10,South Ayrshire,All Ages,"Rate per 1,000 Population",19.7
Census Week,2009/10,South Ayrshire,All Ages,Number of People,2215
Census Week,2009/10,South Ayrshire,All Ages,Number of Hours,24565
Census Week,2009/10,South Lanarkshire,All Ages,"Rate per 1,000 Population",13.1
Census Week,2009/10,South Lanarkshire,All Ages,Number of People,4085
Census Week,2009/10,South Lanarkshire,All Ages,Number of Hours,53690
Census Week,2009/10,Stirling,All Ages,"Rate per 1,000 Population",13.6
Census Week,2009/10,Stirling,All Ages,Number of People,1210
Census Week,2009/10,Stirling,All Ages,Number of Hours,16010
Census Week,2009/10,West Dunbartonshire,All Ages,"Rate per 1,000 Population",19.4
Census Week,2009/10,West Dunbartonshire,All Ages,Number of People,1770
Census Week,2009/10,West Dunbartonshire,All Ages,Number of Hours,12630
Census Week,2009/10,West Lothian,All Ages,"Rate per 1,000 Population",9.7
Census Week,2009/10,West Lothian,All Ages,Number of People,1675
Census Week,2009/10,West Lothian,All Ages,Number of Hours,14645
Census Week,2010/11,Scotland (Estimated),All Ages,"Rate per 1,000 Population",12.1
Census Week,2010/11,Scotland (Estimated),All Ages,Number of People,63460
Census Week,2010/11,Scotland (Estimated),All Ages,Number of Hours,607415
Census Week,2010/11,Aberdeen City,All Ages,"Rate per 1,000 Population",8.8
Census Week,2010/11,Aberdeen City,All Ages,Number of People,1930
Census Week,2010/11,Aberdeen City,All Ages,Number of Hours,15895
Census Week,2010/11,Aberdeenshire,All Ages,"Rate per 1,000 Population",8.6
Census Week,2010/11,Aberdeenshire,All Ages,Number of People,2155
Census Week,2010/11,Aberdeenshire,All Ages,Number of Hours,14085
Census Week,2010/11,Angus,All Ages,"Rate per 1,000 Population",14.4
Census Week,2010/11,Angus,All Ages,Number of People,1660
Census Week,2010/11,Angus,All Ages,Number of Hours,6295
Census Week,2010/11,Argyll and Bute,All Ages,"Rate per 1,000 Population",9.4
Census Week,2010/11,Argyll and Bute,All Ages,Number of People,830
Census Week,2010/11,Argyll and Bute,All Ages,Number of Hours,8290
Census Week,2010/11,City of Edinburgh,All Ages,"Rate per 1,000 Population",9.3
Census Week,2010/11,City of Edinburgh,All Ages,Number of People,4380
Census Week,2010/11,City of Edinburgh,All Ages,Number of Hours,42045
Census Week,2010/11,Clackmannanshire,All Ages,"Rate per 1,000 Population",13.8
Census Week,2010/11,Clackmannanshire,All Ages,Number of People,710
Census Week,2010/11,Clackmannanshire,All Ages,Number of Hours,5985
Census Week,2010/11,Comhairle nan Eilean Siar,All Ages,"Rate per 1,000 Population",19.2
Census Week,2010/11,Comhairle nan Eilean Siar,All Ages,Number of People,530
Census Week,2010/11,Comhairle nan Eilean Siar,All Ages,Number of Hours,4950
Census Week,2010/11,Dumfries and Galloway,All Ages,"Rate per 1,000 Population",15.5
Census Week,2010/11,Dumfries and Galloway,All Ages,Number of People,2340
Census Week,2010/11,Dumfries and Galloway,All Ages,Number of Hours,30350
Census Week,2010/11,Dundee City,All Ages,"Rate per 1,000 Population",14.7
Census Week,2010/11,Dundee City,All Ages,Number of People,2150
Census Week,2010/11,Dundee City,All Ages,Number of Hours,14975
Census Week,2010/11,East Ayrshire,All Ages,"Rate per 1,000 Population",15
Census Week,2010/11,East Ayrshire,All Ages,Number of People,1835
Census Week,2010/11,East Ayrshire,All Ages,Number of Hours,18225
Census Week,2010/11,East Dunbartonshire,All Ages,"Rate per 1,000 Population",13.3
Census Week,2010/11,East Dunbartonshire,All Ages,Number of People,1400
Census Week,2010/11,East Dunbartonshire,All Ages,Number of Hours,16920
Census Week,2010/11,East Lothian,All Ages,"Rate per 1,000 Population",16
Census Week,2010/11,East Lothian,All Ages,Number of People,1590
Census Week,2010/11,East Lothian,All Ages,Number of Hours,19845
Census Week,2010/11,East Renfrewshire,All Ages,"Rate per 1,000 Population",10.9
Census Week,2010/11,East Renfrewshire,All Ages,Number of People,985
Census Week,2010/11,East Renfrewshire,All Ages,Number of Hours,8350
Census Week,2010/11,Falkirk,All Ages,"Rate per 1,000 Population",15.3
Census Week,2010/11,Falkirk,All Ages,Number of People,2370
Census Week,2010/11,Falkirk,All Ages,Number of Hours,22725
Census Week,2010/11,Fife,All Ages,"Rate per 1,000 Population",12.2
Census Week,2010/11,Fife,All Ages,Number of People,4440
Census Week,2010/11,Fife,All Ages,Number of Hours,44220
Census Week,2010/11,Glasgow City,All Ages,"Rate per 1,000 Population",12.4
Census Week,2010/11,Glasgow City,All Ages,Number of People,7255
Census Week,2010/11,Glasgow City,All Ages,Number of Hours,71170
Census Week,2010/11,Highland,All Ages,"Rate per 1,000 Population",8.9
Census Week,2010/11,Highland,All Ages,Number of People,2050
Census Week,2010/11,Highland,All Ages,Number of Hours,14400
Census Week,2010/11,Inverclyde,All Ages,"Rate per 1,000 Population",15.6
Census Week,2010/11,Inverclyde,All Ages,Number of People,1275
Census Week,2010/11,Inverclyde,All Ages,Number of Hours,11295
Census Week,2010/11,Midlothian,All Ages,"Rate per 1,000 Population",12.1
Census Week,2010/11,Midlothian,All Ages,Number of People,995
Census Week,2010/11,Midlothian,All Ages,Number of Hours,10980
Census Week,2010/11,Moray,All Ages,"Rate per 1,000 Population",12.8
Census Week,2010/11,Moray,All Ages,Number of People,1195
Census Week,2010/11,Moray,All Ages,Number of Hours,10170
Census Week,2010/11,North Ayrshire,All Ages,"Rate per 1,000 Population",10.3
Census Week,2010/11,North Ayrshire,All Ages,Number of People,1425
Census Week,2010/11,North Ayrshire,All Ages,Number of Hours,11250
Census Week,2010/11,North Lanarkshire,All Ages,"Rate per 1,000 Population",10.2
Census Week,2010/11,North Lanarkshire,All Ages,Number of People,3430
Census Week,2010/11,North Lanarkshire,All Ages,Number of Hours,29805
Census Week,2010/11,Orkney Islands,All Ages,"Rate per 1,000 Population",12.3
Census Week,2010/11,Orkney Islands,All Ages,Number of People,260
Census Week,2010/11,Orkney Islands,All Ages,Number of Hours,1580
Census Week,2010/11,Perth and Kinross,All Ages,"Rate per 1,000 Population",10.4
Census Week,2010/11,Perth and Kinross,All Ages,Number of People,1520
Census Week,2010/11,Perth and Kinross,All Ages,Number of Hours,11905
Census Week,2010/11,Renfrewshire,All Ages,"Rate per 1,000 Population",10.5
Census Week,2010/11,Renfrewshire,All Ages,Number of People,1820
Census Week,2010/11,Renfrewshire,All Ages,Number of Hours,25420
Census Week,2010/11,Scottish Borders,All Ages,"Rate per 1,000 Population",12.1
Census Week,2010/11,Scottish Borders,All Ages,Number of People,1375
Census Week,2010/11,Scottish Borders,All Ages,Number of Hours,9900
Census Week,2010/11,Shetland,All Ages,"Rate per 1,000 Population",21.7
Census Week,2010/11,Shetland,All Ages,Number of People,500
Census Week,2010/11,Shetland,All Ages,Number of Hours,3770
Census Week,2010/11,South Ayrshire,All Ages,"Rate per 1,000 Population",21.6
Census Week,2010/11,South Ayrshire,All Ages,Number of People,2435
Census Week,2010/11,South Ayrshire,All Ages,Number of Hours,26855
Census Week,2010/11,South Lanarkshire,All Ages,"Rate per 1,000 Population",12.7
Census Week,2010/11,South Lanarkshire,All Ages,Number of People,3965
Census Week,2010/11,South Lanarkshire,All Ages,Number of Hours,52375
Census Week,2010/11,Stirling,All Ages,"Rate per 1,000 Population",13.9
Census Week,2010/11,Stirling,All Ages,Number of People,1245
Census Week,2010/11,Stirling,All Ages,Number of Hours,17100
Census Week,2010/11,West Dunbartonshire,All Ages,"Rate per 1,000 Population",18.3
Census Week,2010/11,West Dunbartonshire,All Ages,Number of People,1665
Census Week,2010/11,West Dunbartonshire,All Ages,Number of Hours,11975
Census Week,2010/11,West Lothian,All Ages,"Rate per 1,000 Population",10.1
Census Week,2010/11,West Lothian,All Ages,Number of People,1750
Census Week,2010/11,West Lothian,All Ages,Number of Hours,14305
Census Week,2011/12,Scotland (Estimated),All Ages,"Rate per 1,000 Population",11.9
Census Week,2011/12,Scotland (Estimated),All Ages,Number of People,62830
Census Week,2011/12,Scotland (Estimated),All Ages,Number of Hours,627380
Census Week,2011/12,Aberdeen City,All Ages,"Rate per 1,000 Population",9
Census Week,2011/12,Aberdeen City,All Ages,Number of People,1995
Census Week,2011/12,Aberdeen City,All Ages,Number of Hours,16330
Census Week,2011/12,Aberdeenshire,All Ages,"Rate per 1,000 Population",8.4
Census Week,2011/12,Aberdeenshire,All Ages,Number of People,2120
Census Week,2011/12,Aberdeenshire,All Ages,Number of Hours,14835
Census Week,2011/12,Angus,All Ages,"Rate per 1,000 Population",13.4
Census Week,2011/12,Angus,All Ages,Number of People,1555
Census Week,2011/12,Angus,All Ages,Number of Hours,6595
Census Week,2011/12,Argyll and Bute,All Ages,"Rate per 1,000 Population",10.1
Census Week,2011/12,Argyll and Bute,All Ages,Number of People,900
Census Week,2011/12,Argyll and Bute,All Ages,Number of Hours,9340
Census Week,2011/12,City of Edinburgh,All Ages,"Rate per 1,000 Population",8.9
Census Week,2011/12,City of Edinburgh,All Ages,Number of People,4235
Census Week,2011/12,City of Edinburgh,All Ages,Number of Hours,42555
Census Week,2011/12,Clackmannanshire,All Ages,"Rate per 1,000 Population",13.3
Census Week,2011/12,Clackmannanshire,All Ages,Number of People,685
Census Week,2011/12,Clackmannanshire,All Ages,Number of Hours,6330
Census Week,2011/12,Comhairle nan Eilean Siar,All Ages,"Rate per 1,000 Population",19.7
Census Week,2011/12,Comhairle nan Eilean Siar,All Ages,Number of People,545
Census Week,2011/12,Comhairle nan Eilean Siar,All Ages,Number of Hours,4955
Census Week,2011/12,Dumfries and Galloway,All Ages,"Rate per 1,000 Population",16.4
Census Week,2011/12,Dumfries and Galloway,All Ages,Number of People,2480
Census Week,2011/12,Dumfries and Galloway,All Ages,Number of Hours,36725
Census Week,2011/12,Dundee City,All Ages,"Rate per 1,000 Population",12.8
Census Week,2011/12,Dundee City,All Ages,Number of People,1880
Census Week,2011/12,Dundee City,All Ages,Number of Hours,14885
Census Week,2011/12,East Ayrshire,All Ages,"Rate per 1,000 Population",16.8
Census Week,2011/12,East Ayrshire,All Ages,Number of People,2065
Census Week,2011/12,East Ayrshire,All Ages,Number of Hours,22810
Census Week,2011/12,East Dunbartonshire,All Ages,"Rate per 1,000 Population",11.8
Census Week,2011/12,East Dunbartonshire,All Ages,Number of People,1240
Census Week,2011/12,East Dunbartonshire,All Ages,Number of Hours,16730
Census Week,2011/12,East Lothian,All Ages,"Rate per 1,000 Population",16.1
Census Week,2011/12,East Lothian,All Ages,Number of People,1605
Census Week,2011/12,East Lothian,All Ages,Number of Hours,22000
Census Week,2011/12,East Renfrewshire,All Ages,"Rate per 1,000 Population",11.2
Census Week,2011/12,East Renfrewshire,All Ages,Number of People,1020
Census Week,2011/12,East Renfrewshire,All Ages,Number of Hours,8625
Census Week,2011/12,Falkirk,All Ages,"Rate per 1,000 Population",15.3
Census Week,2011/12,Falkirk,All Ages,Number of People,2385
Census Week,2011/12,Falkirk,All Ages,Number of Hours,20995
Census Week,2011/12,Fife,All Ages,"Rate per 1,000 Population",11.7
Census Week,2011/12,Fife,All Ages,Number of People,4290
Census Week,2011/12,Fife,All Ages,Number of Hours,38665
Census Week,2011/12,Glasgow City,All Ages,"Rate per 1,000 Population",11.8
Census Week,2011/12,Glasgow City,All Ages,Number of People,6980
Census Week,2011/12,Glasgow City,All Ages,Number of Hours,70655
Census Week,2011/12,Highland,All Ages,"Rate per 1,000 Population",8.5
Census Week,2011/12,Highland,All Ages,Number of People,1980
Census Week,2011/12,Highland,All Ages,Number of Hours,14365
Census Week,2011/12,Inverclyde,All Ages,"Rate per 1,000 Population",15.4
Census Week,2011/12,Inverclyde,All Ages,Number of People,1250
Census Week,2011/12,Inverclyde,All Ages,Number of Hours,11165
Census Week,2011/12,Midlothian,All Ages,"Rate per 1,000 Population",12.4
Census Week,2011/12,Midlothian,All Ages,Number of People,1035
Census Week,2011/12,Midlothian,All Ages,Number of Hours,10680
Census Week,2011/12,Moray,All Ages,"Rate per 1,000 Population",12.9
Census Week,2011/12,Moray,All Ages,Number of People,1210
Census Week,2011/12,Moray,All Ages,Number of Hours,10355
Census Week,2011/12,North Ayrshire,All Ages,"Rate per 1,000 Population",13.4
Census Week,2011/12,North Ayrshire,All Ages,Number of People,1850
Census Week,2011/12,North Ayrshire,All Ages,Number of Hours,25380
Census Week,2011/12,North Lanarkshire,All Ages,"Rate per 1,000 Population",9.8
Census Week,2011/12,North Lanarkshire,All Ages,Number of People,3310
Census Week,2011/12,North Lanarkshire,All Ages,Number of Hours,27240
Census Week,2011/12,Orkney Islands,All Ages,"Rate per 1,000 Population",11.2
