time_period,financial_quarter,sending_location,age_group,nclient,percentage,scotland_percentage
Financial Quarter,2018/19 Q3,Highland,All Ages,2110,100,93.6
Financial Quarter,2018/19 Q3,Highland,0-17 years,0,NA,82.4
Financial Quarter,2018/19 Q3,Highland,18-64 years,210,100,76.5
Financial Quarter,2018/19 Q3,Highland,65-74 years,295,100,94.9
Financial Quarter,2018/19 Q3,Highland,75-84 years,710,100,97.6
Financial Quarter,2018/19 Q3,Highland,85+ years,895,100,97.8
Financial Quarter,2018/19 Q3,Highland,Unknown,0,0,0
Financial Quarter,2018/19 Q3,Inverclyde,All Ages,1375,99.6,93.6
Financial Quarter,2018/19 Q3,Inverclyde,0-17 years,0,0,82.4
Financial Quarter,2018/19 Q3,Inverclyde,18-64 years,155,96.9,76.5
Financial Quarter,2018/19 Q3,Inverclyde,65-74 years,240,100,94.9
Financial Quarter,2018/19 Q3,Inverclyde,75-84 years,500,100,97.6
Financial Quarter,2018/19 Q3,Inverclyde,85+ years,480,100,97.8
Financial Quarter,2018/19 Q3,Inverclyde,Unknown,0,0,0
Financial Quarter,2018/19 Q3,Midlothian,All Ages,815,79.5,93.6
Financial Quarter,2018/19 Q3,Midlothian,0-17 years,0,NA,82.4
Financial Quarter,2018/19 Q3,Midlothian,18-64 years,90,40.9,76.5
Financial Quarter,2018/19 Q3,Midlothian,65-74 years,125,73.5,94.9
Financial Quarter,2018/19 Q3,Midlothian,75-84 years,310,93.9,97.6
Financial Quarter,2018/19 Q3,Midlothian,85+ years,290,95.1,97.8
Financial Quarter,2018/19 Q3,Midlothian,Unknown,0,0,0
Financial Quarter,2018/19 Q3,Moray,All Ages,1025,84.7,93.6
Financial Quarter,2018/19 Q3,Moray,0-17 years,0,0,82.4
Financial Quarter,2018/19 Q3,Moray,18-64 years,125,47.2,76.5
Financial Quarter,2018/19 Q3,Moray,65-74 years,145,90.6,94.9
Financial Quarter,2018/19 Q3,Moray,75-84 years,330,94.3,97.6
Financial Quarter,2018/19 Q3,Moray,85+ years,420,95.5,97.8
Financial Quarter,2018/19 Q3,Moray,Unknown,0,0,0
Financial Quarter,2018/19 Q3,North Ayrshire,All Ages,2320,91.2,93.6
Financial Quarter,2018/19 Q3,North Ayrshire,0-17 years,0,0,82.4
Financial Quarter,2018/19 Q3,North Ayrshire,18-64 years,330,62.3,76.5
Financial Quarter,2018/19 Q3,North Ayrshire,65-74 years,415,95.4,94.9
Financial Quarter,2018/19 Q3,North Ayrshire,75-84 years,790,99.4,97.6
Financial Quarter,2018/19 Q3,North Ayrshire,85+ years,780,100,97.8
Financial Quarter,2018/19 Q3,North Ayrshire,Unknown,0,0,0
Financial Quarter,2018/19 Q3,North Lanarkshire,All Ages,4025,99.3,93.6
Financial Quarter,2018/19 Q3,North Lanarkshire,0-17 years,15,100,82.4
Financial Quarter,2018/19 Q3,North Lanarkshire,18-64 years,390,96.3,76.5
Financial Quarter,2018/19 Q3,North Lanarkshire,65-74 years,755,98.7,94.9
Financial Quarter,2018/19 Q3,North Lanarkshire,75-84 years,1530,99.7,97.6
Financial Quarter,2018/19 Q3,North Lanarkshire,85+ years,1335,99.6,97.8
Financial Quarter,2018/19 Q3,North Lanarkshire,Unknown,0,0,0
Financial Quarter,2018/19 Q3,Perth and Kinross,All Ages,1775,97,93.6
Financial Quarter,2018/19 Q3,Perth and Kinross,0-17 years,0,0,82.4
Financial Quarter,2018/19 Q3,Perth and Kinross,18-64 years,225,81.8,76.5
Financial Quarter,2018/19 Q3,Perth and Kinross,65-74 years,240,100,94.9
Financial Quarter,2018/19 Q3,Perth and Kinross,75-84 years,570,100,97.6
Financial Quarter,2018/19 Q3,Perth and Kinross,85+ years,740,100,97.8
Financial Quarter,2018/19 Q3,Perth and Kinross,Unknown,0,0,0
Financial Quarter,2018/19 Q3,Renfrewshire,All Ages,2235,93.9,93.6
Financial Quarter,2018/19 Q3,Renfrewshire,0-17 years,0,NA,82.4
Financial Quarter,2018/19 Q3,Renfrewshire,18-64 years,410,77.4,76.5
Financial Quarter,2018/19 Q3,Renfrewshire,65-74 years,395,96.3,94.9
Financial Quarter,2018/19 Q3,Renfrewshire,75-84 years,730,100,97.6
Financial Quarter,2018/19 Q3,Renfrewshire,85+ years,705,100,97.8
Financial Quarter,2018/19 Q3,Renfrewshire,Unknown,0,0,0
Financial Quarter,2018/19 Q3,Scottish Borders,All Ages,1455,100,93.6
Financial Quarter,2018/19 Q3,Scottish Borders,0-17 years,0,0,82.4
Financial Quarter,2018/19 Q3,Scottish Borders,18-64 years,125,100,76.5
Financial Quarter,2018/19 Q3,Scottish Borders,65-74 years,180,100,94.9
Financial Quarter,2018/19 Q3,Scottish Borders,75-84 years,485,100,97.6
Financial Quarter,2018/19 Q3,Scottish Borders,85+ years,665,100,97.8
Financial Quarter,2018/19 Q3,Scottish Borders,Unknown,0,0,0
Financial Quarter,2018/19 Q3,Shetland,All Ages,295,78.7,93.6
Financial Quarter,2018/19 Q3,Shetland,0-17 years,0,0,82.4
Financial Quarter,2018/19 Q3,Shetland,18-64 years,70,87.5,76.5
Financial Quarter,2018/19 Q3,Shetland,65-74 years,35,70,94.9
Financial Quarter,2018/19 Q3,Shetland,75-84 years,80,66.7,97.6
Financial Quarter,2018/19 Q3,Shetland,85+ years,105,84,97.8
Financial Quarter,2018/19 Q3,Shetland,Unknown,0,0,0
Financial Quarter,2018/19 Q3,South Ayrshire,All Ages,2020,100,93.6
Financial Quarter,2018/19 Q3,South Ayrshire,0-17 years,0,0,82.4
Financial Quarter,2018/19 Q3,South Ayrshire,18-64 years,440,100,76.5
Financial Quarter,2018/19 Q3,South Ayrshire,65-74 years,305,100,94.9
Financial Quarter,2018/19 Q3,South Ayrshire,75-84 years,615,100,97.6
Financial Quarter,2018/19 Q3,South Ayrshire,85+ years,660,100,97.8
Financial Quarter,2018/19 Q3,South Ayrshire,Unknown,0,0,0
Financial Quarter,2018/19 Q3,South Lanarkshire,All Ages,3965,95.5,93.6
Financial Quarter,2018/19 Q3,South Lanarkshire,0-17 years,30,85.7,82.4
Financial Quarter,2018/19 Q3,South Lanarkshire,18-64 years,470,76.4,76.5
Financial Quarter,2018/19 Q3,South Lanarkshire,65-74 years,585,96.7,94.9
Financial Quarter,2018/19 Q3,South Lanarkshire,75-84 years,1390,99.3,97.6
Financial Quarter,2018/19 Q3,South Lanarkshire,85+ years,1490,99.7,97.8
Financial Quarter,2018/19 Q3,South Lanarkshire,Unknown,0,0,0
Financial Quarter,2018/19 Q3,Stirling,All Ages,1195,84.8,93.6
Financial Quarter,2018/19 Q3,Stirling,0-17 years,0,NA,82.4
Financial Quarter,2018/19 Q3,Stirling,18-64 years,225,55.6,76.5
Financial Quarter,2018/19 Q3,Stirling,65-74 years,145,87.9,94.9
Financial Quarter,2018/19 Q3,Stirling,75-84 years,395,97.5,97.6
Financial Quarter,2018/19 Q3,Stirling,85+ years,430,100,97.8
Financial Quarter,2018/19 Q3,Stirling,Unknown,0,0,0
Financial Quarter,2018/19 Q3,West Dunbartonshire,All Ages,1580,94.3,93.6
Financial Quarter,2018/19 Q3,West Dunbartonshire,0-17 years,0,0,82.4
Financial Quarter,2018/19 Q3,West Dunbartonshire,18-64 years,170,89.5,76.5
Financial Quarter,2018/19 Q3,West Dunbartonshire,65-74 years,305,92.4,94.9
Financial Quarter,2018/19 Q3,West Dunbartonshire,75-84 years,570,95,97.6
Financial Quarter,2018/19 Q3,West Dunbartonshire,85+ years,535,95.5,97.8
Financial Quarter,2018/19 Q3,West Dunbartonshire,Unknown,0,0,0
Financial Quarter,2018/19 Q3,West Lothian,All Ages,1975,99,93.6
Financial Quarter,2018/19 Q3,West Lothian,0-17 years,0,NA,82.4
Financial Quarter,2018/19 Q3,West Lothian,18-64 years,580,100,76.5
Financial Quarter,2018/19 Q3,West Lothian,65-74 years,360,98.6,94.9
Financial Quarter,2018/19 Q3,West Lothian,75-84 years,605,98.4,97.6
Financial Quarter,2018/19 Q3,West Lothian,85+ years,430,98.9,97.8
Financial Quarter,2018/19 Q3,West Lothian,Unknown,0,0,0
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),All Ages,62370,93.2,93.2
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),0-17 years,140,77.8,77.8
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),18-64 years,9085,77.2,77.2
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),65-74 years,9850,94.6,94.6
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),75-84 years,21255,97.3,97.3
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),85+ years,22045,97.2,97.2
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),Unknown,0,0,0
Financial Quarter,2018/19 Q4,Aberdeen City,All Ages,2115,99.8,93.2
Financial Quarter,2018/19 Q4,Aberdeen City,0-17 years,5,100,77.8
Financial Quarter,2018/19 Q4,Aberdeen City,18-64 years,355,98.6,77.2
Financial Quarter,2018/19 Q4,Aberdeen City,65-74 years,310,98.4,94.6
Financial Quarter,2018/19 Q4,Aberdeen City,75-84 years,620,100,97.3
Financial Quarter,2018/19 Q4,Aberdeen City,85+ years,820,100,97.2
Financial Quarter,2018/19 Q4,Aberdeen City,Unknown,0,0,0
Financial Quarter,2018/19 Q4,Aberdeenshire,All Ages,1845,84.4,93.2
Financial Quarter,2018/19 Q4,Aberdeenshire,0-17 years,0,0,77.8
Financial Quarter,2018/19 Q4,Aberdeenshire,18-64 years,10,3.6,77.2
Financial Quarter,2018/19 Q4,Aberdeenshire,65-74 years,300,95.2,94.6
Financial Quarter,2018/19 Q4,Aberdeenshire,75-84 years,720,96,97.3
Financial Quarter,2018/19 Q4,Aberdeenshire,85+ years,820,97.6,97.2
Financial Quarter,2018/19 Q4,Aberdeenshire,Unknown,0,0,0
Financial Quarter,2018/19 Q4,Angus,All Ages,1330,92.4,93.2
Financial Quarter,2018/19 Q4,Angus,0-17 years,5,100,77.8
Financial Quarter,2018/19 Q4,Angus,18-64 years,240,81.4,77.2
Financial Quarter,2018/19 Q4,Angus,65-74 years,195,92.9,94.6
Financial Quarter,2018/19 Q4,Angus,75-84 years,400,96.4,97.3
Financial Quarter,2018/19 Q4,Angus,85+ years,490,94.2,97.2
Financial Quarter,2018/19 Q4,Angus,Unknown,0,0,0
Financial Quarter,2018/19 Q4,Argyll and Bute,All Ages,1495,92,93.2
Financial Quarter,2018/19 Q4,Argyll and Bute,0-17 years,0,0,77.8
Financial Quarter,2018/19 Q4,Argyll and Bute,18-64 years,220,65.7,77.2
Financial Quarter,2018/19 Q4,Argyll and Bute,65-74 years,215,95.6,94.6
Financial Quarter,2018/19 Q4,Argyll and Bute,75-84 years,485,100,97.3
Financial Quarter,2018/19 Q4,Argyll and Bute,85+ years,575,100,97.2
Financial Quarter,2018/19 Q4,Argyll and Bute,Unknown,0,0,0
Financial Quarter,2018/19 Q4,City of Edinburgh,All Ages,4530,85.2,93.2
Financial Quarter,2018/19 Q4,City of Edinburgh,0-17 years,0,0,77.8
Financial Quarter,2018/19 Q4,City of Edinburgh,18-64 years,1100,65.9,77.2
Financial Quarter,2018/19 Q4,City of Edinburgh,65-74 years,635,87.6,94.6
Financial Quarter,2018/19 Q4,City of Edinburgh,75-84 years,1220,95.7,97.3
Financial Quarter,2018/19 Q4,City of Edinburgh,85+ years,1575,95.5,97.2
Financial Quarter,2018/19 Q4,City of Edinburgh,Unknown,0,0,0
Financial Quarter,2018/19 Q4,Clackmannanshire,All Ages,785,90.2,93.2
Financial Quarter,2018/19 Q4,Clackmannanshire,0-17 years,0,NA,77.8
Financial Quarter,2018/19 Q4,Clackmannanshire,18-64 years,120,61.5,77.2
Financial Quarter,2018/19 Q4,Clackmannanshire,65-74 years,145,100,94.6
Financial Quarter,2018/19 Q4,Clackmannanshire,75-84 years,275,100,97.3
Financial Quarter,2018/19 Q4,Clackmannanshire,85+ years,245,98,97.2
Financial Quarter,2018/19 Q4,Clackmannanshire,Unknown,0,0,0
Financial Quarter,2018/19 Q4,Comhairle nan Eilean Siar,All Ages,390,100,93.2
Financial Quarter,2018/19 Q4,Comhairle nan Eilean Siar,0-17 years,0,0,77.8
Financial Quarter,2018/19 Q4,Comhairle nan Eilean Siar,18-64 years,40,100,77.2
Financial Quarter,2018/19 Q4,Comhairle nan Eilean Siar,65-74 years,50,100,94.6
Financial Quarter,2018/19 Q4,Comhairle nan Eilean Siar,75-84 years,120,100,97.3
Financial Quarter,2018/19 Q4,Comhairle nan Eilean Siar,85+ years,185,100,97.2
Financial Quarter,2018/19 Q4,Comhairle nan Eilean Siar,Unknown,0,0,0
Financial Quarter,2018/19 Q4,Dumfries and Galloway,All Ages,2185,94,93.2
Financial Quarter,2018/19 Q4,Dumfries and Galloway,0-17 years,5,100,77.8
Financial Quarter,2018/19 Q4,Dumfries and Galloway,18-64 years,450,78.3,77.2
Financial Quarter,2018/19 Q4,Dumfries and Galloway,65-74 years,340,95.8,94.6
Financial Quarter,2018/19 Q4,Dumfries and Galloway,75-84 years,675,100,97.3
Financial Quarter,2018/19 Q4,Dumfries and Galloway,85+ years,715,99.3,97.2
Financial Quarter,2018/19 Q4,Dumfries and Galloway,Unknown,0,0,0
Financial Quarter,2018/19 Q4,Dundee City,All Ages,1685,84.7,93.2
Financial Quarter,2018/19 Q4,Dundee City,0-17 years,0,NA,77.8
Financial Quarter,2018/19 Q4,Dundee City,18-64 years,180,72,77.2
Financial Quarter,2018/19 Q4,Dundee City,65-74 years,290,82.9,94.6
Financial Quarter,2018/19 Q4,Dundee City,75-84 years,580,85.9,97.3
Financial Quarter,2018/19 Q4,Dundee City,85+ years,630,88.7,97.2
Financial Quarter,2018/19 Q4,Dundee City,Unknown,0,0,0
Financial Quarter,2018/19 Q4,East Ayrshire,All Ages,2005,99,93.2
Financial Quarter,2018/19 Q4,East Ayrshire,0-17 years,0,0,77.8
Financial Quarter,2018/19 Q4,East Ayrshire,18-64 years,265,94.6,77.2
Financial Quarter,2018/19 Q4,East Ayrshire,65-74 years,340,100,94.6
Financial Quarter,2018/19 Q4,East Ayrshire,75-84 years,750,99.3,97.3
Financial Quarter,2018/19 Q4,East Ayrshire,85+ years,650,100,97.2
Financial Quarter,2018/19 Q4,East Ayrshire,Unknown,0,0,0
Financial Quarter,2018/19 Q4,East Dunbartonshire,All Ages,1630,100,93.2
Financial Quarter,2018/19 Q4,East Dunbartonshire,0-17 years,25,100,77.8
Financial Quarter,2018/19 Q4,East Dunbartonshire,18-64 years,130,100,77.2
Financial Quarter,2018/19 Q4,East Dunbartonshire,65-74 years,205,100,94.6
Financial Quarter,2018/19 Q4,East Dunbartonshire,75-84 years,610,100,97.3
Financial Quarter,2018/19 Q4,East Dunbartonshire,85+ years,660,100,97.2
Financial Quarter,2018/19 Q4,East Dunbartonshire,Unknown,0,0,0
Financial Quarter,2018/19 Q4,East Lothian,All Ages,1195,81.8,93.2
Financial Quarter,2018/19 Q4,East Lothian,0-17 years,0,0,77.8
Financial Quarter,2018/19 Q4,East Lothian,18-64 years,165,41.8,77.2
Financial Quarter,2018/19 Q4,East Lothian,65-74 years,170,91.9,94.6
Financial Quarter,2018/19 Q4,East Lothian,75-84 years,410,98.8,97.3
Financial Quarter,2018/19 Q4,East Lothian,85+ years,450,100,97.2
Financial Quarter,2018/19 Q4,East Lothian,Unknown,0,0,0
Financial Quarter,2018/19 Q4,East Renfrewshire,All Ages,1010,85.2,93.2
Financial Quarter,2018/19 Q4,East Renfrewshire,0-17 years,0,0,77.8
Financial Quarter,2018/19 Q4,East Renfrewshire,18-64 years,80,57.1,77.2
Financial Quarter,2018/19 Q4,East Renfrewshire,65-74 years,125,80.6,94.6
Financial Quarter,2018/19 Q4,East Renfrewshire,75-84 years,340,89.5,97.3
Financial Quarter,2018/19 Q4,East Renfrewshire,85+ years,465,92.1,97.2
Financial Quarter,2018/19 Q4,East Renfrewshire,Unknown,0,0,0
Financial Quarter,2018/19 Q4,Falkirk,All Ages,2080,99,93.2
Financial Quarter,2018/19 Q4,Falkirk,0-17 years,15,100,77.8
Financial Quarter,2018/19 Q4,Falkirk,18-64 years,220,100,77.2
Financial Quarter,2018/19 Q4,Falkirk,65-74 years,320,100,94.6
Financial Quarter,2018/19 Q4,Falkirk,75-84 years,760,99.3,97.3
Financial Quarter,2018/19 Q4,Falkirk,85+ years,765,98.7,97.2
Financial Quarter,2018/19 Q4,Falkirk,Unknown,0,0,0
Financial Quarter,2018/19 Q4,Fife,All Ages,3720,98.2,93.2
Financial Quarter,2018/19 Q4,Fife,0-17 years,15,100,77.8
Financial Quarter,2018/19 Q4,Fife,18-64 years,1010,93.5,77.2
Financial Quarter,2018/19 Q4,Fife,65-74 years,570,100,94.6
Financial Quarter,2018/19 Q4,Fife,75-84 years,1030,100,97.3
Financial Quarter,2018/19 Q4,Fife,85+ years,1095,100,97.2
Financial Quarter,2018/19 Q4,Fife,Unknown,0,0,0
Financial Quarter,2018/19 Q4,Glasgow City,All Ages,6260,94.9,93.2
Financial Quarter,2018/19 Q4,Glasgow City,0-17 years,10,66.7,77.8
Financial Quarter,2018/19 Q4,Glasgow City,18-64 years,370,92.5,77.2
Financial Quarter,2018/19 Q4,Glasgow City,65-74 years,1100,94,94.6
Financial Quarter,2018/19 Q4,Glasgow City,75-84 years,2520,96.2,97.3
Financial Quarter,2018/19 Q4,Glasgow City,85+ years,2260,94.6,97.2
Financial Quarter,2018/19 Q4,Glasgow City,Unknown,0,0,0
Financial Quarter,2018/19 Q4,Highland,All Ages,2095,100,93.2
Financial Quarter,2018/19 Q4,Highland,0-17 years,0,0,77.8
Financial Quarter,2018/19 Q4,Highland,18-64 years,215,100,77.2
Financial Quarter,2018/19 Q4,Highland,65-74 years,290,100,94.6
Financial Quarter,2018/19 Q4,Highland,75-84 years,710,100,97.3
Financial Quarter,2018/19 Q4,Highland,85+ years,880,100,97.2
Financial Quarter,2018/19 Q4,Highland,Unknown,0,0,0
Financial Quarter,2018/19 Q4,Inverclyde,All Ages,1365,98.9,93.2
Financial Quarter,2018/19 Q4,Inverclyde,0-17 years,0,0,77.8
Financial Quarter,2018/19 Q4,Inverclyde,18-64 years,145,96.7,77.2
Financial Quarter,2018/19 Q4,Inverclyde,65-74 years,245,98,94.6
Financial Quarter,2018/19 Q4,Inverclyde,75-84 years,510,99,97.3
Financial Quarter,2018/19 Q4,Inverclyde,85+ years,465,100,97.2
Financial Quarter,2018/19 Q4,Inverclyde,Unknown,0,0,0
Financial Quarter,2018/19 Q4,Midlothian,All Ages,725,69,93.2
Financial Quarter,2018/19 Q4,Midlothian,0-17 years,0,0,77.8
Financial Quarter,2018/19 Q4,Midlothian,18-64 years,175,62.5,77.2
Financial Quarter,2018/19 Q4,Midlothian,65-74 years,115,69.7,94.6
Financial Quarter,2018/19 Q4,Midlothian,75-84 years,225,73.8,97.3
Financial Quarter,2018/19 Q4,Midlothian,85+ years,215,72.9,97.2
Financial Quarter,2018/19 Q4,Midlothian,Unknown,0,0,0
Financial Quarter,2018/19 Q4,Moray,All Ages,1025,88.7,93.2
Financial Quarter,2018/19 Q4,Moray,0-17 years,0,0,77.8
Financial Quarter,2018/19 Q4,Moray,18-64 years,125,62.5,77.2
Financial Quarter,2018/19 Q4,Moray,65-74 years,145,90.6,94.6
Financial Quarter,2018/19 Q4,Moray,75-84 years,340,95.8,97.3
Financial Quarter,2018/19 Q4,Moray,85+ years,415,95.4,97.2
Financial Quarter,2018/19 Q4,Moray,Unknown,0,0,0
Financial Quarter,2018/19 Q4,North Ayrshire,All Ages,2405,91.3,93.2
Financial Quarter,2018/19 Q4,North Ayrshire,0-17 years,5,100,77.8
Financial Quarter,2018/19 Q4,North Ayrshire,18-64 years,370,63.8,77.2
Financial Quarter,2018/19 Q4,North Ayrshire,65-74 years,440,96.7,94.6
Financial Quarter,2018/19 Q4,North Ayrshire,75-84 years,845,99.4,97.3
Financial Quarter,2018/19 Q4,North Ayrshire,85+ years,745,100,97.2
Financial Quarter,2018/19 Q4,North Ayrshire,Unknown,0,0,0
Financial Quarter,2018/19 Q4,North Lanarkshire,All Ages,3965,99,93.2
Financial Quarter,2018/19 Q4,North Lanarkshire,0-17 years,15,75,77.8
Financial Quarter,2018/19 Q4,North Lanarkshire,18-64 years,385,96.2,77.2
Financial Quarter,2018/19 Q4,North Lanarkshire,65-74 years,735,99.3,94.6
Financial Quarter,2018/19 Q4,North Lanarkshire,75-84 years,1520,99.7,97.3
Financial Quarter,2018/19 Q4,North Lanarkshire,85+ years,1315,99.6,97.2
Financial Quarter,2018/19 Q4,North Lanarkshire,Unknown,0,0,0
Financial Quarter,2018/19 Q4,Perth and Kinross,All Ages,1830,97.1,93.2
Financial Quarter,2018/19 Q4,Perth and Kinross,0-17 years,0,0,77.8
Financial Quarter,2018/19 Q4,Perth and Kinross,18-64 years,230,82.1,77.2
Financial Quarter,2018/19 Q4,Perth and Kinross,65-74 years,245,100,94.6
Financial Quarter,2018/19 Q4,Perth and Kinross,75-84 years,595,99.2,97.3
Financial Quarter,2018/19 Q4,Perth and Kinross,85+ years,760,100,97.2
Financial Quarter,2018/19 Q4,Perth and Kinross,Unknown,0,0,0
Financial Quarter,2018/19 Q4,Renfrewshire,All Ages,2255,93.8,93.2
Financial Quarter,2018/19 Q4,Renfrewshire,0-17 years,0,NA,77.8
Financial Quarter,2018/19 Q4,Renfrewshire,18-64 years,420,76.4,77.2
Financial Quarter,2018/19 Q4,Renfrewshire,65-74 years,405,96.4,94.6
Financial Quarter,2018/19 Q4,Renfrewshire,75-84 years,730,99.3,97.3
Financial Quarter,2018/19 Q4,Renfrewshire,85+ years,695,100,97.2
Financial Quarter,2018/19 Q4,Renfrewshire,Unknown,0,0,0
Financial Quarter,2018/19 Q4,Scottish Borders,All Ages,1275,87,93.2
Financial Quarter,2018/19 Q4,Scottish Borders,0-17 years,0,0,77.8
Financial Quarter,2018/19 Q4,Scottish Borders,18-64 years,85,65.4,77.2
Financial Quarter,2018/19 Q4,Scottish Borders,65-74 years,155,83.8,94.6
Financial Quarter,2018/19 Q4,Scottish Borders,75-84 years,470,93.1,97.3
Financial Quarter,2018/19 Q4,Scottish Borders,85+ years,565,87.6,97.2
Financial Quarter,2018/19 Q4,Scottish Borders,Unknown,0,0,0
Financial Quarter,2018/19 Q4,Shetland,All Ages,260,74.3,93.2
Financial Quarter,2018/19 Q4,Shetland,0-17 years,0,0,77.8
Financial Quarter,2018/19 Q4,Shetland,18-64 years,70,93.3,77.2
Financial Quarter,2018/19 Q4,Shetland,65-74 years,35,70,94.6
Financial Quarter,2018/19 Q4,Shetland,75-84 years,70,63.6,97.3
Financial Quarter,2018/19 Q4,Shetland,85+ years,90,78.3,97.2
Financial Quarter,2018/19 Q4,Shetland,Unknown,0,0,0
Financial Quarter,2018/19 Q4,South Ayrshire,All Ages,2055,100,93.2
Financial Quarter,2018/19 Q4,South Ayrshire,0-17 years,0,0,77.8
Financial Quarter,2018/19 Q4,South Ayrshire,18-64 years,440,100,77.2
Financial Quarter,2018/19 Q4,South Ayrshire,65-74 years,315,100,94.6
Financial Quarter,2018/19 Q4,South Ayrshire,75-84 years,650,100,97.3
Financial Quarter,2018/19 Q4,South Ayrshire,85+ years,650,100,97.2
Financial Quarter,2018/19 Q4,South Ayrshire,Unknown,0,0,0
Financial Quarter,2018/19 Q4,South Lanarkshire,All Ages,4030,95.7,93.2
Financial Quarter,2018/19 Q4,South Lanarkshire,0-17 years,30,85.7,77.8
Financial Quarter,2018/19 Q4,South Lanarkshire,18-64 years,465,75.6,77.2
Financial Quarter,2018/19 Q4,South Lanarkshire,65-74 years,610,97.6,94.6
Financial Quarter,2018/19 Q4,South Lanarkshire,75-84 years,1475,99.3,97.3
Financial Quarter,2018/19 Q4,South Lanarkshire,85+ years,1450,99.7,97.2
Financial Quarter,2018/19 Q4,South Lanarkshire,Unknown,0,0,0
Financial Quarter,2018/19 Q4,Stirling,All Ages,1200,85.1,93.2
Financial Quarter,2018/19 Q4,Stirling,0-17 years,0,0,77.8
Financial Quarter,2018/19 Q4,Stirling,18-64 years,230,56.1,77.2
Financial Quarter,2018/19 Q4,Stirling,65-74 years,145,90.6,94.6
Financial Quarter,2018/19 Q4,Stirling,75-84 years,405,97.6,97.3
Financial Quarter,2018/19 Q4,Stirling,85+ years,420,100,97.2
Financial Quarter,2018/19 Q4,Stirling,Unknown,0,0,0
Financial Quarter,2018/19 Q4,West Dunbartonshire,All Ages,1565,94,93.2
Financial Quarter,2018/19 Q4,West Dunbartonshire,0-17 years,0,0,77.8
Financial Quarter,2018/19 Q4,West Dunbartonshire,18-64 years,165,86.8,77.2
Financial Quarter,2018/19 Q4,West Dunbartonshire,65-74 years,310,92.5,94.6
Financial Quarter,2018/19 Q4,West Dunbartonshire,75-84 years,580,95.9,97.3
Financial Quarter,2018/19 Q4,West Dunbartonshire,85+ years,515,97.2,97.2
Financial Quarter,2018/19 Q4,West Dunbartonshire,Unknown,0,0,0
Financial Quarter,2018/19 Q4,West Lothian,All Ages,2060,98.8,93.2
Financial Quarter,2018/19 Q4,West Lothian,0-17 years,0,NA,77.8
Financial Quarter,2018/19 Q4,West Lothian,18-64 years,605,99.2,77.2
Financial Quarter,2018/19 Q4,West Lothian,65-74 years,365,98.6,94.6
Financial Quarter,2018/19 Q4,West Lothian,75-84 years,615,98.4,97.3
Financial Quarter,2018/19 Q4,West Lothian,85+ years,470,98.9,97.2
Financial Quarter,2018/19 Q4,West Lothian,Unknown,0,0,0
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),All Ages,58245,89.1,89.1
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),0-17 years,150,90.9,90.9
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),18-64 years,8960,78.3,78.3
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),65-74 years,8620,89.9,89.9
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),75-84 years,18435,91.4,91.4
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),85+ years,22085,92.1,92.1
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),Unknown,0,0,0
Financial Quarter,2019/20 Q1,Aberdeenshire,All Ages,2330,92.1,89.1
Financial Quarter,2019/20 Q1,Aberdeenshire,0-17 years,0,0,90.9
Financial Quarter,2019/20 Q1,Aberdeenshire,18-64 years,185,61.7,78.3
Financial Quarter,2019/20 Q1,Aberdeenshire,65-74 years,325,95.6,89.9
Financial Quarter,2019/20 Q1,Aberdeenshire,75-84 years,785,96.3,91.4
Financial Quarter,2019/20 Q1,Aberdeenshire,85+ years,1040,97.2,92.1
Financial Quarter,2019/20 Q1,Aberdeenshire,Unknown,0,0,0
Financial Quarter,2019/20 Q1,Angus,All Ages,1300,92.5,89.1
Financial Quarter,2019/20 Q1,Angus,0-17 years,5,100,90.9
Financial Quarter,2019/20 Q1,Angus,18-64 years,225,81.8,78.3
Financial Quarter,2019/20 Q1,Angus,65-74 years,185,92.5,89.9
Financial Quarter,2019/20 Q1,Angus,75-84 years,380,96.2,91.4
Financial Quarter,2019/20 Q1,Angus,85+ years,505,95.3,92.1
Financial Quarter,2019/20 Q1,Angus,Unknown,0,0,0
Financial Quarter,2019/20 Q1,Argyll and Bute,All Ages,1495,92,89.1
Financial Quarter,2019/20 Q1,Argyll and Bute,0-17 years,0,0,90.9
Financial Quarter,2019/20 Q1,Argyll and Bute,18-64 years,225,66.2,78.3
Financial Quarter,2019/20 Q1,Argyll and Bute,65-74 years,190,92.7,89.9
Financial Quarter,2019/20 Q1,Argyll and Bute,75-84 years,465,100,91.4
Financial Quarter,2019/20 Q1,Argyll and Bute,85+ years,615,100,92.1
