time_period,financial_quarter,sending_location,age_group,measure,value,scotland_value
Financial Quarter,2019/20 Q2,North Lanarkshire,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2019/20 Q2,North Lanarkshire,Unknown,Number of People,0,0
Financial Quarter,2019/20 Q2,North Lanarkshire,Unknown,Number of Hours,0,0
Financial Quarter,2019/20 Q2,Orkney Islands,All Ages,"Rate per 1,000 Population",9.2,12.4
Financial Quarter,2019/20 Q2,Orkney Islands,All Ages,Number of People,205,67570
Financial Quarter,2019/20 Q2,Orkney Islands,All Ages,Number of Hours,20085,9560000
Financial Quarter,2019/20 Q2,Orkney Islands,0-17 years,"Rate per 1,000 Population",0,0.2
Financial Quarter,2019/20 Q2,Orkney Islands,0-17 years,Number of People,0,170
Financial Quarter,2019/20 Q2,Orkney Islands,0-17 years,Number of Hours,0,27060
Financial Quarter,2019/20 Q2,Orkney Islands,18-64 years,"Rate per 1,000 Population",1.5,3.6
Financial Quarter,2019/20 Q2,Orkney Islands,18-64 years,Number of People,20,12205
Financial Quarter,2019/20 Q2,Orkney Islands,18-64 years,Number of Hours,2455,3709785
Financial Quarter,2019/20 Q2,Orkney Islands,65-74 years,"Rate per 1,000 Population",8.7,17.4
Financial Quarter,2019/20 Q2,Orkney Islands,65-74 years,Number of People,25,10035
Financial Quarter,2019/20 Q2,Orkney Islands,65-74 years,Number of Hours,3595,1278170
Financial Quarter,2019/20 Q2,Orkney Islands,75-84 years,"Rate per 1,000 Population",35.6,61.8
Financial Quarter,2019/20 Q2,Orkney Islands,75-84 years,Number of People,65,20945
Financial Quarter,2019/20 Q2,Orkney Islands,75-84 years,Number of Hours,4850,2069580
Financial Quarter,2019/20 Q2,Orkney Islands,85+ years,"Rate per 1,000 Population",156.2,190.6
Financial Quarter,2019/20 Q2,Orkney Islands,85+ years,Number of People,95,24220
Financial Quarter,2019/20 Q2,Orkney Islands,85+ years,Number of Hours,9185,2475405
Financial Quarter,2019/20 Q2,Perth and Kinross,All Ages,"Rate per 1,000 Population",13.2,12.4
Financial Quarter,2019/20 Q2,Perth and Kinross,All Ages,Number of People,2005,67570
Financial Quarter,2019/20 Q2,Perth and Kinross,All Ages,Number of Hours,269370,9560000
Financial Quarter,2019/20 Q2,Perth and Kinross,0-17 years,"Rate per 1,000 Population",0,0.2
Financial Quarter,2019/20 Q2,Perth and Kinross,0-17 years,Number of People,0,170
Financial Quarter,2019/20 Q2,Perth and Kinross,0-17 years,Number of Hours,405,27060
Financial Quarter,2019/20 Q2,Perth and Kinross,18-64 years,"Rate per 1,000 Population",3.3,3.6
Financial Quarter,2019/20 Q2,Perth and Kinross,18-64 years,Number of People,295,12205
Financial Quarter,2019/20 Q2,Perth and Kinross,18-64 years,Number of Hours,107765,3709785
Financial Quarter,2019/20 Q2,Perth and Kinross,65-74 years,"Rate per 1,000 Population",13.6,17.4
Financial Quarter,2019/20 Q2,Perth and Kinross,65-74 years,Number of People,260,10035
Financial Quarter,2019/20 Q2,Perth and Kinross,65-74 years,Number of Hours,30935,1278170
Financial Quarter,2019/20 Q2,Perth and Kinross,75-84 years,"Rate per 1,000 Population",49.8,61.8
Financial Quarter,2019/20 Q2,Perth and Kinross,75-84 years,Number of People,585,20945
Financial Quarter,2019/20 Q2,Perth and Kinross,75-84 years,Number of Hours,47540,2069580
Financial Quarter,2019/20 Q2,Perth and Kinross,85+ years,"Rate per 1,000 Population",176,190.6
Financial Quarter,2019/20 Q2,Perth and Kinross,85+ years,Number of People,865,24220
Financial Quarter,2019/20 Q2,Perth and Kinross,85+ years,Number of Hours,82725,2475405
Financial Quarter,2019/20 Q2,Perth and Kinross,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2019/20 Q2,Perth and Kinross,Unknown,Number of People,0,0
Financial Quarter,2019/20 Q2,Perth and Kinross,Unknown,Number of Hours,0,0
Financial Quarter,2019/20 Q2,Renfrewshire,All Ages,"Rate per 1,000 Population",13.3,12.4
Financial Quarter,2019/20 Q2,Renfrewshire,All Ages,Number of People,2380,67570
Financial Quarter,2019/20 Q2,Renfrewshire,All Ages,Number of Hours,438400,9560000
Financial Quarter,2019/20 Q2,Renfrewshire,0-17 years,"Rate per 1,000 Population",0.1,0.2
Financial Quarter,2019/20 Q2,Renfrewshire,0-17 years,Number of People,5,170
Financial Quarter,2019/20 Q2,Renfrewshire,0-17 years,Number of Hours,175,27060
Financial Quarter,2019/20 Q2,Renfrewshire,18-64 years,"Rate per 1,000 Population",4.9,3.6
Financial Quarter,2019/20 Q2,Renfrewshire,18-64 years,Number of People,550,12205
Financial Quarter,2019/20 Q2,Renfrewshire,18-64 years,Number of Hours,259270,3709785
Financial Quarter,2019/20 Q2,Renfrewshire,65-74 years,"Rate per 1,000 Population",19.9,17.4
Financial Quarter,2019/20 Q2,Renfrewshire,65-74 years,Number of People,370,10035
Financial Quarter,2019/20 Q2,Renfrewshire,65-74 years,Number of Hours,54840,1278170
Financial Quarter,2019/20 Q2,Renfrewshire,75-84 years,"Rate per 1,000 Population",64,61.8
Financial Quarter,2019/20 Q2,Renfrewshire,75-84 years,Number of People,715,20945
Financial Quarter,2019/20 Q2,Renfrewshire,75-84 years,Number of Hours,62975,2069580
Financial Quarter,2019/20 Q2,Renfrewshire,85+ years,"Rate per 1,000 Population",179.1,190.6
Financial Quarter,2019/20 Q2,Renfrewshire,85+ years,Number of People,740,24220
Financial Quarter,2019/20 Q2,Renfrewshire,85+ years,Number of Hours,61140,2475405
Financial Quarter,2019/20 Q2,Renfrewshire,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2019/20 Q2,Renfrewshire,Unknown,Number of People,0,0
Financial Quarter,2019/20 Q2,Renfrewshire,Unknown,Number of Hours,0,0
Financial Quarter,2019/20 Q2,Scottish Borders,All Ages,"Rate per 1,000 Population",13.3,12.4
Financial Quarter,2019/20 Q2,Scottish Borders,All Ages,Number of People,1535,67570
Financial Quarter,2019/20 Q2,Scottish Borders,All Ages,Number of Hours,142920,9560000
Financial Quarter,2019/20 Q2,Scottish Borders,0-17 years,"Rate per 1,000 Population",0,0.2
Financial Quarter,2019/20 Q2,Scottish Borders,0-17 years,Number of People,0,170
Financial Quarter,2019/20 Q2,Scottish Borders,0-17 years,Number of Hours,0,27060
Financial Quarter,2019/20 Q2,Scottish Borders,18-64 years,"Rate per 1,000 Population",2.4,3.6
Financial Quarter,2019/20 Q2,Scottish Borders,18-64 years,Number of People,155,12205
Financial Quarter,2019/20 Q2,Scottish Borders,18-64 years,Number of Hours,19885,3709785
Financial Quarter,2019/20 Q2,Scottish Borders,65-74 years,"Rate per 1,000 Population",12.2,17.4
Financial Quarter,2019/20 Q2,Scottish Borders,65-74 years,Number of People,195,10035
Financial Quarter,2019/20 Q2,Scottish Borders,65-74 years,Number of Hours,19805,1278170
Financial Quarter,2019/20 Q2,Scottish Borders,75-84 years,"Rate per 1,000 Population",53.4,61.8
Financial Quarter,2019/20 Q2,Scottish Borders,75-84 years,Number of People,500,20945
Financial Quarter,2019/20 Q2,Scottish Borders,75-84 years,Number of Hours,43450,2069580
Financial Quarter,2019/20 Q2,Scottish Borders,85+ years,"Rate per 1,000 Population",211,190.6
Financial Quarter,2019/20 Q2,Scottish Borders,85+ years,Number of People,685,24220
Financial Quarter,2019/20 Q2,Scottish Borders,85+ years,Number of Hours,59775,2475405
Financial Quarter,2019/20 Q2,Scottish Borders,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2019/20 Q2,Scottish Borders,Unknown,Number of People,0,0
Financial Quarter,2019/20 Q2,Scottish Borders,Unknown,Number of Hours,0,0
Financial Quarter,2019/20 Q2,Shetland,All Ages,"Rate per 1,000 Population",18.3,12.4
Financial Quarter,2019/20 Q2,Shetland,All Ages,Number of People,420,67570
Financial Quarter,2019/20 Q2,Shetland,All Ages,Number of Hours,40520,9560000
Financial Quarter,2019/20 Q2,Shetland,0-17 years,"Rate per 1,000 Population",0,0.2
Financial Quarter,2019/20 Q2,Shetland,0-17 years,Number of People,0,170
Financial Quarter,2019/20 Q2,Shetland,0-17 years,Number of Hours,0,27060
Financial Quarter,2019/20 Q2,Shetland,18-64 years,"Rate per 1,000 Population",7,3.6
Financial Quarter,2019/20 Q2,Shetland,18-64 years,Number of People,95,12205
Financial Quarter,2019/20 Q2,Shetland,18-64 years,Number of Hours,12940,3709785
Financial Quarter,2019/20 Q2,Shetland,65-74 years,"Rate per 1,000 Population",22.8,17.4
Financial Quarter,2019/20 Q2,Shetland,65-74 years,Number of People,60,10035
Financial Quarter,2019/20 Q2,Shetland,65-74 years,Number of Hours,5125,1278170
Financial Quarter,2019/20 Q2,Shetland,75-84 years,"Rate per 1,000 Population",80.4,61.8
Financial Quarter,2019/20 Q2,Shetland,75-84 years,Number of People,125,20945
Financial Quarter,2019/20 Q2,Shetland,75-84 years,Number of Hours,10890,2069580
Financial Quarter,2019/20 Q2,Shetland,85+ years,"Rate per 1,000 Population",281.1,190.6
Financial Quarter,2019/20 Q2,Shetland,85+ years,Number of People,140,24220
Financial Quarter,2019/20 Q2,Shetland,85+ years,Number of Hours,11560,2475405
Financial Quarter,2019/20 Q2,Shetland,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2019/20 Q2,Shetland,Unknown,Number of People,0,0
Financial Quarter,2019/20 Q2,Shetland,Unknown,Number of Hours,0,0
Financial Quarter,2019/20 Q2,South Ayrshire,All Ages,"Rate per 1,000 Population",15.5,12.4
Financial Quarter,2019/20 Q2,South Ayrshire,All Ages,Number of People,1750,67570
Financial Quarter,2019/20 Q2,South Ayrshire,All Ages,Number of Hours,405140,9560000
Financial Quarter,2019/20 Q2,South Ayrshire,0-17 years,"Rate per 1,000 Population",0,0.2
Financial Quarter,2019/20 Q2,South Ayrshire,0-17 years,Number of People,0,170
Financial Quarter,2019/20 Q2,South Ayrshire,0-17 years,Number of Hours,0,27060
Financial Quarter,2019/20 Q2,South Ayrshire,18-64 years,"Rate per 1,000 Population",6.9,3.6
Financial Quarter,2019/20 Q2,South Ayrshire,18-64 years,Number of People,440,12205
Financial Quarter,2019/20 Q2,South Ayrshire,18-64 years,Number of Hours,221555,3709785
Financial Quarter,2019/20 Q2,South Ayrshire,65-74 years,"Rate per 1,000 Population",15.7,17.4
Financial Quarter,2019/20 Q2,South Ayrshire,65-74 years,Number of People,245,10035
Financial Quarter,2019/20 Q2,South Ayrshire,65-74 years,Number of Hours,50165,1278170
Financial Quarter,2019/20 Q2,South Ayrshire,75-84 years,"Rate per 1,000 Population",51.8,61.8
Financial Quarter,2019/20 Q2,South Ayrshire,75-84 years,Number of People,495,20945
Financial Quarter,2019/20 Q2,South Ayrshire,75-84 years,Number of Hours,66710,2069580
Financial Quarter,2019/20 Q2,South Ayrshire,85+ years,"Rate per 1,000 Population",157.6,190.6
Financial Quarter,2019/20 Q2,South Ayrshire,85+ years,Number of People,570,24220
Financial Quarter,2019/20 Q2,South Ayrshire,85+ years,Number of Hours,66710,2475405
Financial Quarter,2019/20 Q2,South Ayrshire,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2019/20 Q2,South Ayrshire,Unknown,Number of People,0,0
Financial Quarter,2019/20 Q2,South Ayrshire,Unknown,Number of Hours,0,0
Financial Quarter,2019/20 Q2,South Lanarkshire,All Ages,"Rate per 1,000 Population",13.2,12.4
Financial Quarter,2019/20 Q2,South Lanarkshire,All Ages,Number of People,4245,67570
Financial Quarter,2019/20 Q2,South Lanarkshire,All Ages,Number of Hours,577840,9560000
Financial Quarter,2019/20 Q2,South Lanarkshire,0-17 years,"Rate per 1,000 Population",0.6,0.2
Financial Quarter,2019/20 Q2,South Lanarkshire,0-17 years,Number of People,35,170
Financial Quarter,2019/20 Q2,South Lanarkshire,0-17 years,Number of Hours,9120,27060
Financial Quarter,2019/20 Q2,South Lanarkshire,18-64 years,"Rate per 1,000 Population",3.2,3.6
Financial Quarter,2019/20 Q2,South Lanarkshire,18-64 years,Number of People,620,12205
Financial Quarter,2019/20 Q2,South Lanarkshire,18-64 years,Number of Hours,138790,3709785
Financial Quarter,2019/20 Q2,South Lanarkshire,65-74 years,"Rate per 1,000 Population",17.2,17.4
Financial Quarter,2019/20 Q2,South Lanarkshire,65-74 years,Number of People,605,10035
Financial Quarter,2019/20 Q2,South Lanarkshire,65-74 years,Number of Hours,87115,1278170
Financial Quarter,2019/20 Q2,South Lanarkshire,75-84 years,"Rate per 1,000 Population",70.4,61.8
Financial Quarter,2019/20 Q2,South Lanarkshire,75-84 years,Number of People,1430,20945
Financial Quarter,2019/20 Q2,South Lanarkshire,75-84 years,Number of Hours,163605,2069580
Financial Quarter,2019/20 Q2,South Lanarkshire,85+ years,"Rate per 1,000 Population",213.1,190.6
Financial Quarter,2019/20 Q2,South Lanarkshire,85+ years,Number of People,1555,24220
Financial Quarter,2019/20 Q2,South Lanarkshire,85+ years,Number of Hours,179200,2475405
Financial Quarter,2019/20 Q2,South Lanarkshire,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2019/20 Q2,South Lanarkshire,Unknown,Number of People,0,0
Financial Quarter,2019/20 Q2,South Lanarkshire,Unknown,Number of Hours,0,0
Financial Quarter,2019/20 Q2,Stirling,All Ages,"Rate per 1,000 Population",14.8,12.4
Financial Quarter,2019/20 Q2,Stirling,All Ages,Number of People,1390,67570
Financial Quarter,2019/20 Q2,Stirling,All Ages,Number of Hours,251355,9560000
Financial Quarter,2019/20 Q2,Stirling,0-17 years,"Rate per 1,000 Population",0,0.2
Financial Quarter,2019/20 Q2,Stirling,0-17 years,Number of People,0,170
Financial Quarter,2019/20 Q2,Stirling,0-17 years,Number of Hours,275,27060
Financial Quarter,2019/20 Q2,Stirling,18-64 years,"Rate per 1,000 Population",6.8,3.6
Financial Quarter,2019/20 Q2,Stirling,18-64 years,Number of People,400,12205
Financial Quarter,2019/20 Q2,Stirling,18-64 years,Number of Hours,138270,3709785
Financial Quarter,2019/20 Q2,Stirling,65-74 years,"Rate per 1,000 Population",16.2,17.4
Financial Quarter,2019/20 Q2,Stirling,65-74 years,Number of People,160,10035
Financial Quarter,2019/20 Q2,Stirling,65-74 years,Number of Hours,27400,1278170
Financial Quarter,2019/20 Q2,Stirling,75-84 years,"Rate per 1,000 Population",61.1,61.8
Financial Quarter,2019/20 Q2,Stirling,75-84 years,Number of People,380,20945
Financial Quarter,2019/20 Q2,Stirling,75-84 years,Number of Hours,40715,2069580
Financial Quarter,2019/20 Q2,Stirling,85+ years,"Rate per 1,000 Population",208.7,190.6
Financial Quarter,2019/20 Q2,Stirling,85+ years,Number of People,450,24220
Financial Quarter,2019/20 Q2,Stirling,85+ years,Number of Hours,44690,2475405
Financial Quarter,2019/20 Q2,Stirling,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2019/20 Q2,Stirling,Unknown,Number of People,0,0
Financial Quarter,2019/20 Q2,Stirling,Unknown,Number of Hours,0,0
Financial Quarter,2019/20 Q2,West Dunbartonshire,All Ages,"Rate per 1,000 Population",19.1,12.4
Financial Quarter,2019/20 Q2,West Dunbartonshire,All Ages,Number of People,1695,67570
Financial Quarter,2019/20 Q2,West Dunbartonshire,All Ages,Number of Hours,125345,9560000
Financial Quarter,2019/20 Q2,West Dunbartonshire,0-17 years,"Rate per 1,000 Population",0,0.2
Financial Quarter,2019/20 Q2,West Dunbartonshire,0-17 years,Number of People,0,170
Financial Quarter,2019/20 Q2,West Dunbartonshire,0-17 years,Number of Hours,0,27060
Financial Quarter,2019/20 Q2,West Dunbartonshire,18-64 years,"Rate per 1,000 Population",3.8,3.6
Financial Quarter,2019/20 Q2,West Dunbartonshire,18-64 years,Number of People,210,12205
Financial Quarter,2019/20 Q2,West Dunbartonshire,18-64 years,Number of Hours,16775,3709785
Financial Quarter,2019/20 Q2,West Dunbartonshire,65-74 years,"Rate per 1,000 Population",35,17.4
Financial Quarter,2019/20 Q2,West Dunbartonshire,65-74 years,Number of People,335,10035
Financial Quarter,2019/20 Q2,West Dunbartonshire,65-74 years,Number of Hours,21670,1278170
Financial Quarter,2019/20 Q2,West Dunbartonshire,75-84 years,"Rate per 1,000 Population",112.1,61.8
Financial Quarter,2019/20 Q2,West Dunbartonshire,75-84 years,Number of People,590,20945
Financial Quarter,2019/20 Q2,West Dunbartonshire,75-84 years,Number of Hours,42475,2069580
Financial Quarter,2019/20 Q2,West Dunbartonshire,85+ years,"Rate per 1,000 Population",298,190.6
Financial Quarter,2019/20 Q2,West Dunbartonshire,85+ years,Number of People,565,24220
Financial Quarter,2019/20 Q2,West Dunbartonshire,85+ years,Number of Hours,44425,2475405
Financial Quarter,2019/20 Q2,West Dunbartonshire,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2019/20 Q2,West Dunbartonshire,Unknown,Number of People,0,0
Financial Quarter,2019/20 Q2,West Dunbartonshire,Unknown,Number of Hours,0,0
Financial Quarter,2019/20 Q2,West Lothian,All Ages,"Rate per 1,000 Population",11.2,12.4
Financial Quarter,2019/20 Q2,West Lothian,All Ages,Number of People,2050,67570
Financial Quarter,2019/20 Q2,West Lothian,All Ages,Number of Hours,330665,9560000
Financial Quarter,2019/20 Q2,West Lothian,0-17 years,"Rate per 1,000 Population",0.1,0.2
Financial Quarter,2019/20 Q2,West Lothian,0-17 years,Number of People,5,170
Financial Quarter,2019/20 Q2,West Lothian,0-17 years,Number of Hours,855,27060
Financial Quarter,2019/20 Q2,West Lothian,18-64 years,"Rate per 1,000 Population",5.5,3.6
Financial Quarter,2019/20 Q2,West Lothian,18-64 years,Number of People,625,12205
Financial Quarter,2019/20 Q2,West Lothian,18-64 years,Number of Hours,146365,3709785
Financial Quarter,2019/20 Q2,West Lothian,65-74 years,"Rate per 1,000 Population",19.2,17.4
Financial Quarter,2019/20 Q2,West Lothian,65-74 years,Number of People,340,10035
Financial Quarter,2019/20 Q2,West Lothian,65-74 years,Number of Hours,56580,1278170
Financial Quarter,2019/20 Q2,West Lothian,75-84 years,"Rate per 1,000 Population",58.2,61.8
Financial Quarter,2019/20 Q2,West Lothian,75-84 years,Number of People,565,20945
Financial Quarter,2019/20 Q2,West Lothian,75-84 years,Number of Hours,66245,2069580
Financial Quarter,2019/20 Q2,West Lothian,85+ years,"Rate per 1,000 Population",167.3,190.6
Financial Quarter,2019/20 Q2,West Lothian,85+ years,Number of People,515,24220
Financial Quarter,2019/20 Q2,West Lothian,85+ years,Number of Hours,60620,2475405
Financial Quarter,2019/20 Q2,West Lothian,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2019/20 Q2,West Lothian,Unknown,Number of People,0,0
Financial Quarter,2019/20 Q2,West Lothian,Unknown,Number of Hours,0,0
Financial Quarter,2019/20 Q3,Scotland (Estimated),All Ages,"Rate per 1,000 Population",12.3,12.3
Financial Quarter,2019/20 Q3,Scotland (Estimated),All Ages,Number of People,67120,67120
Financial Quarter,2019/20 Q3,Scotland (Estimated),All Ages,Number of Hours,9411145,9411145
Financial Quarter,2019/20 Q3,Scotland (Estimated),0-17 years,"Rate per 1,000 Population",0.2,0.2
Financial Quarter,2019/20 Q3,Scotland (Estimated),0-17 years,Number of People,175,175
Financial Quarter,2019/20 Q3,Scotland (Estimated),0-17 years,Number of Hours,25385,25385
Financial Quarter,2019/20 Q3,Scotland (Estimated),18-64 years,"Rate per 1,000 Population",3.7,3.7
Financial Quarter,2019/20 Q3,Scotland (Estimated),18-64 years,Number of People,12405,12405
Financial Quarter,2019/20 Q3,Scotland (Estimated),18-64 years,Number of Hours,3685470,3685470
Financial Quarter,2019/20 Q3,Scotland (Estimated),65-74 years,"Rate per 1,000 Population",17.5,17.5
Financial Quarter,2019/20 Q3,Scotland (Estimated),65-74 years,Number of People,10130,10130
Financial Quarter,2019/20 Q3,Scotland (Estimated),65-74 years,Number of Hours,1284165,1284165
Financial Quarter,2019/20 Q3,Scotland (Estimated),75-84 years,"Rate per 1,000 Population",62.1,62.1
Financial Quarter,2019/20 Q3,Scotland (Estimated),75-84 years,Number of People,21045,21045
Financial Quarter,2019/20 Q3,Scotland (Estimated),75-84 years,Number of Hours,2067465,2067465
Financial Quarter,2019/20 Q3,Scotland (Estimated),85+ years,"Rate per 1,000 Population",183.9,183.9
Financial Quarter,2019/20 Q3,Scotland (Estimated),85+ years,Number of People,23370,23370
Financial Quarter,2019/20 Q3,Scotland (Estimated),85+ years,Number of Hours,2348655,2348655
Financial Quarter,2019/20 Q3,Scotland (Estimated),Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2019/20 Q3,Scotland (Estimated),Unknown,Number of People,0,0
Financial Quarter,2019/20 Q3,Scotland (Estimated),Unknown,Number of Hours,0,0
Financial Quarter,2019/20 Q3,Aberdeen City,All Ages,"Rate per 1,000 Population",9.2,12.3
Financial Quarter,2019/20 Q3,Aberdeen City,All Ages,Number of People,2115,67120
Financial Quarter,2019/20 Q3,Aberdeen City,All Ages,Number of Hours,362285,9411145
Financial Quarter,2019/20 Q3,Aberdeen City,0-17 years,"Rate per 1,000 Population",0.1,0.2
Financial Quarter,2019/20 Q3,Aberdeen City,0-17 years,Number of People,5,175
Financial Quarter,2019/20 Q3,Aberdeen City,0-17 years,Number of Hours,2225,25385
Financial Quarter,2019/20 Q3,Aberdeen City,18-64 years,"Rate per 1,000 Population",2.4,3.7
Financial Quarter,2019/20 Q3,Aberdeen City,18-64 years,Number of People,365,12405
Financial Quarter,2019/20 Q3,Aberdeen City,18-64 years,Number of Hours,164640,3685470
Financial Quarter,2019/20 Q3,Aberdeen City,65-74 years,"Rate per 1,000 Population",15.4,17.5
Financial Quarter,2019/20 Q3,Aberdeen City,65-74 years,Number of People,305,10130
Financial Quarter,2019/20 Q3,Aberdeen City,65-74 years,Number of Hours,39400,1284165
Financial Quarter,2019/20 Q3,Aberdeen City,75-84 years,"Rate per 1,000 Population",53.2,62.1
Financial Quarter,2019/20 Q3,Aberdeen City,75-84 years,Number of People,615,21045
Financial Quarter,2019/20 Q3,Aberdeen City,75-84 years,Number of Hours,67475,2067465
Financial Quarter,2019/20 Q3,Aberdeen City,85+ years,"Rate per 1,000 Population",170.4,183.9
Financial Quarter,2019/20 Q3,Aberdeen City,85+ years,Number of People,820,23370
Financial Quarter,2019/20 Q3,Aberdeen City,85+ years,Number of Hours,88545,2348655
Financial Quarter,2019/20 Q3,Aberdeen City,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2019/20 Q3,Aberdeen City,Unknown,Number of People,0,0
Financial Quarter,2019/20 Q3,Aberdeen City,Unknown,Number of Hours,0,0
Financial Quarter,2019/20 Q3,Aberdeenshire,All Ages,"Rate per 1,000 Population",9.5,12.3
Financial Quarter,2019/20 Q3,Aberdeenshire,All Ages,Number of People,2480,67120
Financial Quarter,2019/20 Q3,Aberdeenshire,All Ages,Number of Hours,242195,9411145
Financial Quarter,2019/20 Q3,Aberdeenshire,0-17 years,"Rate per 1,000 Population",0.1,0.2
Financial Quarter,2019/20 Q3,Aberdeenshire,0-17 years,Number of People,5,175
Financial Quarter,2019/20 Q3,Aberdeenshire,0-17 years,Number of Hours,175,25385
Financial Quarter,2019/20 Q3,Aberdeenshire,18-64 years,"Rate per 1,000 Population",2.1,3.7
Financial Quarter,2019/20 Q3,Aberdeenshire,18-64 years,Number of People,325,12405
Financial Quarter,2019/20 Q3,Aberdeenshire,18-64 years,Number of Hours,42820,3685470
Financial Quarter,2019/20 Q3,Aberdeenshire,65-74 years,"Rate per 1,000 Population",11.2,17.5
Financial Quarter,2019/20 Q3,Aberdeenshire,65-74 years,Number of People,330,10130
Financial Quarter,2019/20 Q3,Aberdeenshire,65-74 years,Number of Hours,34600,1284165
Financial Quarter,2019/20 Q3,Aberdeenshire,75-84 years,"Rate per 1,000 Population",51.9,62.1
Financial Quarter,2019/20 Q3,Aberdeenshire,75-84 years,Number of People,825,21045
Financial Quarter,2019/20 Q3,Aberdeenshire,75-84 years,Number of Hours,72820,2067465
Financial Quarter,2019/20 Q3,Aberdeenshire,85+ years,"Rate per 1,000 Population",173.3,183.9
Financial Quarter,2019/20 Q3,Aberdeenshire,85+ years,Number of People,995,23370
Financial Quarter,2019/20 Q3,Aberdeenshire,85+ years,Number of Hours,91780,2348655
Financial Quarter,2019/20 Q3,Aberdeenshire,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2019/20 Q3,Aberdeenshire,Unknown,Number of People,0,0
Financial Quarter,2019/20 Q3,Aberdeenshire,Unknown,Number of Hours,0,0
Financial Quarter,2019/20 Q3,Angus,All Ages,"Rate per 1,000 Population",12.7,12.3
Financial Quarter,2019/20 Q3,Angus,All Ages,Number of People,1475,67120
Financial Quarter,2019/20 Q3,Angus,All Ages,Number of Hours,13920,9411145
Financial Quarter,2019/20 Q3,Angus,0-17 years,"Rate per 1,000 Population",0.2,0.2
Financial Quarter,2019/20 Q3,Angus,0-17 years,Number of People,5,175
Financial Quarter,2019/20 Q3,Angus,0-17 years,Number of Hours,30,25385
Financial Quarter,2019/20 Q3,Angus,18-64 years,"Rate per 1,000 Population",4.6,3.7
Financial Quarter,2019/20 Q3,Angus,18-64 years,Number of People,305,12405
Financial Quarter,2019/20 Q3,Angus,18-64 years,Number of Hours,3305,3685470
Financial Quarter,2019/20 Q3,Angus,65-74 years,"Rate per 1,000 Population",14.1,17.5
Financial Quarter,2019/20 Q3,Angus,65-74 years,Number of People,215,10130
Financial Quarter,2019/20 Q3,Angus,65-74 years,Number of Hours,2330,1284165
Financial Quarter,2019/20 Q3,Angus,75-84 years,"Rate per 1,000 Population",48.7,62.1
Financial Quarter,2019/20 Q3,Angus,75-84 years,Number of People,440,21045
Financial Quarter,2019/20 Q3,Angus,75-84 years,Number of Hours,3860,2067465
Financial Quarter,2019/20 Q3,Angus,85+ years,"Rate per 1,000 Population",143.4,183.9
Financial Quarter,2019/20 Q3,Angus,85+ years,Number of People,505,23370
Financial Quarter,2019/20 Q3,Angus,85+ years,Number of Hours,4390,2348655
Financial Quarter,2019/20 Q3,Angus,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2019/20 Q3,Angus,Unknown,Number of People,0,0
Financial Quarter,2019/20 Q3,Angus,Unknown,Number of Hours,0,0
Financial Quarter,2019/20 Q3,Argyll and Bute,All Ages,"Rate per 1,000 Population",18.9,12.3
Financial Quarter,2019/20 Q3,Argyll and Bute,All Ages,Number of People,1620,67120
Financial Quarter,2019/20 Q3,Argyll and Bute,All Ages,Number of Hours,284080,9411145
Financial Quarter,2019/20 Q3,Argyll and Bute,0-17 years,"Rate per 1,000 Population",0,0.2
Financial Quarter,2019/20 Q3,Argyll and Bute,0-17 years,Number of People,0,175
Financial Quarter,2019/20 Q3,Argyll and Bute,0-17 years,Number of Hours,245,25385
Financial Quarter,2019/20 Q3,Argyll and Bute,18-64 years,"Rate per 1,000 Population",7,3.7
Financial Quarter,2019/20 Q3,Argyll and Bute,18-64 years,Number of People,345,12405
Financial Quarter,2019/20 Q3,Argyll and Bute,18-64 years,Number of Hours,118995,3685470
Financial Quarter,2019/20 Q3,Argyll and Bute,65-74 years,"Rate per 1,000 Population",17.1,17.5
Financial Quarter,2019/20 Q3,Argyll and Bute,65-74 years,Number of People,210,10130
Financial Quarter,2019/20 Q3,Argyll and Bute,65-74 years,Number of Hours,42735,1284165
Financial Quarter,2019/20 Q3,Argyll and Bute,75-84 years,"Rate per 1,000 Population",64.5,62.1
Financial Quarter,2019/20 Q3,Argyll and Bute,75-84 years,Number of People,475,21045
Financial Quarter,2019/20 Q3,Argyll and Bute,75-84 years,Number of Hours,53970,2067465
Financial Quarter,2019/20 Q3,Argyll and Bute,85+ years,"Rate per 1,000 Population",232.1,183.9
Financial Quarter,2019/20 Q3,Argyll and Bute,85+ years,Number of People,590,23370
