time_period,financial_quarter,sending_location,age_group,measure,value,scotland_value
Financial Quarter,2017/18 Q4,Dumfries and Galloway,85+ years,"Rate per 1,000 Population",177.4,181.1
Financial Quarter,2017/18 Q4,Dumfries and Galloway,85+ years,Number of People,785,22065
Financial Quarter,2017/18 Q4,Dumfries and Galloway,85+ years,Number of Hours,85055,1933935
Financial Quarter,2017/18 Q4,Dumfries and Galloway,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2017/18 Q4,Dumfries and Galloway,Unknown,Number of People,0,0
Financial Quarter,2017/18 Q4,Dumfries and Galloway,Unknown,Number of Hours,0,0
Financial Quarter,2017/18 Q4,Dundee City,All Ages,"Rate per 1,000 Population",14.3,12.5
Financial Quarter,2017/18 Q4,Dundee City,All Ages,Number of People,2130,67975
Financial Quarter,2017/18 Q4,Dundee City,All Ages,Number of Hours,263020,8347595
Financial Quarter,2017/18 Q4,Dundee City,0-17 years,"Rate per 1,000 Population",0,2.5
Financial Quarter,2017/18 Q4,Dundee City,0-17 years,Number of People,0,2560
Financial Quarter,2017/18 Q4,Dundee City,0-17 years,Number of Hours,45,77010
Financial Quarter,2017/18 Q4,Dundee City,18-64 years,"Rate per 1,000 Population",2.4,4
Financial Quarter,2017/18 Q4,Dundee City,18-64 years,Number of People,235,13585
Financial Quarter,2017/18 Q4,Dundee City,18-64 years,Number of Hours,34495,3070630
Financial Quarter,2017/18 Q4,Dundee City,65-74 years,"Rate per 1,000 Population",26.8,20.2
Financial Quarter,2017/18 Q4,Dundee City,65-74 years,Number of People,365,11395
Financial Quarter,2017/18 Q4,Dundee City,65-74 years,Number of Hours,43765,1127500
Financial Quarter,2017/18 Q4,Dundee City,75-84 years,"Rate per 1,000 Population",82,64.7
Financial Quarter,2017/18 Q4,Dundee City,75-84 years,Number of People,715,21100
Financial Quarter,2017/18 Q4,Dundee City,75-84 years,Number of Hours,83855,1752045
Financial Quarter,2017/18 Q4,Dundee City,85+ years,"Rate per 1,000 Population",225.3,181.1
Financial Quarter,2017/18 Q4,Dundee City,85+ years,Number of People,810,22065
Financial Quarter,2017/18 Q4,Dundee City,85+ years,Number of Hours,100865,1933935
Financial Quarter,2017/18 Q4,Dundee City,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2017/18 Q4,Dundee City,Unknown,Number of People,0,0
