financial_year,sending_location,age_group,sds_option,nclients,percentage
2020/21,Dumfries and Galloway,85+ years,Option 3 Only,2615,96
2020/21,Dumfries and Galloway,Unknown,Option 3 Only,0,NA
2020/21,Dumfries and Galloway,All Ages,Option 4 Only,260,4
2020/21,Dumfries and Galloway,0-17 years,Option 4 Only,5,50
2020/21,Dumfries and Galloway,18-64 years,Option 4 Only,105,8
2020/21,Dumfries and Galloway,65-74 years,Option 4 Only,20,2
2020/21,Dumfries and Galloway,75-84 years,Option 4 Only,50,2
2020/21,Dumfries and Galloway,85+ years,Option 4 Only,80,3
2020/21,Dumfries and Galloway,Unknown,Option 4 Only,0,NA
2017/18,Dundee City,All Ages,Option 1 Only,65,1
2017/18,Dundee City,0-17 years,Option 1 Only,10,33
2017/18,Dundee City,18-64 years,Option 1 Only,30,1
2017/18,Dundee City,65-74 years,Option 1 Only,5,0
2017/18,Dundee City,75-84 years,Option 1 Only,10,1
2017/18,Dundee City,85+ years,Option 1 Only,5,0
2017/18,Dundee City,Unknown,Option 1 Only,0,NA
2017/18,Dundee City,All Ages,Option 2 Only,30,0
2017/18,Dundee City,0-17 years,Option 2 Only,0,0
2017/18,Dundee City,18-64 years,Option 2 Only,20,1
2017/18,Dundee City,65-74 years,Option 2 Only,0,0
2017/18,Dundee City,75-84 years,Option 2 Only,0,0
2017/18,Dundee City,85+ years,Option 2 Only,5,0
2017/18,Dundee City,Unknown,Option 2 Only,0,NA
2017/18,Dundee City,All Ages,Option 3 Only,6970,99
2017/18,Dundee City,0-17 years,Option 3 Only,20,67
2017/18,Dundee City,18-64 years,Option 3 Only,2405,98
2017/18,Dundee City,65-74 years,Option 3 Only,1015,100
2017/18,Dundee City,75-84 years,Option 3 Only,1705,99
2017/18,Dundee City,85+ years,Option 3 Only,1825,99
2017/18,Dundee City,Unknown,Option 3 Only,0,NA
2017/18,Dundee City,All Ages,Option 4 Only,10,0
2017/18,Dundee City,0-17 years,Option 4 Only,0,0
2017/18,Dundee City,18-64 years,Option 4 Only,0,0
2017/18,Dundee City,65-74 years,Option 4 Only,0,0
2017/18,Dundee City,75-84 years,Option 4 Only,5,0
2017/18,Dundee City,85+ years,Option 4 Only,5,0
2017/18,Dundee City,Unknown,Option 4 Only,0,NA
2018/19,Dundee City,All Ages,Option 1 Only,100,1
2018/19,Dundee City,0-17 years,Option 1 Only,25,56
2018/19,Dundee City,18-64 years,Option 1 Only,30,1
2018/19,Dundee City,65-74 years,Option 1 Only,5,0
2018/19,Dundee City,75-84 years,Option 1 Only,15,1
2018/19,Dundee City,85+ years,Option 1 Only,25,1
2018/19,Dundee City,Unknown,Option 1 Only,0,NA
2018/19,Dundee City,All Ages,Option 2 Only,65,1
2018/19,Dundee City,0-17 years,Option 2 Only,0,0
2018/19,Dundee City,18-64 years,Option 2 Only,30,1
2018/19,Dundee City,65-74 years,Option 2 Only,5,0
2018/19,Dundee City,75-84 years,Option 2 Only,15,1
2018/19,Dundee City,85+ years,Option 2 Only,15,1
2018/19,Dundee City,Unknown,Option 2 Only,0,NA
2018/19,Dundee City,All Ages,Option 3 Only,7495,98
2018/19,Dundee City,0-17 years,Option 3 Only,20,44
2018/19,Dundee City,18-64 years,Option 3 Only,2605,98
2018/19,Dundee City,65-74 years,Option 3 Only,1135,99
2018/19,Dundee City,75-84 years,Option 3 Only,1890,98
2018/19,Dundee City,85+ years,Option 3 Only,1845,98
2018/19,Dundee City,Unknown,Option 3 Only,0,NA
2018/19,Dundee City,All Ages,Option 4 Only,5,0
2018/19,Dundee City,0-17 years,Option 4 Only,0,0
2018/19,Dundee City,18-64 years,Option 4 Only,0,0
2018/19,Dundee City,65-74 years,Option 4 Only,0,0
2018/19,Dundee City,75-84 years,Option 4 Only,0,0
2018/19,Dundee City,85+ years,Option 4 Only,0,0
2018/19,Dundee City,Unknown,Option 4 Only,0,NA
2019/20,Dundee City,All Ages,Option 1 Only,90,3
2019/20,Dundee City,0-17 years,Option 1 Only,40,73
2019/20,Dundee City,18-64 years,Option 1 Only,20,3
2019/20,Dundee City,65-74 years,Option 1 Only,5,1
2019/20,Dundee City,75-84 years,Option 1 Only,5,1
2019/20,Dundee City,85+ years,Option 1 Only,15,2
2019/20,Dundee City,Unknown,Option 1 Only,0,NA
2019/20,Dundee City,All Ages,Option 2 Only,55,2
2019/20,Dundee City,0-17 years,Option 2 Only,0,0
2019/20,Dundee City,18-64 years,Option 2 Only,15,2
2019/20,Dundee City,65-74 years,Option 2 Only,5,1
2019/20,Dundee City,75-84 years,Option 2 Only,20,2
2019/20,Dundee City,85+ years,Option 2 Only,15,2
2019/20,Dundee City,Unknown,Option 2 Only,0,NA
2019/20,Dundee City,All Ages,Option 3 Only,2820,91
2019/20,Dundee City,0-17 years,Option 3 Only,15,27
2019/20,Dundee City,18-64 years,Option 3 Only,650,88
2019/20,Dundee City,65-74 years,Option 3 Only,430,93
2019/20,Dundee City,75-84 years,Option 3 Only,800,94
2019/20,Dundee City,85+ years,Option 3 Only,925,94
2019/20,Dundee City,Unknown,Option 3 Only,0,NA
2019/20,Dundee City,All Ages,Option 4 Only,130,4
2019/20,Dundee City,0-17 years,Option 4 Only,0,0
2019/20,Dundee City,18-64 years,Option 4 Only,50,7
2019/20,Dundee City,65-74 years,Option 4 Only,20,4
2019/20,Dundee City,75-84 years,Option 4 Only,30,4
2019/20,Dundee City,85+ years,Option 4 Only,30,3
2019/20,Dundee City,Unknown,Option 4 Only,0,NA
2020/21,Dundee City,All Ages,Option 1 Only,140,4
2020/21,Dundee City,0-17 years,Option 1 Only,55,69
2020/21,Dundee City,18-64 years,Option 1 Only,35,4
2020/21,Dundee City,65-74 years,Option 1 Only,15,3
2020/21,Dundee City,75-84 years,Option 1 Only,15,2
2020/21,Dundee City,85+ years,Option 1 Only,25,2
2020/21,Dundee City,Unknown,Option 1 Only,0,NA
2020/21,Dundee City,All Ages,Option 2 Only,110,3
2020/21,Dundee City,0-17 years,Option 2 Only,0,0
2020/21,Dundee City,18-64 years,Option 2 Only,45,6
2020/21,Dundee City,65-74 years,Option 2 Only,15,3
2020/21,Dundee City,75-84 years,Option 2 Only,25,3
2020/21,Dundee City,85+ years,Option 2 Only,25,2
2020/21,Dundee City,Unknown,Option 2 Only,0,NA
2020/21,Dundee City,All Ages,Option 3 Only,2920,92
2020/21,Dundee City,0-17 years,Option 3 Only,25,31
2020/21,Dundee City,18-64 years,Option 3 Only,710,89
2020/21,Dundee City,65-74 years,Option 3 Only,430,93
2020/21,Dundee City,75-84 years,Option 3 Only,805,95
2020/21,Dundee City,85+ years,Option 3 Only,945,94
2020/21,Dundee City,Unknown,Option 3 Only,0,NA
2020/21,Dundee City,All Ages,Option 4 Only,10,0
2020/21,Dundee City,0-17 years,Option 4 Only,0,0
2020/21,Dundee City,18-64 years,Option 4 Only,5,1
2020/21,Dundee City,65-74 years,Option 4 Only,0,0
2020/21,Dundee City,75-84 years,Option 4 Only,5,1
2020/21,Dundee City,85+ years,Option 4 Only,5,0
2020/21,Dundee City,Unknown,Option 4 Only,0,NA
2017/18,East Ayrshire,All Ages,Option 1 Only,60,4
2017/18,East Ayrshire,0-17 years,Option 1 Only,20,24
2017/18,East Ayrshire,18-64 years,Option 1 Only,30,6
2017/18,East Ayrshire,65-74 years,Option 1 Only,5,2
2017/18,East Ayrshire,75-84 years,Option 1 Only,5,1
2017/18,East Ayrshire,85+ years,Option 1 Only,5,1
2017/18,East Ayrshire,Unknown,Option 1 Only,0,NA
2017/18,East Ayrshire,All Ages,Option 2 Only,30,2
2017/18,East Ayrshire,0-17 years,Option 2 Only,15,18
2017/18,East Ayrshire,18-64 years,Option 2 Only,10,2
2017/18,East Ayrshire,65-74 years,Option 2 Only,0,0
2017/18,East Ayrshire,75-84 years,Option 2 Only,5,1
2017/18,East Ayrshire,85+ years,Option 2 Only,0,0
2017/18,East Ayrshire,Unknown,Option 2 Only,0,NA
2017/18,East Ayrshire,All Ages,Option 3 Only,1370,80
2017/18,East Ayrshire,0-17 years,Option 3 Only,10,12
2017/18,East Ayrshire,18-64 years,Option 3 Only,310,65
2017/18,East Ayrshire,65-74 years,Option 3 Only,200,87
2017/18,East Ayrshire,75-84 years,Option 3 Only,470,93
2017/18,East Ayrshire,85+ years,Option 3 Only,380,93
2017/18,East Ayrshire,Unknown,Option 3 Only,0,NA
2017/18,East Ayrshire,All Ages,Option 4 Only,245,14
2017/18,East Ayrshire,0-17 years,Option 4 Only,40,47
2017/18,East Ayrshire,18-64 years,Option 4 Only,125,26
2017/18,East Ayrshire,65-74 years,Option 4 Only,25,11
2017/18,East Ayrshire,75-84 years,Option 4 Only,25,5
2017/18,East Ayrshire,85+ years,Option 4 Only,25,6
2017/18,East Ayrshire,Unknown,Option 4 Only,0,NA
2018/19,East Ayrshire,All Ages,Option 1 Only,155,8
2018/19,East Ayrshire,0-17 years,Option 1 Only,40,38
2018/19,East Ayrshire,18-64 years,Option 1 Only,90,22
2018/19,East Ayrshire,65-74 years,Option 1 Only,10,4
2018/19,East Ayrshire,75-84 years,Option 1 Only,5,1
2018/19,East Ayrshire,85+ years,Option 1 Only,5,1
2018/19,East Ayrshire,Unknown,Option 1 Only,0,NA
2018/19,East Ayrshire,All Ages,Option 2 Only,105,5
2018/19,East Ayrshire,0-17 years,Option 2 Only,55,52
2018/19,East Ayrshire,18-64 years,Option 2 Only,35,9
2018/19,East Ayrshire,65-74 years,Option 2 Only,5,2
2018/19,East Ayrshire,75-84 years,Option 2 Only,10,2
2018/19,East Ayrshire,85+ years,Option 2 Only,0,0
2018/19,East Ayrshire,Unknown,Option 2 Only,0,NA
2018/19,East Ayrshire,All Ages,Option 3 Only,1715,83
2018/19,East Ayrshire,0-17 years,Option 3 Only,0,0
2018/19,East Ayrshire,18-64 years,Option 3 Only,235,58
2018/19,East Ayrshire,65-74 years,Option 3 Only,235,90
2018/19,East Ayrshire,75-84 years,Option 3 Only,635,97
2018/19,East Ayrshire,85+ years,Option 3 Only,605,97
2018/19,East Ayrshire,Unknown,Option 3 Only,0,NA
2018/19,East Ayrshire,All Ages,Option 4 Only,85,4
2018/19,East Ayrshire,0-17 years,Option 4 Only,10,10
2018/19,East Ayrshire,18-64 years,Option 4 Only,45,11
2018/19,East Ayrshire,65-74 years,Option 4 Only,10,4
2018/19,East Ayrshire,75-84 years,Option 4 Only,5,1
2018/19,East Ayrshire,85+ years,Option 4 Only,15,2
2018/19,East Ayrshire,Unknown,Option 4 Only,0,NA
2019/20,East Ayrshire,All Ages,Option 1 Only,175,9
2019/20,East Ayrshire,0-17 years,Option 1 Only,45,47
2019/20,East Ayrshire,18-64 years,Option 1 Only,100,24
2019/20,East Ayrshire,65-74 years,Option 1 Only,15,6
2019/20,East Ayrshire,75-84 years,Option 1 Only,10,2
2019/20,East Ayrshire,85+ years,Option 1 Only,5,1
2019/20,East Ayrshire,Unknown,Option 1 Only,0,NA
2019/20,East Ayrshire,All Ages,Option 2 Only,100,5
2019/20,East Ayrshire,0-17 years,Option 2 Only,40,42
2019/20,East Ayrshire,18-64 years,Option 2 Only,35,9
2019/20,East Ayrshire,65-74 years,Option 2 Only,10,4
2019/20,East Ayrshire,75-84 years,Option 2 Only,10,2
2019/20,East Ayrshire,85+ years,Option 2 Only,10,2
2019/20,East Ayrshire,Unknown,Option 2 Only,0,NA
2019/20,East Ayrshire,All Ages,Option 3 Only,1555,82
2019/20,East Ayrshire,0-17 years,Option 3 Only,0,0
2019/20,East Ayrshire,18-64 years,Option 3 Only,245,60
2019/20,East Ayrshire,65-74 years,Option 3 Only,215,86
2019/20,East Ayrshire,75-84 years,Option 3 Only,590,95
2019/20,East Ayrshire,85+ years,Option 3 Only,505,96
2019/20,East Ayrshire,Unknown,Option 3 Only,0,NA
2019/20,East Ayrshire,All Ages,Option 4 Only,65,3
2019/20,East Ayrshire,0-17 years,Option 4 Only,10,11
2019/20,East Ayrshire,18-64 years,Option 4 Only,30,7
2019/20,East Ayrshire,65-74 years,Option 4 Only,10,4
2019/20,East Ayrshire,75-84 years,Option 4 Only,10,2
2019/20,East Ayrshire,85+ years,Option 4 Only,5,1
2019/20,East Ayrshire,Unknown,Option 4 Only,0,NA
2020/21,East Ayrshire,All Ages,Option 1 Only,150,5
2020/21,East Ayrshire,0-17 years,Option 1 Only,40,47
2020/21,East Ayrshire,18-64 years,Option 1 Only,90,13
2020/21,East Ayrshire,65-74 years,Option 1 Only,15,3
2020/21,East Ayrshire,75-84 years,Option 1 Only,5,0
2020/21,East Ayrshire,85+ years,Option 1 Only,0,0
2020/21,East Ayrshire,Unknown,Option 1 Only,0,NA
2020/21,East Ayrshire,All Ages,Option 2 Only,105,3
2020/21,East Ayrshire,0-17 years,Option 2 Only,35,41
2020/21,East Ayrshire,18-64 years,Option 2 Only,45,6
2020/21,East Ayrshire,65-74 years,Option 2 Only,10,2
2020/21,East Ayrshire,75-84 years,Option 2 Only,5,0
2020/21,East Ayrshire,85+ years,Option 2 Only,10,1
2020/21,East Ayrshire,Unknown,Option 2 Only,0,NA
2020/21,East Ayrshire,All Ages,Option 3 Only,2715,86
2020/21,East Ayrshire,0-17 years,Option 3 Only,0,0
2020/21,East Ayrshire,18-64 years,Option 3 Only,455,65
2020/21,East Ayrshire,65-74 years,Option 3 Only,425,89
2020/21,East Ayrshire,75-84 years,Option 3 Only,985,97
2020/21,East Ayrshire,85+ years,Option 3 Only,845,96
2020/21,East Ayrshire,Unknown,Option 3 Only,0,NA
2020/21,East Ayrshire,All Ages,Option 4 Only,185,6
2020/21,East Ayrshire,0-17 years,Option 4 Only,10,12
2020/21,East Ayrshire,18-64 years,Option 4 Only,105,15
2020/21,East Ayrshire,65-74 years,Option 4 Only,25,5
2020/21,East Ayrshire,75-84 years,Option 4 Only,25,2
2020/21,East Ayrshire,85+ years,Option 4 Only,25,3
2020/21,East Ayrshire,Unknown,Option 4 Only,0,NA
2017/18,East Dunbartonshire,All Ages,Option 1 Only,175,9
2017/18,East Dunbartonshire,0-17 years,Option 1 Only,50,71
2017/18,East Dunbartonshire,18-64 years,Option 1 Only,50,18
2017/18,East Dunbartonshire,65-74 years,Option 1 Only,15,8
2017/18,East Dunbartonshire,75-84 years,Option 1 Only,20,3
2017/18,East Dunbartonshire,85+ years,Option 1 Only,35,5
2017/18,East Dunbartonshire,Unknown,Option 1 Only,0,NA
2017/18,East Dunbartonshire,All Ages,Option 2 Only,70,4
2017/18,East Dunbartonshire,0-17 years,Option 2 Only,5,7
2017/18,East Dunbartonshire,18-64 years,Option 2 Only,10,4
2017/18,East Dunbartonshire,65-74 years,Option 2 Only,5,3
2017/18,East Dunbartonshire,75-84 years,Option 2 Only,20,3
2017/18,East Dunbartonshire,85+ years,Option 2 Only,30,4
2017/18,East Dunbartonshire,Unknown,Option 2 Only,0,NA
2017/18,East Dunbartonshire,All Ages,Option 3 Only,1505,81
2017/18,East Dunbartonshire,0-17 years,Option 3 Only,10,14
2017/18,East Dunbartonshire,18-64 years,Option 3 Only,190,69
2017/18,East Dunbartonshire,65-74 years,Option 3 Only,160,84
2017/18,East Dunbartonshire,75-84 years,Option 3 Only,520,89
2017/18,East Dunbartonshire,85+ years,Option 3 Only,625,84
2017/18,East Dunbartonshire,Unknown,Option 3 Only,0,NA
2017/18,East Dunbartonshire,All Ages,Option 4 Only,115,6
2017/18,East Dunbartonshire,0-17 years,Option 4 Only,5,7
2017/18,East Dunbartonshire,18-64 years,Option 4 Only,25,9
2017/18,East Dunbartonshire,65-74 years,Option 4 Only,10,5
2017/18,East Dunbartonshire,75-84 years,Option 4 Only,25,4
2017/18,East Dunbartonshire,85+ years,Option 4 Only,50,7
2017/18,East Dunbartonshire,Unknown,Option 4 Only,0,NA
2018/19,East Dunbartonshire,All Ages,Option 1 Only,170,9
2018/19,East Dunbartonshire,0-17 years,Option 1 Only,50,59
2018/19,East Dunbartonshire,18-64 years,Option 1 Only,55,18
2018/19,East Dunbartonshire,65-74 years,Option 1 Only,15,7
2018/19,East Dunbartonshire,75-84 years,Option 1 Only,20,3
2018/19,East Dunbartonshire,85+ years,Option 1 Only,30,4
2018/19,East Dunbartonshire,Unknown,Option 1 Only,0,NA
2018/19,East Dunbartonshire,All Ages,Option 2 Only,80,4
2018/19,East Dunbartonshire,0-17 years,Option 2 Only,5,6
2018/19,East Dunbartonshire,18-64 years,Option 2 Only,10,3
2018/19,East Dunbartonshire,65-74 years,Option 2 Only,10,5
2018/19,East Dunbartonshire,75-84 years,Option 2 Only,30,5
2018/19,East Dunbartonshire,85+ years,Option 2 Only,25,3
2018/19,East Dunbartonshire,Unknown,Option 2 Only,0,NA
2018/19,East Dunbartonshire,All Ages,Option 3 Only,1585,81
2018/19,East Dunbartonshire,0-17 years,Option 3 Only,25,29
2018/19,East Dunbartonshire,18-64 years,Option 3 Only,210,68
2018/19,East Dunbartonshire,65-74 years,Option 3 Only,180,84
2018/19,East Dunbartonshire,75-84 years,Option 3 Only,530,86
2018/19,East Dunbartonshire,85+ years,Option 3 Only,640,87
2018/19,East Dunbartonshire,Unknown,Option 3 Only,0,NA
2018/19,East Dunbartonshire,All Ages,Option 4 Only,130,7
2018/19,East Dunbartonshire,0-17 years,Option 4 Only,5,6
2018/19,East Dunbartonshire,18-64 years,Option 4 Only,35,11
2018/19,East Dunbartonshire,65-74 years,Option 4 Only,10,5
2018/19,East Dunbartonshire,75-84 years,Option 4 Only,35,6
2018/19,East Dunbartonshire,85+ years,Option 4 Only,40,5
2018/19,East Dunbartonshire,Unknown,Option 4 Only,0,NA
2019/20,East Dunbartonshire,All Ages,Option 1 Only,170,8
2019/20,East Dunbartonshire,0-17 years,Option 1 Only,40,53
2019/20,East Dunbartonshire,18-64 years,Option 1 Only,65,18
2019/20,East Dunbartonshire,65-74 years,Option 1 Only,15,6
2019/20,East Dunbartonshire,75-84 years,Option 1 Only,25,4
2019/20,East Dunbartonshire,85+ years,Option 1 Only,25,3
2019/20,East Dunbartonshire,Unknown,Option 1 Only,0,NA
2019/20,East Dunbartonshire,All Ages,Option 2 Only,80,4
2019/20,East Dunbartonshire,0-17 years,Option 2 Only,0,0
2019/20,East Dunbartonshire,18-64 years,Option 2 Only,15,4
2019/20,East Dunbartonshire,65-74 years,Option 2 Only,10,4
2019/20,East Dunbartonshire,75-84 years,Option 2 Only,25,4
2019/20,East Dunbartonshire,85+ years,Option 2 Only,35,5
2019/20,East Dunbartonshire,Unknown,Option 2 Only,0,NA
2019/20,East Dunbartonshire,All Ages,Option 3 Only,1700,82
2019/20,East Dunbartonshire,0-17 years,Option 3 Only,25,33
2019/20,East Dunbartonshire,18-64 years,Option 3 Only,240,68
2019/20,East Dunbartonshire,65-74 years,Option 3 Only,200,85
2019/20,East Dunbartonshire,75-84 years,Option 3 Only,560,87
2019/20,East Dunbartonshire,85+ years,Option 3 Only,675,88
2019/20,East Dunbartonshire,Unknown,Option 3 Only,0,NA
2019/20,East Dunbartonshire,All Ages,Option 4 Only,130,6
2019/20,East Dunbartonshire,0-17 years,Option 4 Only,10,13
2019/20,East Dunbartonshire,18-64 years,Option 4 Only,35,10
2019/20,East Dunbartonshire,65-74 years,Option 4 Only,10,4
2019/20,East Dunbartonshire,75-84 years,Option 4 Only,35,5
2019/20,East Dunbartonshire,85+ years,Option 4 Only,35,5
2019/20,East Dunbartonshire,Unknown,Option 4 Only,0,NA
2020/21,East Dunbartonshire,All Ages,Option 1 Only,165,7
2020/21,East Dunbartonshire,0-17 years,Option 1 Only,40,47
2020/21,East Dunbartonshire,18-64 years,Option 1 Only,70,18
2020/21,East Dunbartonshire,65-74 years,Option 1 Only,15,6
2020/21,East Dunbartonshire,75-84 years,Option 1 Only,15,2
2020/21,East Dunbartonshire,85+ years,Option 1 Only,25,3
2020/21,East Dunbartonshire,Unknown,Option 1 Only,0,NA
2020/21,East Dunbartonshire,All Ages,Option 2 Only,70,3
2020/21,East Dunbartonshire,0-17 years,Option 2 Only,0,0
2020/21,East Dunbartonshire,18-64 years,Option 2 Only,15,4
2020/21,East Dunbartonshire,65-74 years,Option 2 Only,5,2
2020/21,East Dunbartonshire,75-84 years,Option 2 Only,20,3
2020/21,East Dunbartonshire,85+ years,Option 2 Only,30,3
2020/21,East Dunbartonshire,Unknown,Option 2 Only,0,NA
2020/21,East Dunbartonshire,All Ages,Option 3 Only,1895,83
2020/21,East Dunbartonshire,0-17 years,Option 3 Only,40,47
2020/21,East Dunbartonshire,18-64 years,Option 3 Only,270,69
2020/21,East Dunbartonshire,65-74 years,Option 3 Only,225,87
2020/21,East Dunbartonshire,75-84 years,Option 3 Only,605,88
2020/21,East Dunbartonshire,85+ years,Option 3 Only,760,88
2020/21,East Dunbartonshire,Unknown,Option 3 Only,0,NA
2020/21,East Dunbartonshire,All Ages,Option 4 Only,145,6
2020/21,East Dunbartonshire,0-17 years,Option 4 Only,5,6
2020/21,East Dunbartonshire,18-64 years,Option 4 Only,35,9
2020/21,East Dunbartonshire,65-74 years,Option 4 Only,15,6
2020/21,East Dunbartonshire,75-84 years,Option 4 Only,45,7
2020/21,East Dunbartonshire,85+ years,Option 4 Only,50,6
2020/21,East Dunbartonshire,Unknown,Option 4 Only,0,NA
2017/18,East Lothian,All Ages,Option 1 Only,35,4
2017/18,East Lothian,0-17 years,Option 1 Only,0,0
2017/18,East Lothian,18-64 years,Option 1 Only,20,4
2017/18,East Lothian,65-74 years,Option 1 Only,5,4
2017/18,East Lothian,75-84 years,Option 1 Only,5,3
2017/18,East Lothian,85+ years,Option 1 Only,5,3
2017/18,East Lothian,Unknown,Option 1 Only,0,NA
2017/18,East Lothian,All Ages,Option 2 Only,45,5
2017/18,East Lothian,0-17 years,Option 2 Only,0,0
2017/18,East Lothian,18-64 years,Option 2 Only,5,1
2017/18,East Lothian,65-74 years,Option 2 Only,5,4
2017/18,East Lothian,75-84 years,Option 2 Only,20,14
2017/18,East Lothian,85+ years,Option 2 Only,20,11
2017/18,East Lothian,Unknown,Option 2 Only,0,NA
2017/18,East Lothian,All Ages,Option 3 Only,715,77
2017/18,East Lothian,0-17 years,Option 3 Only,5,100
2017/18,East Lothian,18-64 years,Option 3 Only,370,76
2017/18,East Lothian,65-74 years,Option 3 Only,95,83
2017/18,East Lothian,75-84 years,Option 3 Only,110,76
2017/18,East Lothian,85+ years,Option 3 Only,135,77
2017/18,East Lothian,Unknown,Option 3 Only,0,NA
2017/18,East Lothian,All Ages,Option 4 Only,130,14
2017/18,East Lothian,0-17 years,Option 4 Only,0,0
2017/18,East Lothian,18-64 years,Option 4 Only,90,19
2017/18,East Lothian,65-74 years,Option 4 Only,10,9
2017/18,East Lothian,75-84 years,Option 4 Only,10,7
2017/18,East Lothian,85+ years,Option 4 Only,15,9
2017/18,East Lothian,Unknown,Option 4 Only,0,NA
2018/19,East Lothian,All Ages,Option 1 Only,70,7
2018/19,East Lothian,0-17 years,Option 1 Only,0,0
2018/19,East Lothian,18-64 years,Option 1 Only,40,8
2018/19,East Lothian,65-74 years,Option 1 Only,10,8
2018/19,East Lothian,75-84 years,Option 1 Only,10,6
2018/19,East Lothian,85+ years,Option 1 Only,15,8
2018/19,East Lothian,Unknown,Option 1 Only,0,NA
2018/19,East Lothian,All Ages,Option 2 Only,95,10
2018/19,East Lothian,0-17 years,Option 2 Only,0,0
2018/19,East Lothian,18-64 years,Option 2 Only,50,10
2018/19,East Lothian,65-74 years,Option 2 Only,10,8
2018/19,East Lothian,75-84 years,Option 2 Only,20,11
2018/19,East Lothian,85+ years,Option 2 Only,20,11
2018/19,East Lothian,Unknown,Option 2 Only,0,NA
2018/19,East Lothian,All Ages,Option 3 Only,685,69
2018/19,East Lothian,0-17 years,Option 3 Only,10,100
2018/19,East Lothian,18-64 years,Option 3 Only,320,62
2018/19,East Lothian,65-74 years,Option 3 Only,90,75
2018/19,East Lothian,75-84 years,Option 3 Only,130,74
2018/19,East Lothian,85+ years,Option 3 Only,135,75
2018/19,East Lothian,Unknown,Option 3 Only,0,NA
2018/19,East Lothian,All Ages,Option 4 Only,145,15
2018/19,East Lothian,0-17 years,Option 4 Only,0,0
2018/19,East Lothian,18-64 years,Option 4 Only,110,21
2018/19,East Lothian,65-74 years,Option 4 Only,10,8
2018/19,East Lothian,75-84 years,Option 4 Only,15,9
2018/19,East Lothian,85+ years,Option 4 Only,10,6
2018/19,East Lothian,Unknown,Option 4 Only,0,NA
2019/20,East Lothian,All Ages,Option 1 Only,50,5
2019/20,East Lothian,0-17 years,Option 1 Only,0,0
2019/20,East Lothian,18-64 years,Option 1 Only,30,6
2019/20,East Lothian,65-74 years,Option 1 Only,5,5
2019/20,East Lothian,75-84 years,Option 1 Only,10,6
2019/20,East Lothian,85+ years,Option 1 Only,10,6
2019/20,East Lothian,Unknown,Option 1 Only,0,NA
2019/20,East Lothian,All Ages,Option 2 Only,50,5
2019/20,East Lothian,0-17 years,Option 2 Only,0,0
2019/20,East Lothian,18-64 years,Option 2 Only,5,1
2019/20,East Lothian,65-74 years,Option 2 Only,5,5
2019/20,East Lothian,75-84 years,Option 2 Only,15,9
2019/20,East Lothian,85+ years,Option 2 Only,25,15
2019/20,East Lothian,Unknown,Option 2 Only,0,NA
2019/20,East Lothian,All Ages,Option 3 Only,785,78
2019/20,East Lothian,0-17 years,Option 3 Only,5,100
2019/20,East Lothian,18-64 years,Option 3 Only,430,79
2019/20,East Lothian,65-74 years,Option 3 Only,90,82
2019/20,East Lothian,75-84 years,Option 3 Only,135,77
2019/20,East Lothian,85+ years,Option 3 Only,125,74
2019/20,East Lothian,Unknown,Option 3 Only,0,NA
2019/20,East Lothian,All Ages,Option 4 Only,115,12
2019/20,East Lothian,0-17 years,Option 4 Only,0,0
2019/20,East Lothian,18-64 years,Option 4 Only,80,15
2019/20,East Lothian,65-74 years,Option 4 Only,10,9
2019/20,East Lothian,75-84 years,Option 4 Only,15,9
2019/20,East Lothian,85+ years,Option 4 Only,10,6
2019/20,East Lothian,Unknown,Option 4 Only,0,NA
2017/18,East Renfrewshire,All Ages,Option 1 Only,260,25
2017/18,East Renfrewshire,0-17 years,Option 1 Only,95,90
2017/18,East Renfrewshire,18-64 years,Option 1 Only,90,17
2017/18,East Renfrewshire,65-74 years,Option 1 Only,15,17
2017/18,East Renfrewshire,75-84 years,Option 1 Only,30,25
2017/18,East Renfrewshire,85+ years,Option 1 Only,30,19
2017/18,East Renfrewshire,Unknown,Option 1 Only,0,NA
2017/18,East Renfrewshire,All Ages,Option 2 Only,135,13
2017/18,East Renfrewshire,0-17 years,Option 2 Only,0,0
2017/18,East Renfrewshire,18-64 years,Option 2 Only,20,4
2017/18,East Renfrewshire,65-74 years,Option 2 Only,15,17
2017/18,East Renfrewshire,75-84 years,Option 2 Only,40,33
2017/18,East Renfrewshire,85+ years,Option 2 Only,60,39
2017/18,East Renfrewshire,Unknown,Option 2 Only,0,NA
2017/18,East Renfrewshire,All Ages,Option 3 Only,535,52
2017/18,East Renfrewshire,0-17 years,Option 3 Only,5,5
2017/18,East Renfrewshire,18-64 years,Option 3 Only,375,69
2017/18,East Renfrewshire,65-74 years,Option 3 Only,50,56
2017/18,East Renfrewshire,75-84 years,Option 3 Only,40,33
2017/18,East Renfrewshire,85+ years,Option 3 Only,55,35
2017/18,East Renfrewshire,Unknown,Option 3 Only,0,NA
2017/18,East Renfrewshire,All Ages,Option 4 Only,95,9
2017/18,East Renfrewshire,0-17 years,Option 4 Only,5,5
2017/18,East Renfrewshire,18-64 years,Option 4 Only,60,11
2017/18,East Renfrewshire,65-74 years,Option 4 Only,10,11
2017/18,East Renfrewshire,75-84 years,Option 4 Only,10,8
2017/18,East Renfrewshire,85+ years,Option 4 Only,10,6
2017/18,East Renfrewshire,Unknown,Option 4 Only,0,NA
