financial_year,sending_location,age_group,option_type,nclient,rate
2020/21,Scotland (All Areas Submitted),75-84 years,Option 4,925,3.1937740396235146
2020/21,Scotland (All Areas Submitted),85+ years,Option 4,1110,10.214316607006468
2020/21,Scotland (All Areas Submitted),Unknown,Option 4,0,0
2017/18,Aberdeen City,All Ages,Any SDS,940,4.108391608391608
2017/18,Aberdeen City,0-17 years,Any SDS,80,2.0930901860233906
2017/18,Aberdeen City,18-64 years,Any SDS,295,1.8997082820841409
2017/18,Aberdeen City,65-74 years,Any SDS,105,5.502567865003669
2017/18,Aberdeen City,75-84 years,Any SDS,205,17.82763718584225
2017/18,Aberdeen City,85+ years,Any SDS,255,54.128635109318616
2017/18,Aberdeen City,Unknown,Any SDS,0,0
2017/18,Aberdeen City,All Ages,Option 1,335,1.4641608391608392
2017/18,Aberdeen City,0-17 years,Option 1,80,2.0930901860233906
2017/18,Aberdeen City,18-64 years,Option 1,155,0.9981518092306505
2017/18,Aberdeen City,65-74 years,Option 1,20,1.0481081647626036
2017/18,Aberdeen City,75-84 years,Option 1,35,3.0437429341681885
2017/18,Aberdeen City,85+ years,Option 1,40,8.490766291657822
2017/18,Aberdeen City,Unknown,Option 1,0,0
2017/18,Aberdeen City,All Ages,Option 2,25,0.10926573426573427
2017/18,Aberdeen City,0-17 years,Option 2,0,0
2017/18,Aberdeen City,18-64 years,Option 2,10,0.06439689091810648
2017/18,Aberdeen City,65-74 years,Option 2,5,0.2620270411906509
2017/18,Aberdeen City,75-84 years,Option 2,5,0.4348204191668841
2017/18,Aberdeen City,85+ years,Option 2,5,1.0613457864572278
2017/18,Aberdeen City,Unknown,Option 2,0,0
2017/18,Aberdeen City,All Ages,Option 3,690,3.015734265734266
2017/18,Aberdeen City,0-17 years,Option 3,20,0.5232725465058476
2017/18,Aberdeen City,18-64 years,Option 3,175,1.1269455910668633
2017/18,Aberdeen City,65-74 years,Option 3,95,4.978513782622366
2017/18,Aberdeen City,75-84 years,Option 3,180,15.653535090007827
2017/18,Aberdeen City,85+ years,Option 3,220,46.69921460411802
2017/18,Aberdeen City,Unknown,Option 3,0,0
2017/18,Aberdeen City,All Ages,Option 4,105,0.4589160839160839
2017/18,Aberdeen City,0-17 years,Option 4,15,0.3924544098793857
2017/18,Aberdeen City,18-64 years,Option 4,50,0.3219844545905324
2017/18,Aberdeen City,65-74 years,Option 4,10,0.5240540823813018
2017/18,Aberdeen City,75-84 years,Option 4,15,1.3044612575006522
2017/18,Aberdeen City,85+ years,Option 4,15,3.184037359371683
2017/18,Aberdeen City,Unknown,Option 4,0,0
2018/19,Aberdeen City,All Ages,Any SDS,1030,4.526278783617507
2018/19,Aberdeen City,0-17 years,Any SDS,60,1.5617679212868967
2018/19,Aberdeen City,18-64 years,Any SDS,260,1.6925981381420478
2018/19,Aberdeen City,65-74 years,Any SDS,115,5.959475566150179
2018/19,Aberdeen City,75-84 years,Any SDS,245,21.20110764970578
2018/19,Aberdeen City,85+ years,Any SDS,350,74.80230818550973
2018/19,Aberdeen City,Unknown,Any SDS,0,0
