financial_year,sending_location,age_group,option_type,nclient,rate
2019/20,Dumfries and Galloway,65-74 years,Option 4,25,1.1880435299149361
2019/20,Dumfries and Galloway,75-84 years,Option 4,50,3.87747188832881
2019/20,Dumfries and Galloway,85+ years,Option 4,75,16.191709844559583
2019/20,Dumfries and Galloway,Unknown,Option 4,0,0
2020/21,Dumfries and Galloway,All Ages,Any SDS,7025,47.373389979095016
2020/21,Dumfries and Galloway,0-17 years,Any SDS,10,0.38405407481373377
2020/21,Dumfries and Galloway,18-64 years,Any SDS,1240,14.904921027958746
2020/21,Dumfries and Galloway,65-74 years,Any SDS,880,41.429311237700674
2020/21,Dumfries and Galloway,75-84 years,Any SDS,2175,165.6007309273641
2020/21,Dumfries and Galloway,85+ years,Any SDS,2715,579.7565663036514
2020/21,Dumfries and Galloway,Unknown,Any SDS,0,0
2020/21,Dumfries and Galloway,All Ages,Option 1,480,3.2369006676107626
2020/21,Dumfries and Galloway,0-17 years,Option 1,5,0.19202703740686689
2020/21,Dumfries and Galloway,18-64 years,Option 1,245,2.944923912782172
2020/21,Dumfries and Galloway,65-74 years,Option 1,55,2.589331952356292
2020/21,Dumfries and Galloway,75-84 years,Option 1,80,6.091061367443277
2020/21,Dumfries and Galloway,85+ years,Option 1,90,19.218449711723256
2020/21,Dumfries and Galloway,Unknown,Option 1,0,0
2020/21,Dumfries and Galloway,All Ages,Option 2,20,0.13487086115044844
2020/21,Dumfries and Galloway,0-17 years,Option 2,0,0
2020/21,Dumfries and Galloway,18-64 years,Option 2,10,0.12020097603192538
2020/21,Dumfries and Galloway,65-74 years,Option 2,0,0
2020/21,Dumfries and Galloway,75-84 years,Option 2,5,0.38069133546520484
2020/21,Dumfries and Galloway,85+ years,Option 2,5,1.067691650651292
2020/21,Dumfries and Galloway,Unknown,Option 2,0,0
2020/21,Dumfries and Galloway,All Ages,Option 3,6790,45.78865736057725
2020/21,Dumfries and Galloway,0-17 years,Option 3,10,0.38405407481373377
2020/21,Dumfries and Galloway,18-64 years,Option 3,1095,13.162006875495829
2020/21,Dumfries and Galloway,65-74 years,Option 3,845,39.78155454074667
2020/21,Dumfries and Galloway,75-84 years,Option 3,2140,162.93589157910765
2020/21,Dumfries and Galloway,85+ years,Option 3,2695,575.4857997010463
2020/21,Dumfries and Galloway,Unknown,Option 3,0,0
2020/21,Dumfries and Galloway,All Ages,Option 4,260,1.7533211949558298
2020/21,Dumfries and Galloway,0-17 years,Option 4,5,0.19202703740686689
2020/21,Dumfries and Galloway,18-64 years,Option 4,105,1.2621102483352165
2020/21,Dumfries and Galloway,65-74 years,Option 4,20,0.941575255402288
2020/21,Dumfries and Galloway,75-84 years,Option 4,50,3.806913354652048
2020/21,Dumfries and Galloway,85+ years,Option 4,80,17.08306641042067
2020/21,Dumfries and Galloway,Unknown,Option 4,0,0
2017/18,Dundee City,All Ages,Any SDS,7075,47.57581870755161
2017/18,Dundee City,0-17 years,Any SDS,30,1.1192776927955825
2017/18,Dundee City,18-64 years,Any SDS,2460,25.63434585525973
2017/18,Dundee City,65-74 years,Any SDS,1025,75.24040226088233
2017/18,Dundee City,75-84 years,Any SDS,1715,196.60667201650807
2017/18,Dundee City,85+ years,Any SDS,1840,511.67964404894326
2017/18,Dundee City,Unknown,Any SDS,0,0
2017/18,Dundee City,All Ages,Option 1,75,0.5043373007867662
2017/18,Dundee City,0-17 years,Option 1,10,0.3730925642651942
2017/18,Dundee City,18-64 years,Option 1,30,0.31261397384463085
2017/18,Dundee City,65-74 years,Option 1,10,0.7340527049842178
2017/18,Dundee City,75-84 years,Option 1,10,1.1463945890175398
2017/18,Dundee City,85+ years,Option 1,10,2.780867630700779
2017/18,Dundee City,Unknown,Option 1,0,0
2017/18,Dundee City,All Ages,Option 2,40,0.26897989375294196
2017/18,Dundee City,0-17 years,Option 2,0,0
2017/18,Dundee City,18-64 years,Option 2,20,0.20840931589642056
2017/18,Dundee City,65-74 years,Option 2,5,0.3670263524921089
2017/18,Dundee City,75-84 years,Option 2,5,0.5731972945087699
2017/18,Dundee City,85+ years,Option 2,10,2.780867630700779
2017/18,Dundee City,Unknown,Option 2,0,0
2017/18,Dundee City,All Ages,Option 3,6970,46.86974648645014
2017/18,Dundee City,0-17 years,Option 3,20,0.7461851285303884
2017/18,Dundee City,18-64 years,Option 3,2405,25.061220236544575
2017/18,Dundee City,65-74 years,Option 3,1015,74.50634955589811
2017/18,Dundee City,75-84 years,Option 3,1705,195.46027742749052
2017/18,Dundee City,85+ years,Option 3,1825,507.5083426028921
2017/18,Dundee City,Unknown,Option 3,0,0
2017/18,Dundee City,All Ages,Option 4,10,0.06724497343823549
2017/18,Dundee City,0-17 years,Option 4,0,0
2017/18,Dundee City,18-64 years,Option 4,0,0
2017/18,Dundee City,65-74 years,Option 4,0,0
2017/18,Dundee City,75-84 years,Option 4,5,0.5731972945087699
2017/18,Dundee City,85+ years,Option 4,5,1.3904338153503895
2017/18,Dundee City,Unknown,Option 4,0,0
2018/19,Dundee City,All Ages,Any SDS,7665,51.52941176470588
2018/19,Dundee City,0-17 years,Any SDS,45,1.6826833189993644
2018/19,Dundee City,18-64 years,Any SDS,2670,27.806706936054987
2018/19,Dundee City,65-74 years,Any SDS,1150,83.58165564357876
2018/19,Dundee City,75-84 years,Any SDS,1920,221.4277476646292
2018/19,Dundee City,85+ years,Any SDS,1885,529.940961484397
2018/19,Dundee City,Unknown,Any SDS,0,0
2018/19,Dundee City,All Ages,Option 1,105,0.7058823529411765
2018/19,Dundee City,0-17 years,Option 1,25,0.934824066110758
2018/19,Dundee City,18-64 years,Option 1,30,0.3124349093938763
2018/19,Dundee City,65-74 years,Option 1,10,0.726797005596337
2018/19,Dundee City,75-84 years,Option 1,15,1.7299042786299157
2018/19,Dundee City,85+ years,Option 1,25,7.028394714647174
2018/19,Dundee City,Unknown,Option 1,0,0
2018/19,Dundee City,All Ages,Option 2,70,0.47058823529411764
2018/19,Dundee City,0-17 years,Option 2,0,0
2018/19,Dundee City,18-64 years,Option 2,30,0.3124349093938763
2018/19,Dundee City,65-74 years,Option 2,10,0.726797005596337
2018/19,Dundee City,75-84 years,Option 2,15,1.7299042786299157
2018/19,Dundee City,85+ years,Option 2,15,4.217036828788305
2018/19,Dundee City,Unknown,Option 2,0,0
2018/19,Dundee City,All Ages,Option 3,7495,50.38655462184874
2018/19,Dundee City,0-17 years,Option 3,20,0.7478592528886063
2018/19,Dundee City,18-64 years,Option 3,2605,27.129764632368257
2018/19,Dundee City,65-74 years,Option 3,1135,82.49146013518424
2018/19,Dundee City,75-84 years,Option 3,1890,217.9679391073694
2018/19,Dundee City,85+ years,Option 3,1845,518.6955299409615
2018/19,Dundee City,Unknown,Option 3,0,0
2018/19,Dundee City,All Ages,Option 4,5,0.03361344537815126
2018/19,Dundee City,0-17 years,Option 4,0,0
2018/19,Dundee City,18-64 years,Option 4,0,0
2018/19,Dundee City,65-74 years,Option 4,0,0
2018/19,Dundee City,75-84 years,Option 4,0,0
2018/19,Dundee City,85+ years,Option 4,0,0
2018/19,Dundee City,Unknown,Option 4,0,0
2019/20,Dundee City,All Ages,Any SDS,3100,20.760782212697563
2019/20,Dundee City,0-17 years,Any SDS,55,2.0550760378133988
2019/20,Dundee City,18-64 years,Any SDS,735,7.617369675614053
2019/20,Dundee City,65-74 years,Any SDS,465,33.698094064787306
2019/20,Dundee City,75-84 years,Any SDS,855,99.65034965034965
2019/20,Dundee City,85+ years,Any SDS,985,267.08242950108456
2019/20,Dundee City,Unknown,Any SDS,0,0
2019/20,Dundee City,All Ages,Option 1,120,0.8036431824270024
2019/20,Dundee City,0-17 years,Option 1,40,1.4946007547733813
2019/20,Dundee City,18-64 years,Option 1,35,0.3627318893149549
2019/20,Dundee City,65-74 years,Option 1,10,0.7246901949416624
2019/20,Dundee City,75-84 years,Option 1,10,1.1655011655011656
2019/20,Dundee City,85+ years,Option 1,20,5.422993492407809
2019/20,Dundee City,Unknown,Option 1,0,0
2019/20,Dundee City,All Ages,Option 2,160,1.0715242432360033
2019/20,Dundee City,0-17 years,Option 2,0,0
2019/20,Dundee City,18-64 years,Option 2,50,0.5181884133070785
2019/20,Dundee City,65-74 years,Option 2,25,1.8117254873541562
2019/20,Dundee City,75-84 years,Option 2,45,5.244755244755245
2019/20,Dundee City,85+ years,Option 2,40,10.845986984815617
2019/20,Dundee City,Unknown,Option 2,0,0
2019/20,Dundee City,All Ages,Option 3,2950,19.75622823466381
2019/20,Dundee City,0-17 years,Option 3,15,0.5604752830400179
2019/20,Dundee City,18-64 years,Option 3,700,7.2546377862990985
2019/20,Dundee City,65-74 years,Option 3,450,32.61105877237481
2019/20,Dundee City,75-84 years,Option 3,830,96.73659673659674
2019/20,Dundee City,85+ years,Option 3,955,258.9479392624729
2019/20,Dundee City,Unknown,Option 3,0,0
2019/20,Dundee City,All Ages,Option 4,130,0.8706134476292525
2019/20,Dundee City,0-17 years,Option 4,0,0
2019/20,Dundee City,18-64 years,Option 4,50,0.5181884133070785
2019/20,Dundee City,65-74 years,Option 4,20,1.4493803898833248
2019/20,Dundee City,75-84 years,Option 4,30,3.4965034965034967
2019/20,Dundee City,85+ years,Option 4,30,8.134490238611713
2019/20,Dundee City,Unknown,Option 4,0,0
2020/21,Dundee City,All Ages,Any SDS,3180,21.368095686063704
2020/21,Dundee City,0-17 years,Any SDS,80,2.998725541644801
2020/21,Dundee City,18-64 years,Any SDS,795,8.272460510707372
2020/21,Dundee City,65-74 years,Any SDS,455,32.752663403397634
2020/21,Dundee City,75-84 years,Any SDS,845,99.75209538425216
2020/21,Dundee City,85+ years,Any SDS,1000,271.96083763938
2020/21,Dundee City,Unknown,Any SDS,0,0
2020/21,Dundee City,All Ages,Option 1,145,0.9743314070689423
2020/21,Dundee City,0-17 years,Option 1,55,2.0616238098808006
2020/21,Dundee City,18-64 years,Option 1,35,0.36419637468523025
2020/21,Dundee City,65-74 years,Option 1,15,1.079758134177944
2020/21,Dundee City,75-84 years,Option 1,15,1.7707472553417543
2020/21,Dundee City,85+ years,Option 1,25,6.799020940984498
2020/21,Dundee City,Unknown,Option 1,0,0
2020/21,Dundee City,All Ages,Option 2,125,0.8399408681628814
2020/21,Dundee City,0-17 years,Option 2,0,0
2020/21,Dundee City,18-64 years,Option 2,50,0.5202805352646147
2020/21,Dundee City,65-74 years,Option 2,15,1.079758134177944
2020/21,Dundee City,75-84 years,Option 2,30,3.5414945106835085
2020/21,Dundee City,85+ years,Option 2,30,8.158825129181398
2020/21,Dundee City,Unknown,Option 2,0,0
2020/21,Dundee City,All Ages,Option 3,2925,19.654616315011424
2020/21,Dundee City,0-17 years,Option 3,25,0.9371017317640002
2020/21,Dundee City,18-64 years,Option 3,715,7.44001165428399
2020/21,Dundee City,65-74 years,Option 3,430,30.953066513101067
2020/21,Dundee City,75-84 years,Option 3,810,95.62035178845473
2020/21,Dundee City,85+ years,Option 3,950,258.36279575741094
2020/21,Dundee City,Unknown,Option 3,0,0
2020/21,Dundee City,All Ages,Option 4,10,0.0671952694530305
2020/21,Dundee City,0-17 years,Option 4,0,0
2020/21,Dundee City,18-64 years,Option 4,5,0.05202805352646146
2020/21,Dundee City,65-74 years,Option 4,0,0
2020/21,Dundee City,75-84 years,Option 4,5,0.590249085113918
2020/21,Dundee City,85+ years,Option 4,5,1.3598041881968996
2020/21,Dundee City,Unknown,Option 4,0,0
2017/18,East Ayrshire,All Ages,Any SDS,1705,13.982286370346072
2017/18,East Ayrshire,0-17 years,Any SDS,85,3.576387427946312
2017/18,East Ayrshire,18-64 years,Any SDS,475,6.420133538777606
2017/18,East Ayrshire,65-74 years,Any SDS,230,16.493366798135533
2017/18,East Ayrshire,75-84 years,Any SDS,500,65.12960791976033
2017/18,East Ayrshire,85+ years,Any SDS,415,161.7933723196881
2017/18,East Ayrshire,Unknown,Any SDS,0,0
2017/18,East Ayrshire,All Ages,Option 1,205,1.681154666229293
2017/18,East Ayrshire,0-17 years,Option 1,45,1.8933815795009887
2017/18,East Ayrshire,18-64 years,Option 1,115,1.5543481199145783
2017/18,East Ayrshire,65-74 years,Option 1,15,1.0756543564001435
2017/18,East Ayrshire,75-84 years,Option 1,15,1.9538882375928095
2017/18,East Ayrshire,85+ years,Option 1,15,5.847953216374268
2017/18,East Ayrshire,Unknown,Option 1,0,0
2017/18,East Ayrshire,All Ages,Option 2,155,1.2711169427587339
2017/18,East Ayrshire,0-17 years,Option 2,40,1.6830058484453234
2017/18,East Ayrshire,18-64 years,Option 2,65,0.8785445895169357
2017/18,East Ayrshire,65-74 years,Option 2,15,1.0756543564001435
2017/18,East Ayrshire,75-84 years,Option 2,15,1.9538882375928095
2017/18,East Ayrshire,85+ years,Option 2,15,5.847953216374268
2017/18,East Ayrshire,Unknown,Option 2,0,0
2017/18,East Ayrshire,All Ages,Option 3,1605,13.162210923404954
2017/18,East Ayrshire,0-17 years,Option 3,40,1.6830058484453234
2017/18,East Ayrshire,18-64 years,Option 3,435,5.879490714459493
2017/18,East Ayrshire,65-74 years,Option 3,225,16.13481534600215
2017/18,East Ayrshire,75-84 years,Option 3,495,64.47831184056271
2017/18,East Ayrshire,85+ years,Option 3,410,159.84405458089668
2017/18,East Ayrshire,Unknown,Option 3,0,0
2017/18,East Ayrshire,All Ages,Option 4,245,2.0091848450057403
2017/18,East Ayrshire,0-17 years,Option 4,40,1.6830058484453234
2017/18,East Ayrshire,18-64 years,Option 4,125,1.6895088259941071
2017/18,East Ayrshire,65-74 years,Option 4,25,1.7927572606669058
2017/18,East Ayrshire,75-84 years,Option 4,25,3.2564803959880164
2017/18,East Ayrshire,85+ years,Option 4,25,9.746588693957115
2017/18,East Ayrshire,Unknown,Option 4,0,0
2018/19,East Ayrshire,All Ages,Any SDS,2060,16.90741956664478
2018/19,East Ayrshire,0-17 years,Any SDS,100,4.224578598284821
2018/19,East Ayrshire,18-64 years,Any SDS,405,5.501521408389481
2018/19,East Ayrshire,65-74 years,Any SDS,265,18.70016230329546
2018/19,East Ayrshire,75-84 years,Any SDS,660,84.63708643241857
2018/19,East Ayrshire,85+ years,Any SDS,630,243.80804953560371
2018/19,East Ayrshire,Unknown,Any SDS,0,0
2018/19,East Ayrshire,All Ages,Option 1,210,1.7235718975705845
2018/19,East Ayrshire,0-17 years,Option 1,50,2.1122892991424105
2018/19,East Ayrshire,18-64 years,Option 1,120,1.6300804173005867
2018/19,East Ayrshire,65-74 years,Option 1,15,1.0584997530167244
2018/19,East Ayrshire,75-84 years,Option 1,10,1.2823800974608872
2018/19,East Ayrshire,85+ years,Option 1,10,3.869969040247678
2018/19,East Ayrshire,Unknown,Option 1,0,0
2018/19,East Ayrshire,All Ages,Option 2,155,1.2721602101116216
2018/19,East Ayrshire,0-17 years,Option 2,60,2.5347471589708928
2018/19,East Ayrshire,18-64 years,Option 2,55,0.747120191262769
2018/19,East Ayrshire,65-74 years,Option 2,10,0.7056665020111496
2018/19,East Ayrshire,75-84 years,Option 2,10,1.2823800974608872
2018/19,East Ayrshire,85+ years,Option 2,15,5.804953560371517
2018/19,East Ayrshire,Unknown,Option 2,0,0
2018/19,East Ayrshire,All Ages,Option 3,1785,14.650361129349967
2018/19,East Ayrshire,0-17 years,Option 3,0,0
2018/19,East Ayrshire,18-64 years,Option 3,270,3.6676809389263205
2018/19,East Ayrshire,65-74 years,Option 3,245,17.288829299273164
2018/19,East Ayrshire,75-84 years,Option 3,645,82.71351628622723
2018/19,East Ayrshire,85+ years,Option 3,625,241.87306501547985
2018/19,East Ayrshire,Unknown,Option 3,0,0
2018/19,East Ayrshire,All Ages,Option 4,85,0.6976362442547603
2018/19,East Ayrshire,0-17 years,Option 4,10,0.4224578598284821
2018/19,East Ayrshire,18-64 years,Option 4,45,0.61128015648772
2018/19,East Ayrshire,65-74 years,Option 4,10,0.7056665020111496
2018/19,East Ayrshire,75-84 years,Option 4,5,0.6411900487304436
2018/19,East Ayrshire,85+ years,Option 4,15,5.804953560371517
2018/19,East Ayrshire,Unknown,Option 4,0,0
2019/20,East Ayrshire,All Ages,Any SDS,1895,15.531513810343414
2019/20,East Ayrshire,0-17 years,Any SDS,95,4.032429220255529
2019/20,East Ayrshire,18-64 years,Any SDS,410,5.578307187852896
2019/20,East Ayrshire,65-74 years,Any SDS,250,17.52786931220641
2019/20,East Ayrshire,75-84 years,Any SDS,615,77.00012520345561
2019/20,East Ayrshire,85+ years,Any SDS,525,194.30051813471502
2019/20,East Ayrshire,Unknown,Any SDS,0,0
2019/20,East Ayrshire,All Ages,Option 1,220,1.803130890910581
2019/20,East Ayrshire,0-17 years,Option 1,55,2.3345642854110955
2019/20,East Ayrshire,18-64 years,Option 1,125,1.700703410930761
2019/20,East Ayrshire,65-74 years,Option 1,20,1.4022295449765125
2019/20,East Ayrshire,75-84 years,Option 1,10,1.2520345561537498
2019/20,East Ayrshire,85+ years,Option 1,10,3.700962250185048
2019/20,East Ayrshire,Unknown,Option 1,0,0
2019/20,East Ayrshire,All Ages,Option 2,140,1.1474469305794606
2019/20,East Ayrshire,0-17 years,Option 2,50,2.1223311685555415
2019/20,East Ayrshire,18-64 years,Option 2,50,0.6802813643723044
2019/20,East Ayrshire,65-74 years,Option 2,15,1.0516721587323845
2019/20,East Ayrshire,75-84 years,Option 2,15,1.878051834230625
2019/20,East Ayrshire,85+ years,Option 2,15,5.5514433752775725
2019/20,East Ayrshire,Unknown,Option 2,0,0
2019/20,East Ayrshire,All Ages,Option 3,1605,13.154659454143102
2019/20,East Ayrshire,0-17 years,Option 3,0,0
2019/20,East Ayrshire,18-64 years,Option 3,270,3.6735193676104436
2019/20,East Ayrshire,65-74 years,Option 3,230,16.125639767229895
2019/20,East Ayrshire,75-84 years,Option 3,595,74.49605609114812
2019/20,East Ayrshire,85+ years,Option 3,510,188.74907475943743
2019/20,East Ayrshire,Unknown,Option 3,0,0
2019/20,East Ayrshire,All Ages,Option 4,65,0.5327432177690353
2019/20,East Ayrshire,0-17 years,Option 4,10,0.42446623371110825
2019/20,East Ayrshire,18-64 years,Option 4,30,0.4081688186233826
2019/20,East Ayrshire,65-74 years,Option 4,10,0.7011147724882563
2019/20,East Ayrshire,75-84 years,Option 4,10,1.2520345561537498
2019/20,East Ayrshire,85+ years,Option 4,5,1.850481125092524
2019/20,East Ayrshire,Unknown,Option 4,0,0
2020/21,East Ayrshire,All Ages,Any SDS,3155,25.945723684210524
2020/21,East Ayrshire,0-17 years,Any SDS,85,3.628911753404773
2020/21,East Ayrshire,18-64 years,Any SDS,695,9.526159244486479
2020/21,East Ayrshire,65-74 years,Any SDS,475,33.11258278145696
2020/21,East Ayrshire,75-84 years,Any SDS,1020,125.27634487840825
2020/21,East Ayrshire,85+ years,Any SDS,880,321.99048664471275
2020/21,East Ayrshire,Unknown,Any SDS,0,0
2020/21,East Ayrshire,All Ages,Option 1,230,1.8914473684210527
2020/21,East Ayrshire,0-17 years,Option 1,50,2.134653972591043
2020/21,East Ayrshire,18-64 years,Option 1,135,1.8504050331016901
2020/21,East Ayrshire,65-74 years,Option 1,25,1.742767514813524
2020/21,East Ayrshire,75-84 years,Option 1,10,1.2281994595922379
2020/21,East Ayrshire,85+ years,Option 1,10,3.658982802780827
2020/21,East Ayrshire,Unknown,Option 1,0,0
2020/21,East Ayrshire,All Ages,Option 2,235,1.932565789473684
2020/21,East Ayrshire,0-17 years,Option 2,45,1.9211885753319387
2020/21,East Ayrshire,18-64 years,Option 2,120,1.644804473868169
2020/21,East Ayrshire,65-74 years,Option 2,20,1.394214011850819
2020/21,East Ayrshire,75-84 years,Option 2,25,3.0704986489805948
2020/21,East Ayrshire,85+ years,Option 2,25,9.147457006952067
2020/21,East Ayrshire,Unknown,Option 2,0,0
2020/21,East Ayrshire,All Ages,Option 3,2880,23.68421052631579
2020/21,East Ayrshire,0-17 years,Option 3,0,0
2020/21,East Ayrshire,18-64 years,Option 3,555,7.607220691640281
2020/21,East Ayrshire,65-74 years,Option 3,450,31.369815266643432
2020/21,East Ayrshire,75-84 years,Option 3,1005,123.4340456890199
2020/21,East Ayrshire,85+ years,Option 3,870,318.3315038419319
2020/21,East Ayrshire,Unknown,Option 3,0,0
2020/21,East Ayrshire,All Ages,Option 4,185,1.5213815789473684
2020/21,East Ayrshire,0-17 years,Option 4,10,0.4269307945182086
2020/21,East Ayrshire,18-64 years,Option 4,105,1.4392039146346478
2020/21,East Ayrshire,65-74 years,Option 4,25,1.742767514813524
2020/21,East Ayrshire,75-84 years,Option 4,25,3.0704986489805948
2020/21,East Ayrshire,85+ years,Option 4,25,9.147457006952067
2020/21,East Ayrshire,Unknown,Option 4,0,0
2017/18,East Dunbartonshire,All Ages,Any SDS,1860,17.201516692869692
2017/18,East Dunbartonshire,0-17 years,Any SDS,65,3.0172213712110665
2017/18,East Dunbartonshire,18-64 years,Any SDS,275,4.372714262998887
2017/18,East Dunbartonshire,65-74 years,Any SDS,190,15.213387781247498
2017/18,East Dunbartonshire,75-84 years,Any SDS,590,72.84849981479195
2017/18,East Dunbartonshire,85+ years,Any SDS,735,236.41042135734963
2017/18,East Dunbartonshire,Unknown,Any SDS,0,0
2017/18,East Dunbartonshire,All Ages,Option 1,230,2.127069268473134
2017/18,East Dunbartonshire,0-17 years,Option 1,50,2.320939516316205
2017/18,East Dunbartonshire,18-64 years,Option 1,75,1.192558435363333
2017/18,East Dunbartonshire,65-74 years,Option 1,20,1.6014092401313156
2017/18,East Dunbartonshire,75-84 years,Option 1,35,4.32152117545376
2017/18,East Dunbartonshire,85+ years,Option 1,50,16.08234158893535
2017/18,East Dunbartonshire,Unknown,Option 1,0,0
2017/18,East Dunbartonshire,All Ages,Option 2,140,1.2947378155923426
2017/18,East Dunbartonshire,0-17 years,Option 2,5,0.2320939516316205
2017/18,East Dunbartonshire,18-64 years,Option 2,20,0.3180155827635554
2017/18,East Dunbartonshire,65-74 years,Option 2,10,0.8007046200656578
2017/18,East Dunbartonshire,75-84 years,Option 2,35,4.32152117545376
2017/18,East Dunbartonshire,85+ years,Option 2,65,20.907044065615953
2017/18,East Dunbartonshire,Unknown,Option 2,0,0
2017/18,East Dunbartonshire,All Ages,Option 3,1610,14.889484879311938
2017/18,East Dunbartonshire,0-17 years,Option 3,10,0.464187903263241
2017/18,East Dunbartonshire,18-64 years,Option 3,215,3.4186675147082206
2017/18,East Dunbartonshire,65-74 years,Option 3,170,13.611978541116182
2017/18,East Dunbartonshire,75-84 years,Option 3,550,67.90961847141622
2017/18,East Dunbartonshire,85+ years,Option 3,670,215.5033772917337
2017/18,East Dunbartonshire,Unknown,Option 3,0,0
2017/18,East Dunbartonshire,All Ages,Option 4,115,1.063534634236567
2017/18,East Dunbartonshire,0-17 years,Option 4,5,0.2320939516316205
2017/18,East Dunbartonshire,18-64 years,Option 4,25,0.3975194784544443
2017/18,East Dunbartonshire,65-74 years,Option 4,10,0.8007046200656578
2017/18,East Dunbartonshire,75-84 years,Option 4,25,3.0868008396098285
2017/18,East Dunbartonshire,85+ years,Option 4,50,16.08234158893535
2017/18,East Dunbartonshire,Unknown,Option 4,0,0
2018/19,East Dunbartonshire,All Ages,Any SDS,1965,18.13901966214345
2018/19,East Dunbartonshire,0-17 years,Any SDS,85,3.930272344754243
2018/19,East Dunbartonshire,18-64 years,Any SDS,310,4.949230474487515
2018/19,East Dunbartonshire,65-74 years,Any SDS,215,16.989332279731332
2018/19,East Dunbartonshire,75-84 years,Any SDS,615,74.91777317578267
2018/19,East Dunbartonshire,85+ years,Any SDS,735,229.47236965344987
2018/19,East Dunbartonshire,Unknown,Any SDS,0,0
2018/19,East Dunbartonshire,All Ages,Option 1,235,2.1692975168466724
2018/19,East Dunbartonshire,0-17 years,Option 1,55,2.5431173995468628
2018/19,East Dunbartonshire,18-64 years,Option 1,85,1.3570470655852864
2018/19,East Dunbartonshire,65-74 years,Option 1,20,1.5804030027657052
2018/19,East Dunbartonshire,75-84 years,Option 1,35,4.2636131075648676
2018/19,East Dunbartonshire,85+ years,Option 1,40,12.488292226038089
2018/19,East Dunbartonshire,Unknown,Option 1,0,0
2018/19,East Dunbartonshire,All Ages,Option 2,155,1.430813255792486
2018/19,East Dunbartonshire,0-17 years,Option 2,5,0.23119249086789662
2018/19,East Dunbartonshire,18-64 years,Option 2,25,0.3991314898780254
2018/19,East Dunbartonshire,65-74 years,Option 2,15,1.185302252074279
2018/19,East Dunbartonshire,75-84 years,Option 2,55,6.6999634547447915
2018/19,East Dunbartonshire,85+ years,Option 2,55,17.171401810802372
2018/19,East Dunbartonshire,Unknown,Option 2,0,0
2018/19,East Dunbartonshire,All Ages,Option 3,1705,15.738945813717343
2018/19,East Dunbartonshire,0-17 years,Option 3,30,1.3871549452073797
2018/19,East Dunbartonshire,18-64 years,Option 3,245,3.9114886008046494
2018/19,East Dunbartonshire,65-74 years,Option 3,190,15.0138285262742
2018/19,East Dunbartonshire,75-84 years,Option 3,565,68.82689730783287
2018/19,East Dunbartonshire,85+ years,Option 3,680,212.3009678426475
2018/19,East Dunbartonshire,Unknown,Option 3,0,0
2018/19,East Dunbartonshire,All Ages,Option 4,130,1.2000369242130526
2018/19,East Dunbartonshire,0-17 years,Option 4,5,0.23119249086789662
2018/19,East Dunbartonshire,18-64 years,Option 4,35,0.5587840858292356
2018/19,East Dunbartonshire,65-74 years,Option 4,10,0.7902015013828526
2018/19,East Dunbartonshire,75-84 years,Option 4,35,4.2636131075648676
2018/19,East Dunbartonshire,85+ years,Option 4,40,12.488292226038089
2018/19,East Dunbartonshire,Unknown,Option 4,0,0
2019/20,East Dunbartonshire,All Ages,Any SDS,2085,19.191826215022093
2019/20,East Dunbartonshire,0-17 years,Any SDS,80,3.6835804401878622
2019/20,East Dunbartonshire,18-64 years,Any SDS,360,5.764980943535215
2019/20,East Dunbartonshire,65-74 years,Any SDS,235,18.43137254901961
2019/20,East Dunbartonshire,75-84 years,Any SDS,640,76.43616386002627
2019/20,East Dunbartonshire,85+ years,Any SDS,770,229.64509394572025
2019/20,East Dunbartonshire,Unknown,Any SDS,0,0
2019/20,East Dunbartonshire,All Ages,Option 1,240,2.2091310751104567
2019/20,East Dunbartonshire,0-17 years,Option 1,50,2.302237775117414
2019/20,East Dunbartonshire,18-64 years,Option 1,95,1.521314415655126
2019/20,East Dunbartonshire,65-74 years,Option 1,20,1.5686274509803921
2019/20,East Dunbartonshire,75-84 years,Option 1,35,4.180102711095187
2019/20,East Dunbartonshire,85+ years,Option 1,35,10.438413361169102
2019/20,East Dunbartonshire,Unknown,Option 1,0,0
2019/20,East Dunbartonshire,All Ages,Option 2,165,1.5187776141384388
2019/20,East Dunbartonshire,0-17 years,Option 2,5,0.2302237775117414
2019/20,East Dunbartonshire,18-64 years,Option 2,30,0.48041507862793453
2019/20,East Dunbartonshire,65-74 years,Option 2,15,1.176470588235294
2019/20,East Dunbartonshire,75-84 years,Option 2,55,6.568732831721008
2019/20,East Dunbartonshire,85+ years,Option 2,60,17.89442290486132
2019/20,East Dunbartonshire,Unknown,Option 2,0,0
2019/20,East Dunbartonshire,All Ages,Option 3,1825,16.79860088365243
2019/20,East Dunbartonshire,0-17 years,Option 3,35,1.6115664425821898
2019/20,East Dunbartonshire,18-64 years,Option 3,280,4.483874067194056
2019/20,East Dunbartonshire,65-74 years,Option 3,210,16.47058823529412
2019/20,East Dunbartonshire,75-84 years,Option 3,590,70.46458855846171
2019/20,East Dunbartonshire,85+ years,Option 3,710,211.75067104085892
2019/20,East Dunbartonshire,Unknown,Option 3,0,0
2019/20,East Dunbartonshire,All Ages,Option 4,130,1.1966126656848308
2019/20,East Dunbartonshire,0-17 years,Option 4,10,0.4604475550234828
2019/20,East Dunbartonshire,18-64 years,Option 4,35,0.560484258399257
2019/20,East Dunbartonshire,65-74 years,Option 4,10,0.7843137254901961
