financial_year,sending_location,age_group,sds_support_services,nclient,rate
2018/19,Comhairle nan Eilean Siar,18-64 years,Other,0,0
2018/19,Comhairle nan Eilean Siar,65-74 years,Other,0,0
2018/19,Comhairle nan Eilean Siar,75-84 years,Other,0,0
2018/19,Comhairle nan Eilean Siar,85+ years,Other,0,0
2018/19,Comhairle nan Eilean Siar,Unknown,Other,0,0
2018/19,Comhairle nan Eilean Siar,All Ages,Not Known,0,0
2018/19,Comhairle nan Eilean Siar,0-17 years,Not Known,0,0
2018/19,Comhairle nan Eilean Siar,18-64 years,Not Known,0,0
2018/19,Comhairle nan Eilean Siar,65-74 years,Not Known,0,0
2018/19,Comhairle nan Eilean Siar,75-84 years,Not Known,0,0
2018/19,Comhairle nan Eilean Siar,85+ years,Not Known,0,0
2018/19,Comhairle nan Eilean Siar,Unknown,Not Known,0,0
2019/20,Comhairle nan Eilean Siar,All Ages,Local Authority,25,250
2019/20,Comhairle nan Eilean Siar,0-17 years,Local Authority,0,0
2019/20,Comhairle nan Eilean Siar,18-64 years,Local Authority,5,142.85714285714286
2019/20,Comhairle nan Eilean Siar,65-74 years,Local Authority,5,333.3333333333333
2019/20,Comhairle nan Eilean Siar,75-84 years,Local Authority,5,250
2019/20,Comhairle nan Eilean Siar,85+ years,Local Authority,10,333.3333333333333
2019/20,Comhairle nan Eilean Siar,Unknown,Local Authority,0,0
2019/20,Comhairle nan Eilean Siar,All Ages,Personal Assistance Contract,90,900
2019/20,Comhairle nan Eilean Siar,0-17 years,Personal Assistance Contract,0,0
2019/20,Comhairle nan Eilean Siar,18-64 years,Personal Assistance Contract,30,857.1428571428571
2019/20,Comhairle nan Eilean Siar,65-74 years,Personal Assistance Contract,15,1000
2019/20,Comhairle nan Eilean Siar,75-84 years,Personal Assistance Contract,20,1000
2019/20,Comhairle nan Eilean Siar,85+ years,Personal Assistance Contract,25,833.3333333333334
2019/20,Comhairle nan Eilean Siar,Unknown,Personal Assistance Contract,0,0
2019/20,Comhairle nan Eilean Siar,All Ages,Private,10,100
2019/20,Comhairle nan Eilean Siar,0-17 years,Private,0,0
2019/20,Comhairle nan Eilean Siar,18-64 years,Private,10,285.7142857142857
2019/20,Comhairle nan Eilean Siar,65-74 years,Private,0,0
2019/20,Comhairle nan Eilean Siar,75-84 years,Private,0,0
2019/20,Comhairle nan Eilean Siar,85+ years,Private,0,0
2019/20,Comhairle nan Eilean Siar,Unknown,Private,0,0
2019/20,Comhairle nan Eilean Siar,All Ages,Voluntary,10,100
2019/20,Comhairle nan Eilean Siar,0-17 years,Voluntary,0,0
2019/20,Comhairle nan Eilean Siar,18-64 years,Voluntary,5,142.85714285714286
2019/20,Comhairle nan Eilean Siar,65-74 years,Voluntary,5,333.3333333333333
2019/20,Comhairle nan Eilean Siar,75-84 years,Voluntary,0,0
2019/20,Comhairle nan Eilean Siar,85+ years,Voluntary,5,166.66666666666666
2019/20,Comhairle nan Eilean Siar,Unknown,Voluntary,0,0
2019/20,Comhairle nan Eilean Siar,All Ages,Other,0,0
2019/20,Comhairle nan Eilean Siar,0-17 years,Other,0,0
2019/20,Comhairle nan Eilean Siar,18-64 years,Other,0,0
2019/20,Comhairle nan Eilean Siar,65-74 years,Other,0,0
2019/20,Comhairle nan Eilean Siar,75-84 years,Other,0,0
2019/20,Comhairle nan Eilean Siar,85+ years,Other,0,0
2019/20,Comhairle nan Eilean Siar,Unknown,Other,0,0
2019/20,Comhairle nan Eilean Siar,All Ages,Not Known,0,0
2019/20,Comhairle nan Eilean Siar,0-17 years,Not Known,0,0
2019/20,Comhairle nan Eilean Siar,18-64 years,Not Known,0,0
2019/20,Comhairle nan Eilean Siar,65-74 years,Not Known,0,0
2019/20,Comhairle nan Eilean Siar,75-84 years,Not Known,0,0
2019/20,Comhairle nan Eilean Siar,85+ years,Not Known,0,0
2019/20,Comhairle nan Eilean Siar,Unknown,Not Known,0,0
2020/21,Comhairle nan Eilean Siar,All Ages,Local Authority,550,808.8235294117648
2020/21,Comhairle nan Eilean Siar,0-17 years,Local Authority,0,0
2020/21,Comhairle nan Eilean Siar,18-64 years,Local Authority,50,476.19047619047615
2020/21,Comhairle nan Eilean Siar,65-74 years,Local Authority,75,833.3333333333334
2020/21,Comhairle nan Eilean Siar,75-84 years,Local Authority,145,852.9411764705882
2020/21,Comhairle nan Eilean Siar,85+ years,Local Authority,250,909.090909090909
2020/21,Comhairle nan Eilean Siar,Unknown,Local Authority,30,750
2020/21,Comhairle nan Eilean Siar,All Ages,Personal Assistance Contract,75,110.29411764705883
2020/21,Comhairle nan Eilean Siar,0-17 years,Personal Assistance Contract,0,0
2020/21,Comhairle nan Eilean Siar,18-64 years,Personal Assistance Contract,25,238.09523809523807
2020/21,Comhairle nan Eilean Siar,65-74 years,Personal Assistance Contract,10,111.1111111111111
2020/21,Comhairle nan Eilean Siar,75-84 years,Personal Assistance Contract,15,88.23529411764706
2020/21,Comhairle nan Eilean Siar,85+ years,Personal Assistance Contract,25,90.9090909090909
2020/21,Comhairle nan Eilean Siar,Unknown,Personal Assistance Contract,0,0
2020/21,Comhairle nan Eilean Siar,All Ages,Private,10,14.705882352941176
2020/21,Comhairle nan Eilean Siar,0-17 years,Private,0,0
2020/21,Comhairle nan Eilean Siar,18-64 years,Private,10,95.23809523809523
2020/21,Comhairle nan Eilean Siar,65-74 years,Private,0,0
2020/21,Comhairle nan Eilean Siar,75-84 years,Private,0,0
2020/21,Comhairle nan Eilean Siar,85+ years,Private,0,0
2020/21,Comhairle nan Eilean Siar,Unknown,Private,0,0
2020/21,Comhairle nan Eilean Siar,All Ages,Voluntary,85,125
2020/21,Comhairle nan Eilean Siar,0-17 years,Voluntary,0,0
2020/21,Comhairle nan Eilean Siar,18-64 years,Voluntary,45,428.57142857142856
2020/21,Comhairle nan Eilean Siar,65-74 years,Voluntary,10,111.1111111111111
2020/21,Comhairle nan Eilean Siar,75-84 years,Voluntary,10,58.8235294117647
2020/21,Comhairle nan Eilean Siar,85+ years,Voluntary,10,36.36363636363636
2020/21,Comhairle nan Eilean Siar,Unknown,Voluntary,5,125
2020/21,Comhairle nan Eilean Siar,All Ages,Other,0,0
2020/21,Comhairle nan Eilean Siar,0-17 years,Other,0,0
2020/21,Comhairle nan Eilean Siar,18-64 years,Other,0,0
2020/21,Comhairle nan Eilean Siar,65-74 years,Other,0,0
2020/21,Comhairle nan Eilean Siar,75-84 years,Other,0,0
2020/21,Comhairle nan Eilean Siar,85+ years,Other,0,0
2020/21,Comhairle nan Eilean Siar,Unknown,Other,0,0
2020/21,Comhairle nan Eilean Siar,All Ages,Not Known,30,44.11764705882353
2020/21,Comhairle nan Eilean Siar,0-17 years,Not Known,0,0
2020/21,Comhairle nan Eilean Siar,18-64 years,Not Known,5,47.61904761904761
2020/21,Comhairle nan Eilean Siar,65-74 years,Not Known,5,55.55555555555555
2020/21,Comhairle nan Eilean Siar,75-84 years,Not Known,10,58.8235294117647
2020/21,Comhairle nan Eilean Siar,85+ years,Not Known,10,36.36363636363636
2020/21,Comhairle nan Eilean Siar,Unknown,Not Known,5,125
2017/18,Dumfries and Galloway,All Ages,Local Authority,895,127.31152204836415
2017/18,Dumfries and Galloway,0-17 years,Local Authority,0,0
2017/18,Dumfries and Galloway,18-64 years,Local Authority,50,42.5531914893617
2017/18,Dumfries and Galloway,65-74 years,Local Authority,120,137.14285714285714
2017/18,Dumfries and Galloway,75-84 years,Local Authority,310,142.20183486238534
2017/18,Dumfries and Galloway,85+ years,Local Authority,415,153.7037037037037
2017/18,Dumfries and Galloway,Unknown,Local Authority,0,0
2017/18,Dumfries and Galloway,All Ages,Personal Assistance Contract,0,0
2017/18,Dumfries and Galloway,0-17 years,Personal Assistance Contract,0,0
2017/18,Dumfries and Galloway,18-64 years,Personal Assistance Contract,0,0
2017/18,Dumfries and Galloway,65-74 years,Personal Assistance Contract,0,0
2017/18,Dumfries and Galloway,75-84 years,Personal Assistance Contract,0,0
2017/18,Dumfries and Galloway,85+ years,Personal Assistance Contract,0,0
2017/18,Dumfries and Galloway,Unknown,Personal Assistance Contract,0,0
2017/18,Dumfries and Galloway,All Ages,Private,6535,929.5874822190611
2017/18,Dumfries and Galloway,0-17 years,Private,45,428.57142857142856
2017/18,Dumfries and Galloway,18-64 years,Private,945,804.2553191489362
2017/18,Dumfries and Galloway,65-74 years,Private,800,914.2857142857142
2017/18,Dumfries and Galloway,75-84 years,Private,2105,965.5963302752294
2017/18,Dumfries and Galloway,85+ years,Private,2640,977.7777777777777
2017/18,Dumfries and Galloway,Unknown,Private,0,0
2017/18,Dumfries and Galloway,All Ages,Voluntary,0,0
2017/18,Dumfries and Galloway,0-17 years,Voluntary,0,0
2017/18,Dumfries and Galloway,18-64 years,Voluntary,0,0
2017/18,Dumfries and Galloway,65-74 years,Voluntary,0,0
2017/18,Dumfries and Galloway,75-84 years,Voluntary,0,0
2017/18,Dumfries and Galloway,85+ years,Voluntary,0,0
2017/18,Dumfries and Galloway,Unknown,Voluntary,0,0
2017/18,Dumfries and Galloway,All Ages,Other,0,0
2017/18,Dumfries and Galloway,0-17 years,Other,0,0
2017/18,Dumfries and Galloway,18-64 years,Other,0,0
2017/18,Dumfries and Galloway,65-74 years,Other,0,0
2017/18,Dumfries and Galloway,75-84 years,Other,0,0
2017/18,Dumfries and Galloway,85+ years,Other,0,0
2017/18,Dumfries and Galloway,Unknown,Other,0,0
2017/18,Dumfries and Galloway,All Ages,Not Known,0,0
2017/18,Dumfries and Galloway,0-17 years,Not Known,0,0
2017/18,Dumfries and Galloway,18-64 years,Not Known,0,0
2017/18,Dumfries and Galloway,65-74 years,Not Known,0,0
2017/18,Dumfries and Galloway,75-84 years,Not Known,0,0
2017/18,Dumfries and Galloway,85+ years,Not Known,0,0
2017/18,Dumfries and Galloway,Unknown,Not Known,0,0
2018/19,Dumfries and Galloway,All Ages,Local Authority,5800,830.3507516105941
2018/19,Dumfries and Galloway,0-17 years,Local Authority,70,933.3333333333334
2018/19,Dumfries and Galloway,18-64 years,Local Authority,1015,875
2018/19,Dumfries and Galloway,65-74 years,Local Authority,685,782.8571428571428
2018/19,Dumfries and Galloway,75-84 years,Local Authority,1830,829.9319727891157
2018/19,Dumfries and Galloway,85+ years,Local Authority,2200,823.9700374531835
2018/19,Dumfries and Galloway,Unknown,Local Authority,0,0
2018/19,Dumfries and Galloway,All Ages,Personal Assistance Contract,0,0
2018/19,Dumfries and Galloway,0-17 years,Personal Assistance Contract,0,0
2018/19,Dumfries and Galloway,18-64 years,Personal Assistance Contract,0,0
2018/19,Dumfries and Galloway,65-74 years,Personal Assistance Contract,0,0
2018/19,Dumfries and Galloway,75-84 years,Personal Assistance Contract,0,0
2018/19,Dumfries and Galloway,85+ years,Personal Assistance Contract,0,0
2018/19,Dumfries and Galloway,Unknown,Personal Assistance Contract,0,0
2018/19,Dumfries and Galloway,All Ages,Private,6220,890.4795991410165
2018/19,Dumfries and Galloway,0-17 years,Private,5,66.66666666666667
2018/19,Dumfries and Galloway,18-64 years,Private,745,642.2413793103449
2018/19,Dumfries and Galloway,65-74 years,Private,770,880
2018/19,Dumfries and Galloway,75-84 years,Private,2115,959.1836734693877
2018/19,Dumfries and Galloway,85+ years,Private,2585,968.1647940074906
2018/19,Dumfries and Galloway,Unknown,Private,0,0
2018/19,Dumfries and Galloway,All Ages,Voluntary,330,47.24409448818898
2018/19,Dumfries and Galloway,0-17 years,Voluntary,0,0
2018/19,Dumfries and Galloway,18-64 years,Voluntary,250,215.51724137931032
2018/19,Dumfries and Galloway,65-74 years,Voluntary,45,51.42857142857143
2018/19,Dumfries and Galloway,75-84 years,Voluntary,15,6.802721088435374
2018/19,Dumfries and Galloway,85+ years,Voluntary,15,5.617977528089887
2018/19,Dumfries and Galloway,Unknown,Voluntary,0,0
2018/19,Dumfries and Galloway,All Ages,Other,0,0
2018/19,Dumfries and Galloway,0-17 years,Other,0,0
2018/19,Dumfries and Galloway,18-64 years,Other,0,0
2018/19,Dumfries and Galloway,65-74 years,Other,0,0
2018/19,Dumfries and Galloway,75-84 years,Other,0,0
2018/19,Dumfries and Galloway,85+ years,Other,0,0
2018/19,Dumfries and Galloway,Unknown,Other,0,0
2018/19,Dumfries and Galloway,All Ages,Not Known,0,0
2018/19,Dumfries and Galloway,0-17 years,Not Known,0,0
2018/19,Dumfries and Galloway,18-64 years,Not Known,0,0
2018/19,Dumfries and Galloway,65-74 years,Not Known,0,0
2018/19,Dumfries and Galloway,75-84 years,Not Known,0,0
2018/19,Dumfries and Galloway,85+ years,Not Known,0,0
2018/19,Dumfries and Galloway,Unknown,Not Known,0,0
2019/20,Dumfries and Galloway,All Ages,Local Authority,7220,1000
2019/20,Dumfries and Galloway,0-17 years,Local Authority,150,1000
2019/20,Dumfries and Galloway,18-64 years,Local Authority,1195,1000
2019/20,Dumfries and Galloway,65-74 years,Local Authority,865,1000
2019/20,Dumfries and Galloway,75-84 years,Local Authority,2245,1000
2019/20,Dumfries and Galloway,85+ years,Local Authority,2765,1000
2019/20,Dumfries and Galloway,Unknown,Local Authority,0,0
2019/20,Dumfries and Galloway,All Ages,Personal Assistance Contract,0,0
2019/20,Dumfries and Galloway,0-17 years,Personal Assistance Contract,0,0
2019/20,Dumfries and Galloway,18-64 years,Personal Assistance Contract,0,0
2019/20,Dumfries and Galloway,65-74 years,Personal Assistance Contract,0,0
2019/20,Dumfries and Galloway,75-84 years,Personal Assistance Contract,0,0
2019/20,Dumfries and Galloway,85+ years,Personal Assistance Contract,0,0
2019/20,Dumfries and Galloway,Unknown,Personal Assistance Contract,0,0
2019/20,Dumfries and Galloway,All Ages,Private,0,0
2019/20,Dumfries and Galloway,0-17 years,Private,0,0
2019/20,Dumfries and Galloway,18-64 years,Private,0,0
2019/20,Dumfries and Galloway,65-74 years,Private,0,0
2019/20,Dumfries and Galloway,75-84 years,Private,0,0
2019/20,Dumfries and Galloway,85+ years,Private,0,0
2019/20,Dumfries and Galloway,Unknown,Private,0,0
2019/20,Dumfries and Galloway,All Ages,Voluntary,0,0
2019/20,Dumfries and Galloway,0-17 years,Voluntary,0,0
2019/20,Dumfries and Galloway,18-64 years,Voluntary,0,0
2019/20,Dumfries and Galloway,65-74 years,Voluntary,0,0
2019/20,Dumfries and Galloway,75-84 years,Voluntary,0,0
2019/20,Dumfries and Galloway,85+ years,Voluntary,0,0
2019/20,Dumfries and Galloway,Unknown,Voluntary,0,0
2019/20,Dumfries and Galloway,All Ages,Other,0,0
2019/20,Dumfries and Galloway,0-17 years,Other,0,0
2019/20,Dumfries and Galloway,18-64 years,Other,0,0
2019/20,Dumfries and Galloway,65-74 years,Other,0,0
2019/20,Dumfries and Galloway,75-84 years,Other,0,0
2019/20,Dumfries and Galloway,85+ years,Other,0,0
2019/20,Dumfries and Galloway,Unknown,Other,0,0
2019/20,Dumfries and Galloway,All Ages,Not Known,0,0
2019/20,Dumfries and Galloway,0-17 years,Not Known,0,0
2019/20,Dumfries and Galloway,18-64 years,Not Known,0,0
2019/20,Dumfries and Galloway,65-74 years,Not Known,0,0
2019/20,Dumfries and Galloway,75-84 years,Not Known,0,0
2019/20,Dumfries and Galloway,85+ years,Not Known,0,0
2019/20,Dumfries and Galloway,Unknown,Not Known,0,0
2020/21,Dumfries and Galloway,All Ages,Local Authority,7025,1000
2020/21,Dumfries and Galloway,0-17 years,Local Authority,10,1000
2020/21,Dumfries and Galloway,18-64 years,Local Authority,1240,1000
2020/21,Dumfries and Galloway,65-74 years,Local Authority,880,1000
2020/21,Dumfries and Galloway,75-84 years,Local Authority,2175,1000
2020/21,Dumfries and Galloway,85+ years,Local Authority,2715,1000
2020/21,Dumfries and Galloway,Unknown,Local Authority,0,NA
2020/21,Dumfries and Galloway,All Ages,Personal Assistance Contract,0,0
2020/21,Dumfries and Galloway,0-17 years,Personal Assistance Contract,0,0
2020/21,Dumfries and Galloway,18-64 years,Personal Assistance Contract,0,0
2020/21,Dumfries and Galloway,65-74 years,Personal Assistance Contract,0,0
2020/21,Dumfries and Galloway,75-84 years,Personal Assistance Contract,0,0
2020/21,Dumfries and Galloway,85+ years,Personal Assistance Contract,0,0
2020/21,Dumfries and Galloway,Unknown,Personal Assistance Contract,0,NA
2020/21,Dumfries and Galloway,All Ages,Private,0,0
2020/21,Dumfries and Galloway,0-17 years,Private,0,0
2020/21,Dumfries and Galloway,18-64 years,Private,0,0
2020/21,Dumfries and Galloway,65-74 years,Private,0,0
2020/21,Dumfries and Galloway,75-84 years,Private,0,0
2020/21,Dumfries and Galloway,85+ years,Private,0,0
2020/21,Dumfries and Galloway,Unknown,Private,0,NA
2020/21,Dumfries and Galloway,All Ages,Voluntary,0,0
2020/21,Dumfries and Galloway,0-17 years,Voluntary,0,0
2020/21,Dumfries and Galloway,18-64 years,Voluntary,0,0
2020/21,Dumfries and Galloway,65-74 years,Voluntary,0,0
2020/21,Dumfries and Galloway,75-84 years,Voluntary,0,0
2020/21,Dumfries and Galloway,85+ years,Voluntary,0,0
2020/21,Dumfries and Galloway,Unknown,Voluntary,0,NA
2020/21,Dumfries and Galloway,All Ages,Other,0,0
2020/21,Dumfries and Galloway,0-17 years,Other,0,0
2020/21,Dumfries and Galloway,18-64 years,Other,0,0
2020/21,Dumfries and Galloway,65-74 years,Other,0,0
2020/21,Dumfries and Galloway,75-84 years,Other,0,0
2020/21,Dumfries and Galloway,85+ years,Other,0,0
2020/21,Dumfries and Galloway,Unknown,Other,0,NA
2020/21,Dumfries and Galloway,All Ages,Not Known,0,0
2020/21,Dumfries and Galloway,0-17 years,Not Known,0,0
2020/21,Dumfries and Galloway,18-64 years,Not Known,0,0
2020/21,Dumfries and Galloway,65-74 years,Not Known,0,0
2020/21,Dumfries and Galloway,75-84 years,Not Known,0,0
2020/21,Dumfries and Galloway,85+ years,Not Known,0,0
2020/21,Dumfries and Galloway,Unknown,Not Known,0,NA
2017/18,Dundee City,All Ages,Local Authority,6845,967.4911660777385
2017/18,Dundee City,0-17 years,Local Authority,25,833.3333333333334
2017/18,Dundee City,18-64 years,Local Authority,2330,947.1544715447154
2017/18,Dundee City,65-74 years,Local Authority,995,970.7317073170732
2017/18,Dundee City,75-84 years,Local Authority,1690,985.4227405247813
2017/18,Dundee City,85+ years,Local Authority,1805,980.9782608695651
2017/18,Dundee City,Unknown,Local Authority,0,0
2017/18,Dundee City,All Ages,Personal Assistance Contract,25,3.5335689045936394
2017/18,Dundee City,0-17 years,Personal Assistance Contract,0,0
2017/18,Dundee City,18-64 years,Personal Assistance Contract,15,6.097560975609756
2017/18,Dundee City,65-74 years,Personal Assistance Contract,5,4.878048780487805
2017/18,Dundee City,75-84 years,Personal Assistance Contract,5,2.9154518950437316
2017/18,Dundee City,85+ years,Personal Assistance Contract,5,2.717391304347826
2017/18,Dundee City,Unknown,Personal Assistance Contract,0,0
2017/18,Dundee City,All Ages,Private,1105,156.18374558303887
2017/18,Dundee City,0-17 years,Private,0,0
2017/18,Dundee City,18-64 years,Private,95,38.61788617886179
2017/18,Dundee City,65-74 years,Private,170,165.85365853658539
2017/18,Dundee City,75-84 years,Private,370,215.74344023323616
2017/18,Dundee City,85+ years,Private,475,258.15217391304344
2017/18,Dundee City,Unknown,Private,0,0
2017/18,Dundee City,All Ages,Voluntary,420,59.36395759717315
2017/18,Dundee City,0-17 years,Voluntary,0,0
2017/18,Dundee City,18-64 years,Voluntary,140,56.91056910569105
2017/18,Dundee City,65-74 years,Voluntary,55,53.65853658536585
2017/18,Dundee City,75-84 years,Voluntary,90,52.478134110787174
2017/18,Dundee City,85+ years,Voluntary,135,73.36956521739131
2017/18,Dundee City,Unknown,Voluntary,0,0
2017/18,Dundee City,All Ages,Other,5,0.7067137809187278
2017/18,Dundee City,0-17 years,Other,0,0
2017/18,Dundee City,18-64 years,Other,5,2.032520325203252
2017/18,Dundee City,65-74 years,Other,0,0
2017/18,Dundee City,75-84 years,Other,0,0
2017/18,Dundee City,85+ years,Other,0,0
2017/18,Dundee City,Unknown,Other,0,0
2017/18,Dundee City,All Ages,Not Known,20,2.8268551236749113
2017/18,Dundee City,0-17 years,Not Known,10,333.3333333333333
2017/18,Dundee City,18-64 years,Not Known,10,4.065040650406504
2017/18,Dundee City,65-74 years,Not Known,0,0
2017/18,Dundee City,75-84 years,Not Known,0,0
2017/18,Dundee City,85+ years,Not Known,0,0
2017/18,Dundee City,Unknown,Not Known,0,0
2018/19,Dundee City,All Ages,Local Authority,6330,825.8317025440313
2018/19,Dundee City,0-17 years,Local Authority,25,555.5555555555555
2018/19,Dundee City,18-64 years,Local Authority,2475,926.9662921348315
2018/19,Dundee City,65-74 years,Local Authority,995,865.2173913043479
2018/19,Dundee City,75-84 years,Local Authority,1550,807.2916666666666
2018/19,Dundee City,85+ years,Local Authority,1285,681.6976127320955
2018/19,Dundee City,Unknown,Local Authority,0,0
2018/19,Dundee City,All Ages,Personal Assistance Contract,55,7.175472928897586
2018/19,Dundee City,0-17 years,Personal Assistance Contract,15,333.3333333333333
2018/19,Dundee City,18-64 years,Personal Assistance Contract,20,7.49063670411985
2018/19,Dundee City,65-74 years,Personal Assistance Contract,10,8.695652173913043
2018/19,Dundee City,75-84 years,Personal Assistance Contract,5,2.6041666666666665
2018/19,Dundee City,85+ years,Personal Assistance Contract,5,2.6525198938992043
2018/19,Dundee City,Unknown,Personal Assistance Contract,0,0
2018/19,Dundee City,All Ages,Private,2550,332.68101761252444
2018/19,Dundee City,0-17 years,Private,0,0
2018/19,Dundee City,18-64 years,Private,255,95.50561797752809
2018/19,Dundee City,65-74 years,Private,350,304.34782608695656
2018/19,Dundee City,75-84 years,Private,820,427.0833333333333
2018/19,Dundee City,85+ years,Private,1125,596.816976127321
2018/19,Dundee City,Unknown,Private,0,0
2018/19,Dundee City,All Ages,Voluntary,555,72.40704500978474
2018/19,Dundee City,0-17 years,Voluntary,0,0
2018/19,Dundee City,18-64 years,Voluntary,130,48.68913857677903
2018/19,Dundee City,65-74 years,Voluntary,65,56.52173913043478
2018/19,Dundee City,75-84 years,Voluntary,140,72.91666666666667
2018/19,Dundee City,85+ years,Voluntary,220,116.71087533156499
2018/19,Dundee City,Unknown,Voluntary,0,0
2018/19,Dundee City,All Ages,Other,5,0.6523157208088715
2018/19,Dundee City,0-17 years,Other,0,0
2018/19,Dundee City,18-64 years,Other,5,1.8726591760299625
2018/19,Dundee City,65-74 years,Other,0,0
2018/19,Dundee City,75-84 years,Other,0,0
2018/19,Dundee City,85+ years,Other,0,0
2018/19,Dundee City,Unknown,Other,0,0
2018/19,Dundee City,All Ages,Not Known,0,0
2018/19,Dundee City,0-17 years,Not Known,0,0
2018/19,Dundee City,18-64 years,Not Known,0,0
2018/19,Dundee City,65-74 years,Not Known,0,0
2018/19,Dundee City,75-84 years,Not Known,0,0
2018/19,Dundee City,85+ years,Not Known,0,0
2018/19,Dundee City,Unknown,Not Known,0,0
2019/20,Dundee City,All Ages,Local Authority,1545,498.3870967741936
2019/20,Dundee City,0-17 years,Local Authority,0,0
2019/20,Dundee City,18-64 years,Local Authority,310,421.76870748299325
2019/20,Dundee City,65-74 years,Local Authority,270,580.6451612903227
2019/20,Dundee City,75-84 years,Local Authority,450,526.3157894736842
2019/20,Dundee City,85+ years,Local Authority,515,522.8426395939086
2019/20,Dundee City,Unknown,Local Authority,0,0
2019/20,Dundee City,All Ages,Personal Assistance Contract,55,17.741935483870968
2019/20,Dundee City,0-17 years,Personal Assistance Contract,40,727.2727272727273
2019/20,Dundee City,18-64 years,Personal Assistance Contract,10,13.605442176870747
2019/20,Dundee City,65-74 years,Personal Assistance Contract,0,0
2019/20,Dundee City,75-84 years,Personal Assistance Contract,0,0
2019/20,Dundee City,85+ years,Personal Assistance Contract,0,0
2019/20,Dundee City,Unknown,Personal Assistance Contract,0,0
2019/20,Dundee City,All Ages,Private,1285,414.51612903225805
2019/20,Dundee City,0-17 years,Private,0,0
2019/20,Dundee City,18-64 years,Private,195,265.30612244897964
2019/20,Dundee City,65-74 years,Private,190,408.60215053763443
2019/20,Dundee City,75-84 years,Private,405,473.6842105263158
2019/20,Dundee City,85+ years,Private,490,497.46192893401013
2019/20,Dundee City,Unknown,Private,0,0
2019/20,Dundee City,All Ages,Voluntary,755,243.5483870967742
2019/20,Dundee City,0-17 years,Voluntary,15,272.7272727272727
2019/20,Dundee City,18-64 years,Voluntary,335,455.78231292517006
2019/20,Dundee City,65-74 years,Voluntary,75,161.29032258064515
2019/20,Dundee City,75-84 years,Voluntary,140,163.74269005847952
2019/20,Dundee City,85+ years,Voluntary,185,187.81725888324874
2019/20,Dundee City,Unknown,Voluntary,0,0
2019/20,Dundee City,All Ages,Other,0,0
2019/20,Dundee City,0-17 years,Other,0,0
2019/20,Dundee City,18-64 years,Other,0,0
2019/20,Dundee City,65-74 years,Other,0,0
2019/20,Dundee City,75-84 years,Other,0,0
2019/20,Dundee City,85+ years,Other,0,0
2019/20,Dundee City,Unknown,Other,0,0
2019/20,Dundee City,All Ages,Not Known,0,0
2019/20,Dundee City,0-17 years,Not Known,0,0
2019/20,Dundee City,18-64 years,Not Known,0,0
2019/20,Dundee City,65-74 years,Not Known,0,0
2019/20,Dundee City,75-84 years,Not Known,0,0
2019/20,Dundee City,85+ years,Not Known,0,0
2019/20,Dundee City,Unknown,Not Known,0,0
2020/21,Dundee City,All Ages,Local Authority,1320,415.09433962264154
2020/21,Dundee City,0-17 years,Local Authority,0,0
2020/21,Dundee City,18-64 years,Local Authority,270,339.62264150943395
2020/21,Dundee City,65-74 years,Local Authority,230,505.49450549450546
2020/21,Dundee City,75-84 years,Local Authority,390,461.53846153846155
2020/21,Dundee City,85+ years,Local Authority,435,435
2020/21,Dundee City,Unknown,Local Authority,0,0
2020/21,Dundee City,All Ages,Personal Assistance Contract,90,28.30188679245283
2020/21,Dundee City,0-17 years,Personal Assistance Contract,45,562.5
2020/21,Dundee City,18-64 years,Personal Assistance Contract,25,31.446540880503143
2020/21,Dundee City,65-74 years,Personal Assistance Contract,10,21.978021978021978
2020/21,Dundee City,75-84 years,Personal Assistance Contract,5,5.9171597633136095
2020/21,Dundee City,85+ years,Personal Assistance Contract,5,5
2020/21,Dundee City,Unknown,Personal Assistance Contract,0,0
2020/21,Dundee City,All Ages,Private,1460,459.1194968553459
2020/21,Dundee City,0-17 years,Private,10,125
2020/21,Dundee City,18-64 years,Private,230,289.30817610062894
2020/21,Dundee City,65-74 years,Private,215,472.5274725274725
2020/21,Dundee City,75-84 years,Private,450,532.5443786982249
2020/21,Dundee City,85+ years,Private,560,560
2020/21,Dundee City,Unknown,Private,0,0
2020/21,Dundee City,All Ages,Voluntary,1030,323.8993710691824
2020/21,Dundee City,0-17 years,Voluntary,25,312.5
2020/21,Dundee City,18-64 years,Voluntary,440,553.4591194968554
2020/21,Dundee City,65-74 years,Voluntary,95,208.7912087912088
2020/21,Dundee City,75-84 years,Voluntary,215,254.43786982248523
2020/21,Dundee City,85+ years,Voluntary,250,250
2020/21,Dundee City,Unknown,Voluntary,0,0
2020/21,Dundee City,All Ages,Other,0,0
2020/21,Dundee City,0-17 years,Other,0,0
2020/21,Dundee City,18-64 years,Other,0,0
2020/21,Dundee City,65-74 years,Other,0,0
2020/21,Dundee City,75-84 years,Other,0,0
2020/21,Dundee City,85+ years,Other,0,0
2020/21,Dundee City,Unknown,Other,0,0
2020/21,Dundee City,All Ages,Not Known,0,0
2020/21,Dundee City,0-17 years,Not Known,0,0
2020/21,Dundee City,18-64 years,Not Known,0,0
2020/21,Dundee City,65-74 years,Not Known,0,0
2020/21,Dundee City,75-84 years,Not Known,0,0
2020/21,Dundee City,85+ years,Not Known,0,0
2020/21,Dundee City,Unknown,Not Known,0,0
2017/18,East Ayrshire,All Ages,Local Authority,0,0
