financial_year,sending_location,option_type,nclient,rate
2014/15,Falkirk,Option 1,40,0.3
2014/15,Falkirk,Option 2,45,0.3
2014/15,Falkirk,Option 3,1795,11.4
2014/15,Falkirk,Option 4,25,0.2
2014/15,Fife,Option 1,410,1.1
2014/15,Fife,Option 2,0,0
2014/15,Fife,Option 3,310,0.8
2014/15,Fife,Option 4,5,0
2014/15,Glasgow City,Option 1,390,0.7
2014/15,Glasgow City,Option 2,1955,3.3
2014/15,Glasgow City,Option 3,140,0.2
2014/15,Glasgow City,Option 4,225,0.4
2014/15,Highland,Option 1,440,1.9
2014/15,Highland,Option 2,65,0.3
2014/15,Highland,Option 3,0,0
2014/15,Highland,Option 4,0,0
2014/15,Inverclyde,Option 1,70,0.9
2014/15,Inverclyde,Option 2,55,0.7
2014/15,Inverclyde,Option 3,1335,16.7
2014/15,Inverclyde,Option 4,20,0.3
2014/15,Midlothian,Option 1,90,1
2014/15,Midlothian,Option 2,0,0
2014/15,Midlothian,Option 3,0,0
2014/15,Midlothian,Option 4,0,0
2014/15,Moray,Option 1,240,2.5
2014/15,Moray,Option 2,55,0.6
2014/15,Moray,Option 3,1980,20.9
2014/15,Moray,Option 4,5,0.1
2014/15,North Ayrshire,Option 1,190,1.4
2014/15,North Ayrshire,Option 2,0,0
2014/15,North Ayrshire,Option 3,775,5.7
2014/15,North Ayrshire,Option 4,0,0
2014/15,North Lanarkshire,Option 1,150,0.4
2014/15,North Lanarkshire,Option 2,695,2.1
2014/15,North Lanarkshire,Option 3,150,0.4
2014/15,North Lanarkshire,Option 4,5,0
2014/15,Orkney Islands,Option 1,60,2.8
2014/15,Orkney Islands,Option 2,0,0
2014/15,Orkney Islands,Option 3,0,0
2014/15,Orkney Islands,Option 4,0,0
2014/15,Perth and Kinross,Option 1,200,1.3
2014/15,Perth and Kinross,Option 2,100,0.7
2014/15,Perth and Kinross,Option 3,2620,17.6
2014/15,Perth and Kinross,Option 4,175,1.2
2014/15,Renfrewshire,Option 1,30,0.2
2014/15,Renfrewshire,Option 2,10,0.1
2014/15,Renfrewshire,Option 3,100,0.6
2014/15,Renfrewshire,Option 4,0,0
2014/15,Scottish Borders,Option 1,220,1.9
2014/15,Scottish Borders,Option 2,10,0.1
2014/15,Scottish Borders,Option 3,130,1.1
2014/15,Scottish Borders,Option 4,50,0.4
2014/15,Shetland Islands,Option 1,20,0.9
2014/15,Shetland Islands,Option 2,0,0
2014/15,Shetland Islands,Option 3,0,0
2014/15,Shetland Islands,Option 4,0,0
2014/15,South Ayrshire,Option 1,80,0.7
2014/15,South Ayrshire,Option 2,5,0
2014/15,South Ayrshire,Option 3,1130,10
2014/15,South Ayrshire,Option 4,0,0
