financial_year,sending_location,measure,nclient,rate,scotland_nclient,scotland_rate
2019/20,Argyll and Bute,"Rate per 1,000 Population",4130,48.1,237840,43.53412772500137
2019/20,Argyll and Bute,"Rate per 1,000 Population (adjusted)",4125,48,216500,39.62806362454926
2019/20,City of Edinburgh,"Rate per 1,000 Population",18080,34.4,237840,43.53412772500137
2019/20,City of Edinburgh,"Rate per 1,000 Population (adjusted)",14855,28.3,216500,39.62806362454926
2019/20,Clackmannanshire,"Rate per 1,000 Population",2650,51.4,237840,43.53412772500137
2019/20,Clackmannanshire,"Rate per 1,000 Population (adjusted)",2650,51.4,216500,39.62806362454926
2019/20,Comhairle nan Eilean Siar,"Rate per 1,000 Population",1685,63.1,237840,43.53412772500137
2019/20,Comhairle nan Eilean Siar,"Rate per 1,000 Population (adjusted)",1345,50.3,216500,39.62806362454926
2019/20,Dumfries and Galloway,"Rate per 1,000 Population",7320,49.2,237840,43.53412772500137
2019/20,Dumfries and Galloway,"Rate per 1,000 Population (adjusted)",7320,49.2,216500,39.62806362454926
2019/20,Dundee City,"Rate per 1,000 Population",11060,74.1,237840,43.53412772500137
2019/20,Dundee City,"Rate per 1,000 Population (adjusted)",11030,73.9,216500,39.62806362454926
2019/20,East Ayrshire,"Rate per 1,000 Population",5935,48.6,237840,43.53412772500137
2019/20,East Ayrshire,"Rate per 1,000 Population (adjusted)",5720,46.9,216500,39.62806362454926
2019/20,East Dunbartonshire,"Rate per 1,000 Population",6805,62.6,237840,43.53412772500137
2019/20,East Dunbartonshire,"Rate per 1,000 Population (adjusted)",5750,52.9,216500,39.62806362454926
2019/20,East Lothian,"Rate per 1,000 Population",3545,33.1,237840,43.53412772500137
2019/20,East Lothian,"Rate per 1,000 Population (adjusted)",2775,25.9,216500,39.62806362454926
2019/20,East Renfrewshire,"Rate per 1,000 Population",7835,82,237840,43.53412772500137
2019/20,East Renfrewshire,"Rate per 1,000 Population (adjusted)",4275,44.8,216500,39.62806362454926
2019/20,Falkirk,"Rate per 1,000 Population",8415,52.3,237840,43.53412772500137
2019/20,Falkirk,"Rate per 1,000 Population (adjusted)",7665,47.6,216500,39.62806362454926
2019/20,Fife,"Rate per 1,000 Population",15655,41.9,237840,43.53412772500137
2019/20,Fife,"Rate per 1,000 Population (adjusted)",15655,41.9,216500,39.62806362454926
2019/20,Glasgow City,"Rate per 1,000 Population",22035,34.8,237840,43.53412772500137
2019/20,Glasgow City,"Rate per 1,000 Population (adjusted)",21695,34.3,216500,39.62806362454926
2019/20,Highland,"Rate per 1,000 Population",8215,34.8,237840,43.53412772500137
2019/20,Highland,"Rate per 1,000 Population (adjusted)",8215,34.8,216500,39.62806362454926
2019/20,Inverclyde,"Rate per 1,000 Population",4745,61,237840,43.53412772500137
2019/20,Inverclyde,"Rate per 1,000 Population (adjusted)",4050,52.1,216500,39.62806362454926
2019/20,Midlothian,"Rate per 1,000 Population",3350,36.2,237840,43.53412772500137
2019/20,Midlothian,"Rate per 1,000 Population (adjusted)",3160,34.2,216500,39.62806362454926
2019/20,Moray,"Rate per 1,000 Population",3580,37.4,237840,43.53412772500137
2019/20,Moray,"Rate per 1,000 Population (adjusted)",3580,37.4,216500,39.62806362454926
